timeframe,filter_mode,consec_n,hold_bars,atr_mult,num_trades,win_rate,avg_r,profit_factor,max_dd_r,total_r
1d,none,7,15,3.0,172,0.436,-0.0966,0.6737,22.16,-16.62
1d,none,7,15,4.0,171,0.4444,-0.0336,0.8238,11.43,-5.75
1d,none,7,20,2.0,172,0.4477,0.0518,1.1175,23.26,8.91
1d,none,7,20,3.0,169,0.4911,0.0404,1.1326,18.35,6.82
1d,none,7,20,4.0,168,0.5119,0.069,1.3467,9.64,11.59
1d,none,7,25,2.0,172,0.4244,0.1045,1.2321,22.36,17.97
1d,none,7,25,3.0,169,0.4911,0.0943,1.3003,14.24,15.93
1d,none,7,25,4.0,168,0.506,0.1038,1.486,7.62,17.43
1d,ema200_price_above,2,5,2.0,2327,0.4761,0.0394,1.1523,15.2,91.57
1d,ema200_price_above,2,5,3.0,2311,0.4807,0.0268,1.1533,11.97,61.89
1d,ema200_price_above,2,5,4.0,2306,0.4818,0.0254,1.2011,8.5,58.54
1d,ema200_price_above,2,10,2.0,1727,0.4621,0.0893,1.2403,19.76,154.29
1d,ema200_price_above,2,10,3.0,1678,0.4678,0.0539,1.2065,14.87,90.37
1d,ema200_price_above,2,10,4.0,1661,0.4768,0.0549,1.2941,8.28,91.19
1d,ema200_price_above,2,15,2.0,1399,0.4496,0.1836,1.437,17.21,256.92
1d,ema200_price_above,2,15,3.0,1341,0.4847,0.1277,1.4388,12.47,171.28
1d,ema200_price_above,2,15,4.0,1310,0.4939,0.1208,1.5794,7.76,158.3
1d,ema200_price_above,2,20,2.0,1203,0.4214,0.276,1.578,13.27,332.05
1d,ema200_price_above,2,20,3.0,1121,0.4728,0.1889,1.5487,12.03,211.81
1d,ema200_price_above,2,20,4.0,1090,0.4789,0.1446,1.5634,10.61,157.66
1d,ema200_price_above,2,25,2.0,1073,0.3933,0.3271,1.6297,16.98,350.93
1d,ema200_price_above,2,25,3.0,988,0.4474,0.2438,1.6501,8.43,240.88
1d,ema200_price_above,2,25,4.0,953,0.4617,0.1987,1.6924,5.4,189.37
1d,ema200_price_above,3,5,2.0,1242,0.5145,0.0306,1.1291,11.0,38.01
1d,ema200_price_above,3,5,3.0,1240,0.521,0.0196,1.1218,7.84,24.28
1d,ema200_price_above,3,5,4.0,1239,0.5222,0.0135,1.1103,7.25,16.74
1d,ema200_price_above,3,10,2.0,1025,0.481,0.1017,1.2913,15.47,104.28
1d,ema200_price_above,3,10,3.0,1002,0.495,0.0707,1.2982,12.65,70.88
1d,ema200_price_above,3,10,4.0,997,0.4975,0.0563,1.3209,9.87,56.15
1d,ema200_price_above,3,15,2.0,891,0.4444,0.1366,1.3301,15.84,121.74
1d,ema200_price_above,3,15,3.0,868,0.485,0.1117,1.4009,10.97,96.97
1d,ema200_price_above,3,15,4.0,859,0.4901,0.0859,1.4107,7.98,73.83
