timeframe,filter_mode,consec_n,hold_bars,atr_mult,num_trades,win_rate,avg_r,profit_factor,max_dd_r,total_r
2h,none,2,5,2.0,65999,0.4894,0.0026,1.0093,255.19,168.55
2h,none,2,5,3.0,65324,0.4982,0.0015,1.0083,138.78,100.77
2h,none,2,5,4.0,65109,0.4995,0.0006,1.0043,107.85,39.71
2h,none,2,10,2.0,48286,0.4539,-0.0044,0.9887,366.22,-212.43
2h,none,2,10,3.0,46120,0.4769,-0.0056,0.9795,338.91,-256.37
2h,none,2,10,4.0,45286,0.4822,-0.0064,0.9692,323.77,-289.33
2h,none,2,15,2.0,39393,0.4343,0.0023,1.005,197.76,89.99
2h,none,2,15,3.0,36511,0.4728,-0.003,0.9908,177.39,-110.5
2h,none,2,15,4.0,35233,0.4832,-0.0061,0.976,228.21,-215.23
2h,none,2,20,2.0,33901,0.4052,-0.0117,0.977,504.17,-397.53
2h,none,2,20,3.0,30610,0.4573,-0.0087,0.977,310.22,-265.07
2h,none,2,20,4.0,29159,0.4753,-0.0076,0.974,236.65,-221.78
2h,none,2,25,2.0,30253,0.3843,0.0073,1.0134,257.21,222.22
2h,none,2,25,3.0,26649,0.4437,0.0054,1.0132,149.66,145.01
2h,none,2,25,4.0,25093,0.4658,-0.0005,0.9985,130.89,-12.27
2h,none,3,5,2.0,37367,0.4937,-0.0052,0.9812,271.45,-196.11
2h,none,3,5,3.0,37082,0.5035,-0.0021,0.9886,126.34,-78.93
2h,none,3,5,4.0,36990,0.5057,-0.0028,0.9805,137.17,-102.69
2h,none,3,10,2.0,31158,0.457,-0.0162,0.9586,587.09,-505.74
2h,none,3,10,3.0,30157,0.4819,-0.0128,0.9533,436.98,-385.6
2h,none,3,10,4.0,29760,0.4881,-0.0095,0.9543,327.52,-281.66
2h,none,3,15,2.0,27333,0.4336,-0.0076,0.9835,318.17,-208.46
2h,none,3,15,3.0,25781,0.4783,-0.0075,0.9774,267.76,-193.6
2h,none,3,15,4.0,25133,0.4906,-0.0053,0.9792,186.28,-133.32
2h,none,3,20,2.0,24610,0.4061,-0.0127,0.9751,390.65,-311.72
2h,none,3,20,3.0,22730,0.4644,-0.0066,0.9823,227.64,-150.04
2h,none,3,20,4.0,21867,0.4837,-0.0032,0.9888,135.37,-70.85
2h,none,3,25,2.0,22577,0.3814,-0.0069,0.9874,290.7,-156.53
2h,none,3,25,3.0,20501,0.4469,-0.0021,0.9948,217.59,-43.5
2h,none,3,25,4.0,19460,0.4702,-0.0044,0.9863,156.16,-86.5
2h,none,4,5,2.0,18238,0.4903,-0.012,0.9571,253.84,-218.44
2h,none,4,5,3.0,18188,0.4998,-0.0069,0.9633,147.51,-125.32
2h,none,4,5,4.0,18153,0.5019,-0.0044,0.9687,100.54,-79.82
2h,none,4,10,2.0,16742,0.4538,-0.0398,0.9001,692.55,-667.02
2h,none,4,10,3.0,16421,0.4824,-0.026,0.906,450.53,-427.29
2h,none,4,10,4.0,16265,0.4903,-0.0185,0.9113,316.32,-300.51
2h,none,4,15,2.0,15665,0.4282,-0.0401,0.9144,642.01,-628.36
2h,none,4,15,3.0,15105,0.4741,-0.0289,0.9145,453.55,-436.48
2h,none,4,15,4.0,14825,0.4878,-0.0188,0.9265,291.34,-278.59
2h,none,4,20,2.0,14753,0.4067,-0.0312,0.9388,470.09,-460.85
2h,none,4,20,3.0,14045,0.4629,-0.0224,0.9407,327.55,-315.07
2h,none,4,20,4.0,13662,0.4837,-0.014,0.9519,204.61,-191.13
2h,none,4,25,2.0,13989,0.3786,-0.0357,0.9352,512.54,-499.34
2h,none,4,25,3.0,13147,0.4429,-0.0262,0.9371,358.88,-344.44
2h,none,4,25,4.0,12655,0.4689,-0.0178,0.9453,241.1,-225.25
2h,none,5,5,2.0,8292,0.4789,-0.0326,0.8862,290.12,-270.02
2h,none,5,5,3.0,8292,0.4945,-0.0161,0.9155,149.63,-133.65
2h,none,5,5,4.0,8292,0.4994,-0.0097,0.932,94.85,-80.18
2h,none,5,10,2.0,8007,0.455,-0.0446,0.8882,368.79,-356.88
2h,none,5,10,3.0,7918,0.4915,-0.019,0.9301,160.4,-150.27
2h,none,5,10,4.0,7887,0.5025,-0.0134,0.9353,115.04,-105.45
2h,none,5,15,2.0,7782,0.419,-0.0464,0.9023,376.85,-360.87
2h,none,5,15,3.0,7620,0.4713,-0.0096,0.971,122.65,-73.04
2h,none,5,15,4.0,7543,0.4868,-0.0052,0.9793,98.23,-39.5
2h,none,5,20,2.0,7563,0.399,-0.0467,0.9097,363.87,-352.89
2h,none,5,20,3.0,7347,0.463,-0.0127,0.966,137.25,-93.37
2h,none,5,20,4.0,7238,0.4838,-0.0117,0.9598,119.81,-84.74
2h,none,5,25,2.0,7384,0.3709,-0.0514,0.9081,385.88,-379.22
2h,none,5,25,3.0,7111,0.4434,-0.0161,0.961,164.76,-114.21
2h,none,5,25,4.0,6968,0.4676,-0.0179,0.9453,157.69,-124.54
2h,none,6,5,2.0,3695,0.4945,-0.0226,0.92,93.43,-83.38
2h,none,6,5,3.0,3695,0.5112,-0.006,0.9677,37.6,-22.08
2h,none,6,5,4.0,3695,0.515,-0.0032,0.977,30.63,-11.78
2h,none,6,10,2.0,3664,0.4525,-0.0558,0.8634,209.7,-204.54
2h,none,6,10,3.0,3638,0.4918,-0.0256,0.9081,98.18,-93.15
2h,none,6,10,4.0,3632,0.5006,-0.0184,0.9131,71.4,-66.74
2h,none,6,15,2.0,3626,0.422,-0.0261,0.9447,152.79,-94.72
2h,none,6,15,3.0,3584,0.4791,-0.0022,0.9934,63.6,-7.75
2h,none,6,15,4.0,3567,0.4945,0.0001,1.0004,39.92,0.38
2h,none,6,20,2.0,3560,0.3924,-0.0458,0.9122,211.9,-162.94
2h,none,6,20,3.0,3511,0.4583,-0.0221,0.9411,129.51,-77.65
2h,none,6,20,4.0,3484,0.4785,-0.0209,0.9292,105.37,-72.95
2h,none,6,25,2.0,3512,0.3716,-0.0557,0.9008,236.67,-195.47
2h,none,6,25,3.0,3449,0.443,-0.0268,0.9347,143.87,-92.28
2h,none,6,25,4.0,3407,0.4667,-0.0242,0.9256,111.43,-82.37
2h,none,7,5,2.0,1759,0.4969,-0.0235,0.9157,59.0,-41.33
2h,none,7,5,3.0,1759,0.5179,-0.0005,0.9974,23.36,-0.82
2h,none,7,5,4.0,1759,0.5208,-0.0011,0.9918,18.5,-1.95
2h,none,7,10,2.0,1758,0.4699,-0.0117,0.97,64.87,-20.51
2h,none,7,10,3.0,1756,0.5114,0.0122,1.0469,24.27,21.43
2h,none,7,10,4.0,1756,0.5177,0.0082,1.0414,23.33,14.44
2h,none,7,15,2.0,1748,0.4457,0.0221,1.0494,61.42,38.56
2h,none,7,15,3.0,1742,0.5046,0.0393,1.131,23.27,68.46
2h,none,7,15,4.0,1740,0.5172,0.021,1.0887,24.69,36.6
2h,none,7,20,2.0,1736,0.4009,-0.0179,0.964,119.16,-31.13
2h,none,7,20,3.0,1726,0.467,0.0039,1.011,73.6,6.72
2h,none,7,20,4.0,1720,0.4878,-0.0089,0.9688,66.67,-15.27
2h,none,7,25,2.0,1730,0.4023,0.017,1.0321,83.79,29.43
2h,none,7,25,3.0,1716,0.4802,0.0322,1.0848,47.45,55.26
