timeframe,filter_mode,consec_n,hold_bars,atr_mult,num_trades,win_rate,avg_r,profit_factor,max_dd_r,total_r
4h,none,2,5,2.0,4761,0.4489,-0.0384,0.8612,205.48,-182.75
4h,none,2,5,3.0,4727,0.4517,-0.029,0.8458,153.39,-137.26
4h,none,2,5,4.0,4725,0.4521,-0.0236,0.8352,123.83,-111.56
4h,none,2,10,2.0,3418,0.4438,-0.0125,0.9667,61.76,-42.78
4h,none,2,10,3.0,3284,0.4656,-0.0113,0.957,46.47,-37.09
4h,none,2,10,4.0,3254,0.4683,-0.0135,0.9334,48.03,-44.08
4h,none,2,15,2.0,2783,0.4078,0.034,1.0745,40.18,94.67
4h,none,2,15,3.0,2597,0.4305,0.009,1.0272,43.7,23.49
4h,none,2,15,4.0,2542,0.4367,-0.0036,0.986,37.63,-9.15
4h,none,2,20,2.0,2382,0.3606,-0.0186,0.9647,108.04,-44.38
4h,none,2,20,3.0,2163,0.4018,-0.0302,0.9224,85.15,-65.3
4h,none,2,20,4.0,2081,0.42,-0.0223,0.9264,59.83,-46.46
4h,none,2,25,2.0,2083,0.3533,-0.0322,0.9432,108.94,-67.05
4h,none,2,25,3.0,1864,0.4002,-0.0417,0.9038,90.69,-77.79
4h,none,2,25,4.0,1777,0.4176,-0.0529,0.8476,100.94,-94.01
4h,none,3,5,2.0,2823,0.4736,-0.0324,0.8766,96.24,-91.55
4h,none,3,5,3.0,2805,0.4799,-0.026,0.8557,74.54,-73.05
4h,none,3,5,4.0,2802,0.4807,-0.0209,0.8475,59.84,-58.48
4h,none,3,10,2.0,2295,0.4187,-0.0601,0.8506,150.47,-137.89
4h,none,3,10,3.0,2218,0.4256,-0.0711,0.7642,162.37,-157.59
4h,none,3,10,4.0,2190,0.4215,-0.0669,0.7192,149.42,-146.51
4h,none,3,15,2.0,2011,0.4078,-0.0448,0.9019,116.28,-90.06
4h,none,3,15,3.0,1905,0.4341,-0.0596,0.8254,125.57,-113.45
4h,none,3,15,4.0,1859,0.4416,-0.0504,0.8081,99.55,-93.75
4h,none,3,20,2.0,1795,0.3643,-0.0683,0.8715,148.58,-122.52
