symbol,entry_ts,r,funding,year,tf,cb,ap,hb,am,exit_ts,overlap,date
1000FLOKIUSDT,1730620800000,-1.0,0.0001,2024,8h,15,20,15,2.0,1731052800000,False,2024-11-03
1000FLOKIUSDT,1740700800000,-1.0,0.0001,2025,8h,15,20,15,2.0,1741132800000,True,2025-02-28
1000PEPEUSDT,1694304000000,0.79488288189124,0.0001,2023,8h,15,20,15,2.0,1694736000000,True,2023-09-10
1000PEPEUSDT,1696838400000,0.3117724752500125,0.0001,2023,8h,15,20,15,2.0,1697270400000,True,2023-10-09
1000PEPEUSDT,1743264000000,-1.0,0.0001,2025,8h,15,20,15,2.0,1743696000000,False,2025-03-29
1000PEPEUSDT,1759852800000,3.148137537830056,0.0001,2025,8h,15,20,15,2.0,1760284800000,True,2025-10-07
1000PEPEUSDT,1761811200000,1.5908396144683443,0.0001,2025,8h,15,20,15,2.0,1762243200000,False,2025-10-30
1000PEPEUSDT,1763654400000,0.0613291756623385,0.0001,2025,8h,15,20,15,2.0,1764086400000,True,2025-11-20
1000PEPEUSDT,1765699200000,0.8631316036074519,0.0001,2025,8h,15,20,15,2.0,1766131200000,True,2025-12-14
1000PEPEUSDT,1780531200000,0.6739568772399859,0.0001,2026,8h,15,20,15,2.0,1780963200000,False,2026-06-04
1000RATSUSDT,1726416000000,-1.0,0.00019788,2024,8h,15,20,15,2.0,1726848000000,True,2024-09-15
1000RATSUSDT,1736236800000,1.389469673657885,0.00048232,2025,8h,15,20,15,2.0,1736668800000,True,2025-01-07
1000RATSUSDT,1737273600000,1.443208364972842,0.00035375,2025,8h,15,20,15,2.0,1737705600000,True,2025-01-19
1000RATSUSDT,1750521600000,-1.0,0.00043129,2025,8h,15,20,15,2.0,1750953600000,True,2025-06-21
1000RATSUSDT,1754121600000,0.25376683149736,0.00024115,2025,8h,15,20,15,2.0,1754553600000,True,2025-08-02
1000RATSUSDT,1779177600000,-1.0,0.00031686,2026,8h,15,20,15,2.0,1779609600000,False,2026-05-19
1000SHIBUSDT,1631001600000,-1.0,0.00037679,2021,8h,15,20,15,2.0,1631433600000,False,2021-09-07
1000SHIBUSDT,1665417600000,-0.1592604781450189,0.0001,2022,8h,15,20,15,2.0,1665849600000,True,2022-10-10
1000SHIBUSDT,1666195200000,-0.1523392207698833,0.0001,2022,8h,15,20,15,2.0,1666627200000,True,2022-10-19
1000SHIBUSDT,1670803200000,-1.0,0.0001,2022,8h,15,20,15,2.0,1671235200000,True,2022-12-12
1000SHIBUSDT,1671206400000,-1.0,0.0001,2022,8h,15,20,15,2.0,1671638400000,True,2022-12-16
1000SHIBUSDT,1672185600000,-0.3369546009788161,0.0001,2022,8h,15,20,15,2.0,1672617600000,True,2022-12-28
1000SHIBUSDT,1683360000000,1.0841509184471412,0.0001,2023,8h,15,20,15,2.0,1683792000000,True,2023-05-06
