tf,ob_thresh,hold_bars,atr_mult,n,avg_r,total_r,win_rate,pf,y2019_n,y2019_total,y2019_avg,y2020_n,y2020_total,y2020_avg,y2021_n,y2021_total,y2021_avg,y2022_n,y2022_total,y2022_avg,y2023_n,y2023_total,y2023_avg,y2024_n,y2024_total,y2024_avg,y2025_n,y2025_total,y2025_avg,y2026_n,y2026_total,y2026_avg,y2022_positive,r2025_share,flag_2025_conc
8h,70,30,2.0,639,0.049247605941831966,31.469220196830626,0.36619718309859156,1.0800730661090163,1,1.527212196119883,1.527212196119883,7,-1.4986184929263184,-0.2140883561323312,38,-7.5330656583918225,-0.19823856995767955,110,-11.293419020562876,-0.10266744564148068,165,-38.50689746884697,-0.23337513617483013,115,85.13351722291908,0.7402914541123399,115,-15.093965215261305,-0.13125187143705483,88,18.734456633780944,0.21289155265660165,False,-0.47964217482521126,False
8h,75,30,2.0,151,0.04892352880157175,7.387452849037334,0.3576158940397351,1.076567513509383,0,0.0,,0,0.0,,6,3.434647566294367,0.5724412610490611,23,0.25494927587934724,0.01108475112518901,47,-14.406197189337037,-0.3065148338156816,25,30.763389631483584,1.2305355852593434,34,-13.781399332135443,-0.40533527447457185,16,1.1220628968525124,0.07012893105328202,True,-1.8655143543733494,False
8h,70,20,2.0,641,0.025068626857494062,16.068989815653694,0.40717628705148207,1.0442587518240136,1,0.6469925313973517,0.6469925313973517,7,1.3026313113948615,0.18609018734212307,38,-7.879408027242392,-0.2073528428221682,111,19.862068813483546,0.17893755687823015,166,-47.331053666667145,-0.28512682931727196,115,59.48928150627256,0.517298100054544,115,-39.35099837696781,-0.34218259458232875,88,29.329475723982725,0.33328949686344006,True,-2.4488781702153934,False
8h,70,30,3.0,594,0.007441197708899836,4.420071439086502,0.4444444444444444,1.0148062923801218,1,1.018141464079922,1.018141464079922,7,0.9271679986105759,0.13245257123008228,34,-3.5823390119063263,-0.10536291211489195,102,-13.790314043208681,-0.13519915728635962,151,-35.79124556026466,-0.23702811629314346,111,66.53060515167333,0.5993748211862462,108,-16.943603026854458,-0.15688521321161536,80,6.051658466956807,0.07564573083696009,False,-3.833332393006797,False
8h,75,15,2.0,151,0.0054588775018208436,0.8242905027749474,0.39072847682119205,1.0095717958661419,0,0.0,,0,0.0,,6,4.28906112772731,0.714843521287885,23,0.8719145545926379,0.03790932846054947,47,-6.674440247831943,-0.14200936697514774,25,19.472667506253075,0.778906700250123,34,-15.265364610848886,-0.4489813120837908,16,-1.8695478271172465,-0.11684673919482791,True,-18.519398876316696,False
4h,65,30,3.0,2344,0.004095302826711066,9.59938982581074,0.44837883959044367,1.0083805696363093,1,1.0257614316668253,1.0257614316668253,61,-17.87686915918646,-0.2930634288391223,159,-17.678982074834842,-0.11118856650839523,399,43.206510916261465,0.10828699477759765,442,-112.09441902737464,-0.25360728286736345,466,-104.5764736635719,-0.22441303361281525,616,201.7708847951365,0.3275501376544424,200,15.822976607713818,0.07911488303856909,True,21.019136471842934,True
4h,65,30,2.0,2551,-0.003086656280617575,-7.874060171855433,0.35946687573500585,0.9949650195050475,1,1.5386421475002392,1.5386421475002392,72,-25.987042267512315,-0.36093114260433773,179,-23.222355236993558,-0.1297338281396288,432,65.55409827535038,0.15174559785960737,496,-161.27178310842677,-0.32514472400892497,510,-116.85022030125077,-0.22911807902206033,650,217.76985606717767,0.33503054779565794,211,34.5947442522997,0.16395613389715497,True,,False
4h,65,15,3.0,2488,-0.010094234359854353,-25.114455087317634,0.4995980707395498,0.9717618526528498,1,0.699573457428492,0.699573457428492,68,-15.671914898649959,-0.23046933674485234,173,-6.23140260355885,-0.03601966822866387,429,5.755018290851755,0.01341496105093649,474,-72.55345964934736,-0.15306637056824338,490,-93.12996372090062,-0.1900611504508176,642,146.23411550806725,0.22777899611848482,211,9.78357852879164,0.046367670752567015,True,,False
8h,70,15,2.0,642,-0.010855497555097666,-6.969229430372701,0.4221183800623053,0.9801030581942192,1,0.9157599481252323,0.9157599481252323,7,1.278951070364501,0.1827072957663573,39,-3.6665288205734408,-0.0940135595018831,111,8.634336421993373,0.07778681461255291,166,-43.39594108510329,-0.2614213318379716,115,51.555308401450716,0.4483070295778323,115,-35.7913949788012,-0.31122952155479305,88,13.500279612171404,0.15341226832012958,True,,False
8h,70,20,3.0,596,-0.014865772715056848,-8.860000538173882,0.46812080536912754,0.9671219172988913,1,0.4313283542649011,0.4313283542649011,7,2.8941561089030223,0.41345087270043174,34,-4.288328420780842,-0.1261273064935542,103,4.561323898392304,0.04428469804264373,152,-43.692046811858546,-0.28744767639380625,111,41.8851556440566,0.37734374454105046,108,-27.415061683533356,-0.25384316373641996,80,16.763472372382036,0.20954340465477544,True,,False
8h,75,30,3.0,145,-0.0159524329352684,-2.313102775613918,0.43448275862068964,0.9703025190369834,0,0.0,,0,0.0,,6,1.6230983775295766,0.27051639625492946,22,-2.7812208727468075,-0.12641913057940035,44,-17.004494580898868,-0.38646578592951975,25,21.09974109643821,0.8439896438575283,32,-4.5532736432089855,-0.1422898013502808,16,-0.6969531527270412,-0.04355957204544007,False,,False
4h,65,20,3.0,2416,-0.023327380781996483,-56.358951969303504,0.47019867549668876,0.9435660376347476,1,0.8983466136859657,0.8983466136859657,64,-12.743147296902338,-0.19911167651409903,169,-14.656556900279917,-0.08672518875905276,412,-2.491171254605298,-0.006046532171372083,462,-77.15308692637808,-0.166998023650169,477,-94.61342865956053,-0.19835100347916254,626,137.92994321608523,0.22033537254965693,205,6.470149238651475,0.03156170360317793,False,,False
8h,65,30,2.0,1607,-0.02600930977204848,-41.796960803681905,0.3497199751088986,0.9588575467922226,1,0.9500543567616867,0.9500543567616867,24,-8.934102557549918,-0.3722542732312466,96,-12.165667290388166,-0.1267257009415434,289,-16.72603266074071,-0.05787554553889519,363,-74.23149000296247,-0.20449446281807845,325,1.5158369292409546,0.004664113628433706,299,42.454008162341665,0.14198664937238015,210,25.34043225961507,0.12066872504578605,False,,False
