symbol,entry_ts,r,funding,year,tf,ob_thresh,hold_bars,atr_mult
1000SHIBUSDT,1666756800000,-1.0,0.0001,2022,4h,65,10,2.0
1000SHIBUSDT,1672862400000,-1.0,0.0001,2023,4h,65,10,2.0
1000SHIBUSDT,1672905600000,0.20833968614484533,0.0001,2023,4h,65,10,2.0
1000SHIBUSDT,1680307200000,-1.0,0.0001,2023,4h,65,10,2.0
1000SHIBUSDT,1684828800000,1.765170630244204,0.0001,2023,4h,65,10,2.0
1000SHIBUSDT,1685232000000,0.3324066634968789,0.0001,2023,4h,65,10,2.0
1000SHIBUSDT,1696190400000,1.4074253511749852,0.0001,2023,4h,65,10,2.0
1000SHIBUSDT,1697270400000,0.4765946666661653,0.0001,2023,4h,65,10,2.0
1000SHIBUSDT,1697443200000,-1.0,0.0001,2023,4h,65,10,2.0
1000SHIBUSDT,1697889600000,-0.7323041689108581,0.0001,2023,4h,65,10,2.0
1000SHIBUSDT,1707364800000,-1.0,0.0001,2024,4h,65,10,2.0
1000SHIBUSDT,1720872000000,-1.0,0.0001,2024,4h,65,10,2.0
1000SHIBUSDT,1724313600000,-1.0,0.0001,2024,4h,65,10,2.0
1000SHIBUSDT,1735848000000,-1.0,0.0001,2025,4h,65,10,2.0
1000SHIBUSDT,1742817600000,-1.0,0.0001,2025,4h,65,10,2.0
1000SHIBUSDT,1744459200000,0.5295968321035499,0.0001,2025,4h,65,10,2.0
1000SHIBUSDT,1745006400000,0.3297780622053225,0.0001,2025,4h,65,10,2.0
1000SHIBUSDT,1759334400000,-0.1487049952775096,0.0001,2025,4h,65,10,2.0
1000SHIBUSDT,1761494400000,0.5002490281786901,0.0001,2025,4h,65,10,2.0
1000SHIBUSDT,1762531200000,0.3473032490970273,0.0001,2025,4h,65,10,2.0
1000SHIBUSDT,1764792000000,1.26630646271339,0.0001,2025,4h,65,10,2.0
1000SHIBUSDT,1767340800000,-1.0,0.0001,2026,4h,65,10,2.0
1000XECUSDT,1643774400000,1.2286684746908023,0.0001,2022,4h,65,10,2.0
1000XECUSDT,1643990400000,-1.0,0.0001,2022,4h,65,10,2.0
1000XECUSDT,1644120000000,-1.0,0.0001,2022,4h,65,10,2.0
1000XECUSDT,1646856000000,-1.0,0.0001,2022,4h,65,10,2.0
1000XECUSDT,1653278400000,0.6293417278790986,0.0001,2022,4h,65,10,2.0
1000XECUSDT,1653940800000,-1.0,0.0001,2022,4h,65,10,2.0
1000XECUSDT,1653984000000,0.9277835567479918,0.0001,2022,4h,65,10,2.0
1000XECUSDT,1657036800000,-1.0,0.0001,2022,4h,65,10,2.0
1000XECUSDT,1658016000000,-1.0,0.0001,2022,4h,65,10,2.0
1000XECUSDT,1666785600000,0.7710602526046321,0.0001,2022,4h,65,10,2.0
1000XECUSDT,1668873600000,-1.0,0.0001,2022,4h,65,10,2.0
1000XECUSDT,1672833600000,-1.0,0.0001,2023,4h,65,10,2.0
1000XECUSDT,1672862400000,-1.0,0.0001,2023,4h,65,10,2.0
1000XECUSDT,1678708800000,-1.0,0.0001,2023,4h,65,10,2.0
1000XECUSDT,1678809600000,0.8095067164468813,0.0001,2023,4h,65,10,2.0
1000XECUSDT,1685304000000,0.5575868815829073,0.0001,2023,4h,65,10,2.0
1000XECUSDT,1687305600000,-1.0,0.0001,2023,4h,65,10,2.0
1000XECUSDT,1687363200000,-1.0,0.0001,2023,4h,65,10,2.0
1000XECUSDT,1687406400000,-1.0,0.0001,2023,4h,65,10,2.0
1000XECUSDT,1694707200000,-0.3612914587736736,0.0001,2023,4h,65,10,2.0
1000XECUSDT,1707364800000,-1.0,0.0001,2024,4h,65,10,2.0
1000XECUSDT,1714838400000,0.0440960514607065,0.0001,2024,4h,65,10,2.0
1000XECUSDT,1725840000000,0.006599028888012039,0.0001,2024,4h,65,10,2.0
1000XECUSDT,1735905600000,-0.3851864551535164,0.0001,2025,4h,65,10,2.0
1000XECUSDT,1736121600000,-1.0,0.0001,2025,4h,65,10,2.0
1000XECUSDT,1736208000000,2.3087392346285087,0.0001,2025,4h,65,10,2.0
1000XECUSDT,1740931200000,2.86394248484665,0.0001,2025,4h,65,10,2.0
1000XECUSDT,1742212800000,-0.012210646204813873,0.0001,2025,4h,65,10,2.0
1000XECUSDT,1742414400000,1.134013721568274,0.0001,2025,4h,65,10,2.0
1000XECUSDT,1742846400000,-1.0,0.0001,2025,4h,65,10,2.0
1000XECUSDT,1744430400000,-1.0,0.0001,2025,4h,65,10,2.0
1000XECUSDT,1744473600000,0.6762225152859648,0.0001,2025,4h,65,10,2.0
1000XECUSDT,1750809600000,0.6056945729480884,0.0001,2025,4h,65,10,2.0
1000XECUSDT,1752048000000,-1.0,0.0001,2025,4h,65,10,2.0
1000XECUSDT,1757390400000,0.16896981172237546,0.0001,2025,4h,65,10,2.0
1000XECUSDT,1759334400000,-0.27137081383002326,0.0001,2025,4h,65,10,2.0
1000XECUSDT,1759492800000,0.2602189775939355,0.0001,2025,4h,65,10,2.0
1000XECUSDT,1761480000000,1.2404686732723793,0.0001,2025,4h,65,10,2.0
1000XECUSDT,1762531200000,0.4054527479500308,0.0001,2025,4h,65,10,2.0
1000XECUSDT,1764792000000,1.1972727400178909,0.0001,2025,4h,65,10,2.0
1000XECUSDT,1771056000000,0.7223011539965154,0.0001,2026,4h,65,10,2.0
1000XECUSDT,1772035200000,0.9816087284362333,0.0001,2026,4h,65,10,2.0
1000XECUSDT,1773604800000,-1.0,0.0001,2026,4h,65,10,2.0
1000XECUSDT,1773734400000,1.3148583302053307,0.0001,2026,4h,65,10,2.0
1INCHUSDT,1627286400000,0.1961835076784304,0.0001,2021,4h,65,10,2.0
1INCHUSDT,1640232000000,-1.0,0.0001,2021,4h,65,10,2.0
1INCHUSDT,1640318400000,0.14611422934578883,0.0001,2021,4h,65,10,2.0
1INCHUSDT,1640592000000,2.004999641573931,0.0001,2021,4h,65,10,2.0
1INCHUSDT,1644019200000,0.04657963108095469,0.0001,2022,4h,65,10,2.0
