year,n,win_rate,avg_r,pf,max_dd_r,total_r,avg_bars
2021,9,0.5555555555555556,0.014866666666666707,1.0762914813547724,1.7538,0.13380000000000036,19.0
2022,62,0.5967741935483871,0.15243548387096775,1.790528050320778,6.2456,9.451,16.35483870967742
2023,56,0.625,0.2609035714285714,2.336046160739596,6.2796,14.6106,14.357142857142858
2024,51,0.8235294117647058,0.5139980392156863,5.4292955747427465,3.1647,26.213900000000002,15.92156862745098
2025,42,0.5714285714285714,0.23854523809523812,2.769529663187269,2.3149999999999977,10.0189,16.833333333333332
2026,39,0.5384615384615384,-0.06624871794871796,0.8114294055395396,11.408500000000002,-2.5837000000000003,14.179487179487179
