symbol,n,win_rate,avg_r,total_r,max_dd_r
ZEC_USDT,8,1.0,0.5369,4.3,0.0
GRT_USDT,7,0.8571,0.4656,3.26,0.05
LPT_USDT,9,0.6667,0.3586,3.23,0.75
TIA_USDT,4,0.75,0.7712,3.08,0.03
HBAR_USDT,7,0.8571,0.4247,2.97,0.0
DOGE_USDT,3,1.0,0.9744,2.92,0.0
SOL_USDT,7,0.5714,0.4024,2.82,1.0
ICP_USDT,9,0.5556,0.3094,2.78,0.31
CHZ_USDT,10,0.7,0.2725,2.73,2.0
APT_USDT,7,0.7143,0.3647,2.55,0.71
DASH_USDT,6,0.6667,0.4192,2.52,0.05
ATOM_USDT,8,0.75,0.2995,2.4,0.49
ZEN_USDT,5,1.0,0.4629,2.31,0.0
SEI_USDT,5,0.8,0.4533,2.27,1.0
PEPE_USDT,3,0.6667,0.6864,2.06,0.0
ADA_USDT,7,0.8571,0.2768,1.94,1.0
FIL_USDT,10,0.5,0.1658,1.66,0.34
SUI_USDT,8,0.625,0.2029,1.62,1.0
SPK_USDT,1,1.0,1.4362,1.44,0.0
UNI_USDT,4,0.75,0.3242,1.3,1.0
FET_USDT,6,0.6667,0.2035,1.22,0.59
BTC_USDT,9,0.5556,0.1208,1.09,1.0
PENDLE_USDT,2,1.0,0.484,0.97,0.0
DOT_USDT,6,0.5,0.1605,0.96,1.0
ENA_USDT,3,0.6667,0.2878,0.86,0.63
LTC_USDT,5,0.4,0.1679,0.84,1.16
AAVE_USDT,2,1.0,0.4184,0.84,0.0
ARB_USDT,7,0.5714,0.1047,0.73,1.2
LINK_USDT,6,0.6667,0.1175,0.71,1.0
EIGEN_USDT,4,0.5,0.1736,0.69,0.02
ETH_USDT,6,0.5,0.1139,0.68,0.74
RENDER_USDT,2,0.5,0.3219,0.64,0.05
ONDO_USDT,1,1.0,0.5839,0.58,0.0
PENGU_USDT,1,1.0,0.4925,0.49,0.0
TAO_USDT,2,0.5,0.1946,0.39,0.0
NIL_USDT,2,0.5,0.1845,0.37,0.0
JTO_USDT,3,0.3333,0.1115,0.33,0.45
ORDI_USDT,2,1.0,0.1163,0.23,0.0
ALT_USDT,5,0.6,0.0293,0.15,0.44
WLD_USDT,2,0.5,0.0256,0.05,0.0
NEAR_USDT,8,0.5,-0.0048,-0.04,1.09
ASTER_USDT,1,0.0,-0.067,-0.07,0.0
BCH_USDT,4,0.5,-0.021,-0.08,1.0
SAGA_USDT,7,0.5714,-0.0356,-0.25,1.15
TRX_USDT,4,0.5,-0.0914,-0.37,1.0
INJ_USDT,5,0.4,-0.0771,-0.39,1.05
ARKM_USDT,2,0.0,-0.3153,-0.63,0.14
TON_USDT,6,0.5,-0.1057,-0.63,1.0
XRP_USDT,5,0.4,-0.1396,-0.7,1.28
AVAX_USDT,3,0.3333,-0.3108,-0.93,0.44
BNB_USDT,10,0.5,-0.1055,-1.05,2.0
