symbol,entry_time,exit_time,entry_price,exit_price,stop_loss,net_r,win,bars_held,exit_reason,year
FIL_USDT,2021-05-19,2021-06-08,65.28,76.02,12.452143,0.2033,1,20,time_exit,2021
BTC_USDT,2021-05-19,2021-06-08,36690.09,33380.81,21645.034286,-0.22,0,20,time_exit,2021
ICP_USDT,2021-05-25,2021-06-14,134.04,66.69,-62.513571,-0.3427,0,20,time_exit,2021
LPT_USDT,2021-06-11,2021-07-01,26.11,18.34,17.264286,-0.8784,0,20,time_exit,2021
ICP_USDT,2021-06-15,2021-07-05,60.39,46.22,15.079286,-0.3127,0,20,time_exit,2021
LPT_USDT,2021-07-12,2021-07-29,14.7,16.08,10.281429,0.3123,1,17,rsi_exit,2021
ICP_USDT,2021-07-16,2021-08-05,32.37,42.1,18.758571,0.7148,1,20,time_exit,2021
LINK_USDT,2021-12-05,2021-12-23,19.48,22.17,11.720714,0.3467,1,18,rsi_exit,2021
AAVE_USDT,2021-12-06,2021-12-22,184.6,206.5,114.078571,0.3105,1,16,rsi_exit,2021
TRX_USDT,2022-01-08,2022-01-22,0.06539,0.054699,0.054699,-1.0,0,14,atr_stop,2022
INJ_USDT,2022-01-21,2022-02-10,5.235,4.999,3.462,-0.1331,0,20,time_exit,2022
BTC_USDT,2022-01-21,2022-02-04,36445.31,41574.25,30264.101429,0.8298,1,14,rsi_exit,2022
BCH_USDT,2022-01-21,2022-02-07,314.9,343.1,250.742857,0.4395,1,17,rsi_exit,2022
ETH_USDT,2022-01-21,2022-02-04,2568.15,2994.99,1900.855714,0.6397,1,14,rsi_exit,2022
ZEN_USDT,2022-01-21,2022-02-05,38.9,45.55,24.508571,0.4621,1,15,rsi_exit,2022
ZEC_USDT,2022-01-21,2022-02-05,102.3,116.0,69.921429,0.4231,1,15,rsi_exit,2022
FIL_USDT,2022-01-22,2022-02-07,19.01,24.52,11.259286,0.7109,1,16,rsi_exit,2022
XRP_USDT,2022-01-22,2022-02-06,0.5966,0.6825,0.448293,0.5792,1,15,rsi_exit,2022
CHZ_USDT,2022-01-22,2022-02-06,0.1762,0.2317,0.107864,0.8122,1,15,rsi_exit,2022
DASH_USDT,2022-01-22,2022-02-07,97.0,115.8,63.357143,0.5588,1,16,rsi_exit,2022
SOL_USDT,2022-01-22,2022-02-07,94.54,117.55,56.701429,0.6081,1,16,rsi_exit,2022
