entry_hour_utc,0G/USDT,1000CAT/USDT,1000CHEEMS/USDT,1000SATS/USDT,1INCH/USDT,1MBABYDOGE/USDT,2Z/USDT,A/USDT,AAVE/USDT,ACE/USDT,ACH/USDT,ACM/USDT,ACT/USDT,ACX/USDT,ADA/USDT,ADX/USDT,AEVO/USDT,AGLD/USDT,AI/USDT,AIXBT/USDT,ALCX/USDT,ALGO/USDT,ALICE/USDT,ALLO/USDT,ALPINE/USDT,ALT/USDT,AMP/USDT,ANIME/USDT,ANKR/USDT,APE/USDT,API3/USDT,APT/USDT,AR/USDT,ARB/USDT,ARDR/USDT,ARK/USDT,ARKM/USDT,ARPA/USDT,ASR/USDT,ASTER/USDT,ASTR/USDT,AT/USDT,ATA/USDT,ATM/USDT,ATOM/USDT,AUCTION/USDT,AUDIO/USDT,AVA/USDT,AVAX/USDT,AVNT/USDT,AWE/USDT,AXL/USDT,AXS/USDT,BABY/USDT,BCH/USDT,BNB/USDT,BTC/USDT,DOGE/USDT,DOT/USDT,ETH/USDT,ICP/USDT,LINK/USDT,LTC/USDT,NEAR/USDT,SOL/USDT,SUI/USDT,TRX/USDT,UNI/USDT,XRP/USDT
0,-0.30606642955782626,-0.08675030050339225,0.012499800107876456,0.01836023439395647,-0.026387558679337963,-0.0744183219324572,-0.13196545756803804,-0.05863444790046376,-0.023529381039046327,0.03812574652676456,-0.03771966280693405,-0.026000155703794083,0.011836494550433523,-0.06316512910169372,0.03979431456635473,0.015370323527862995,-0.0750203879931896,0.019775604802499014,-0.025046096473733022,-0.09029091137484245,-0.03019559778450285,-0.04389698922960592,0.05630330244771004,-0.01494075771579153,-0.023811252631704947,-0.08998458815820672,-0.039126585688513384,-0.05628860149226258,-0.017992144808178057,0.044255727689254024,0.055540591385455196,-0.035889641028688746,0.0302179913339128,0.020143123065414378,-0.2167670697335728,-0.12962160407552623,-0.017020405964043035,0.03197012114724863,-0.06452041631646603,0.04639924056839249,0.0026707897128184195,-0.06599944322237576,-0.0045610728797186705,-0.03287684995487011,0.0005043864099361968,-0.014972680420820533,0.04284119126669015,-0.019809843461829867,0.036489034123447485,0.23437657032100168,-0.034915852468594744,-0.051472119314942735,0.08222782854588119,-0.14145743210334963,0.03816527343744717,0.051370680634728515,-0.0006151947998070773,0.061947504418106196,0.03739625168092263,0.011062921158257237,0.03687304920569354,-0.005924233301211369,0.05151770474578948,0.008258407776527628,0.0552629978294107,0.03996646373971472,0.027483313083504483,0.05326322129710856,-0.07588288556000276
1,-0.14792040559751657,-0.03187736473354823,-0.04094500247440678,-0.010783705951484493,-0.01602242253023714,-0.03168983433879775,0.0749360924549227,-0.017533518288418547,0.002835566808886038,-0.08520387199905316,0.02534727382938121,-0.02938665108981531,-0.045040176048439746,0.044520847529100564,0.0519063546403261,-0.019123160250821634,-0.05319200484438414,0.015678520369079168,-0.04188647473351278,-0.024205480582734216,-0.06101743773775935,-0.007506461696838307,-0.0027134582585899686,0.14259711571869896,-0.03528069036931822,-0.049376284680494494,-0.009972236111640033,-0.1542806564334645,-0.02377905692051104,0.011334075700107265,-0.005364881817162318,0.0022797702834187507,-0.010258133033214177,-0.02478772576279123,-0.09775743672629734,-0.06932569870422448,-0.04782555116954397,-0.0045189084554706225,0.01831730540279804,-0.07429248400638261,-0.014558323385908662,-0.12593435796611444,-0.01309638396131181,-0.0082102968803174,-0.04092454866390021,-0.011659434928611875,-0.02152112294352641,-0.010630846584771415,-0.0039132068904676786,0.00644720564531853,0.0780371111165687,0.06172056778843591,0.0020244795266596755,0.02757484231858083,0.015100591901517517,-0.03793196596383974,-0.024755906272923966,0.009311115920834953,-0.004647323010570835,-0.03742433201969626,-0.02857271570104182,0.008109778050716476,0.014883258482471285,0.003926226712528582,0.023563251608313966,-0.024516771259088542,-0.02181309884974775,0.0058051232958721555,-0.025629513129199134
2,0.07284880139093293,-0.00579990892017612,0.06821750759647342,0.03019201422679361,-0.015859934936044557,0.024112578329187548,0.01946633039442071,-0.03788132931899213,0.050727214290261106,-0.013584227263541556,-0.013373161613770944,-0.03891096046697278,0.07287739805961503,-0.049220079547718065,-0.011562733880182882,-0.021091077667504735,-0.044512994846280164,0.016814546961153438,-0.01958256255338892,0.07561623142941526,-0.024979919628469308,0.004287402289657042,-0.003926554590502934,0.09423456452044576,-0.01892090231823353,0.03501729973578154,0.006447357517561169,0.10655432620479022,-0.033263651814222646,-0.02481443791296066,0.013435136066322167,-0.025695695695404544,-0.009786852526069072,-0.024160963107647287,-0.06746383604176524,0.011610385520524989,0.054844856066155426,-0.00595810084879441,-0.009236001386435487,0.024636135980466396,0.07269713636501055,-0.14288173819455596,-0.025111209989297494,0.06035903893950742,-0.004162561476779318,0.033906617218151185,-0.02325257239281352,-0.003783967038906561,0.05432903658866563,-0.037396899591980955,0.08851260411925636,-0.031715891883299346,-0.04651161071754914,0.11073541994984337,-0.040478822399968424,-0.004573678564241874,0.022806400538185483,0.0069467191091719,-0.058881929144196356,-0.0071634505374888096,0.01587419036578713,0.0071553057804440105,-0.0010755087511305306,-0.0030671859776551236,0.037259273499510345,0.035507594196144,0.011878254638756825,-0.016705064895776278,0.03362934190266018
3,0.08248299887491628,0.046475369774626914,-0.08392196947735757,-0.019321296134200944,-0.02204192048266749,0.034107856885433094,0.02200024759747222,-0.06272203113072491,0.01067451191821364,0.010891807719941964,0.010123198579959442,0.03353731215674637,-0.0150579189762396,-0.020646464467786143,0.026975659892448253,0.01618167137597318,0.04779959167971957,0.014615954528457391,0.05683004139673087,0.038617944607409076,0.022753780005057133,0.03683673068918179,0.031668555751867354,-0.014262651287036283,-0.0029062337114529346,-0.002571276822099273,-0.03287862371466132,-0.04929476446965612,-0.010099772632561002,0.07261222497949853,0.047111254546456816,0.04527931129801703,-0.035442649127090164,-0.005916200310563864,0.006122309052034641,-0.028066826172160594,0.0038285544266627174,0.015379262194138456,-0.00801217833521529,0.025915329627276443,0.009294952355447379,-0.08203148399216074,0.01897786041272394,-0.0028603009218549674,0.021630984385495818,0.020530514418306958,0.019605420631516907,-0.002365299494790448,0.06492343756156982,-0.03577651587196324,0.09530781409209176,0.0552839201039093,-0.009328568122094281,-0.008707153395434509,0.03558013178384565,0.029238425666689688,0.02099710584741788,0.0323583946298635,0.020211247218166306,0.03706855857752052,0.007796437274380014,0.04024807799150547,-0.011599500475063324,0.03252994471312558,0.0658723540638704,-0.036648575483254085,0.04615736244672557,0.007274382081715348,0.05515769258820091
4,-0.03265861069964639,0.015088648449559634,0.07617808394677027,-0.02648443296247569,0.043964279583635746,0.008863927282336183,-0.08943917584296558,0.05814483476762065,0.00919064492060473,-0.026062574260849545,0.02447326664744696,-0.006085548921810471,0.0017146229207034612,-0.02957986902676893,0.030348568594552136,0.013117995582881688,-0.022999481094490206,0.02542734517622767,0.021153213008029987,-0.011290320208952207,0.009500110509557392,0.049589072406973335,0.010307346657306387,0.0011036240587437263,0.03660313241542831,-0.026679848493274927,0.027336893020940483,0.047971303569743974,0.05735844807305317,0.010077684876558355,0.002909702341361488,-0.01248590876151792,0.017837583155591752,0.04516210450783618,-0.04108355200616203,0.002781993480833962,0.02320794183776918,0.054272592698324955,-0.016639769976237517,-0.16809614779718543,0.0613297410546672,0.06867977574534496,0.027462334363197123,-0.01001050087227518,0.029800510673396872,0.012620646762032634,0.012287415917459726,0.03298674509740581,0.027538211077690028,0.11056749193283297,-0.029999509028925363,0.18967060361910745,0.006869912451881911,-0.03286974816390054,0.032087596450959724,0.025959267685964255,0.03676542255400204,0.05459124916635162,0.013516003450270169,0.03257357677630032,0.059057490873747606,0.028261235414354286,-0.0030957764212031984,0.044895426949975115,0.04468815392052913,0.05259330340260401,0.014360374551996024,0.016106171302793258,0.05160567095619595
5,0.033050282843559035,0.031776194512349656,-0.04673151376187785,-0.018470753726714164,0.0121258683789714,0.04945703596721076,0.043349037576396875,-0.03858757183963133,-0.01705407746918814,0.036735600346821363,-0.014759626496452445,0.05768679193511636,-0.03237834616988238,0.1325930340868422,0.010565172573527322,-0.03118550344832541,0.048932196520751176,0.03168345478935354,0.03903466847891015,0.032404600029698645,0.03888695306833722,0.0206419866243007,0.013517234663117267,-0.1302719445604691,0.09286747254738022,0.0945745724593317,-0.027402112945020974,0.03409957120809021,0.026651018023102577,-0.01317328266324798,0.0060995780231742,-0.019489223146486413,0.005629026057704031,-0.029208663083086662,0.009335767656863796,0.03025776361273275,0.0383067171978384,0.011713725404150475,0.043477331155672316,-0.14970600879497534,0.02062903698318309,0.030885270625639206,0.03771398088796142,0.032788902359852296,-0.012043050447420352,0.0623758848454192,-0.058462682639133345,0.052350902070273514,-0.011395529119643314,-0.008559627363991943,0.03124777011958304,0.05431093661042361,0.015805361700147142,0.10814853499890145,-0.025772436100559216,0.0028778479570709067,-0.002922832499395393,0.011944066602209584,-0.010036482405930476,-0.013914945802669543,0.01861446559056975,0.01952037112767531,-0.03495662173983528,-0.020028604898660853,0.0030094838219599292,-0.03316830518986747,0.045892313599858035,-0.010166309820895406,-0.044787285172068224
6,-0.04842154328904404,-0.08539156719528235,-0.07585192576899323,-0.07283189699921808,0.006373906972431311,-0.004428259079211938,-0.014839307307736225,-0.15021478232933347,0.037452688918370516,-0.0005437254137678923,-0.0019458172627593907,0.04292834978597057,-0.060114552112108914,-0.032166997986670505,-0.019475979876175598,0.05663882766502593,-0.029069425104176073,0.0003177264509154222,-0.004672034476499003,-0.1335639893107077,-0.018363556521313718,-0.01095976055290205,0.0031630902170625714,0.026506527705059586,0.06924354311503242,-0.00706378553910307,-0.009716056859452062,0.030774901084208675,-0.027437686112349365,0.02292312090908363,-0.012880548454131998,0.001115826827705603,0.02855793069434794,-0.010576012261284632,0.018412295206179208,0.035140791366227914,0.01158945238416435,0.023276478847411543,0.0012724290326691162,-0.05926925328296267,-0.024418216718538374,0.06887257758358291,0.04007455469443247,0.032526583751448034,-0.004046153508434428,0.018554445429068016,0.040511913156828325,0.023363589853532152,-0.013631136330828209,0.07188568640578415,0.14966688644862133,0.010765045012321025,-0.002430458934921347,-0.12156815600952824,-0.016883515904366236,0.0016192447598263372,0.013196862766591395,-0.00400791456535648,0.00373984797965766,0.011483347352726056,-0.020092057124142852,0.01733906093107126,-0.017840036739272307,0.00758186134270514,0.015482615153264032,-0.016864962602028997,0.02297284792038295,0.001692195500307759,-0.0753683523405489
7,-0.012008715651753437,0.005560385627086922,0.044163448288185025,-0.016057902846392573,-0.011745975425165893,0.02756583753036226,0.05323168531122581,-0.039520771002071096,-0.0126555078866548,-0.001612184787660052,-0.014349733297838747,0.01040294577289043,-0.07865172799546323,0.03461052231285297,-0.009272904224942646,0.037156322391868564,-0.026002125638435417,-0.004032196720914237,0.0033063282219960807,0.03896024911274772,-0.004409925137611715,-0.0011983385614252374,0.04999132914557926,0.10060992141784587,-0.026692827597145304,-0.009018415018037167,-0.0053049300169717905,0.05250639705329059,-0.000770685810672866,-0.03355765047665699,0.049876934292347776,0.02774226839003296,-0.0008418741438588882,-0.0031217673648349545,0.0006351568790366285,0.057046144022996695,-0.01566057363279545,-0.016659212421146274,0.08864536368144142,0.044293988686551856,-0.019965343290358675,-0.2972942467814475,0.0105341082472909,0.012863878679949177,-0.019650928425991015,0.027488817002492224,-0.027960407203364575,0.008297960856843865,0.0029065126003538265,0.05062950569138746,0.042580530438551534,-0.03975617902443206,-0.015002850143371427,0.020778974944354277,-0.025996744962478537,-0.01827949590177496,-0.02930651434196555,0.015463913746700026,-0.029494538151755907,-0.04056303514234098,-0.04000631568947014,-0.026419383072328575,3.135667693320001e-05,0.01673200828547875,-0.014003301807084909,-0.00903134907885949,-0.009669169875870435,-0.027130479788578885,0.02624279138993679
8,-0.010813165148682217,-0.08243010063909212,0.04057042684241453,-0.06495526427301178,-0.03423927700513608,0.11747435162852822,-0.031636114598992696,-0.04618271952870624,-0.00012512573551042204,-0.06987163481287184,-0.0011434755140171445,0.04412849336186032,-0.04322059475461717,-0.11762350092321754,0.004204513196656611,0.06055106876386559,-0.018300565819453156,-0.027611324412003754,-0.048221701106231876,0.03561995079891433,0.017060302368900184,0.019175374309093933,-0.03460577836416063,-0.1386065170854373,0.026825643930064747,0.004352568175682202,-0.04901866882094545,-0.10118855050117549,-0.018472174077553576,-0.015004135585900679,-0.035702338169332486,-0.0016389479128330736,-0.052820124261574265,0.014377484332146468,-0.04289118928458536,-0.08366318937481747,-0.09602968040056388,-0.03359716261104655,0.04408556166480537,0.03694406543971067,-0.039701535728950445,-0.07441098174426126,-0.062313843535998156,0.07288459720740262,0.02226508198427733,-0.06572684712469376,-0.0036599642643738955,0.011407079954953964,-0.006176780402629743,-0.1971361100390289,-0.00392348515867132,-0.05674921074165587,-0.007156645020002841,-0.048825553673241026,-0.029486470498970185,0.05223944461269626,0.035238807835988546,0.008059399840778164,-0.019651576004569404,0.03586821301413722,-0.045671943313090664,0.01037508075304226,0.028754234112592647,0.04242928679845255,0.01677276114722281,0.04536309838408028,0.037821875069478594,0.0002854467642575667,0.04643008867737901
9,0.05007535786475108,0.06773983660094322,0.07441394672821719,-0.013971603859982007,-0.01598955490242141,0.08508333422576424,0.08203180464801832,0.06702774332925862,0.03545451168257848,-0.012583201365760535,-0.011101955531722866,0.010409168249186751,0.07525664072691463,0.03169860448076325,0.02314292489458732,0.03465599046390593,0.007428387242212885,0.044508651245616586,0.038553146456004495,-0.03504095933637033,0.018357096241994317,0.0393268941166036,0.012120049865383202,-0.04108411292600922,0.057469945705743423,0.18518883974978728,-0.01088329553756981,0.06739473581139996,0.007237195064520858,-0.02102979331182006,0.0019161131099669243,0.02363825221497618,-0.013328978578869537,0.030449800179663818,0.038427584288407104,0.05661141105427053,0.024907519522336233,0.03430316095956463,-0.013434338040511157,0.2075497499046548,0.003969001670127717,-0.07431743344269744,-0.005428856945727376,0.038639443912375164,0.007094110154149948,0.031553853213031835,0.008519027452873336,0.02439641037902374,0.007091820635700512,0.04779602598037228,-0.057319622903850585,-0.040855809119039854,0.046304245659527114,-0.0712386593749255,0.01596926216456898,0.003136258467527845,0.030157720916508257,0.01847107793433899,0.008041604687182128,0.036238679166257226,0.002804414737967322,0.027617890779539966,0.028241734802117287,-0.0013360477347425222,0.04556506902226772,0.0350272889174684,0.041543241604388936,-0.002158513851201754,0.031521418267414995
