timeframe,entry_hour,hold_bars,side,filter_mode,trades,avg_r,total_r,win_rate,asset_coverage,n_yr_pass,n_yr_counted,yr_2022,yr_2023,yr_2024,yr_2025,pass_cost_floor,zone_pass_rate,stability_zone_pass,stability_pass
4h,0,4,SHORT,weekday,60133,0.050822927806982325,3056.135117817268,0.5204130843297358,0.7971014492753623,4,4,True,True,True,True,False,0.0,False,False
4h,4,1,LONG,ema200_price,30464,0.024585203718420146,748.9636460779514,0.4838826155462185,0.7391304347826086,3,4,True,True,True,False,False,0.0,False,False
4h,4,1,LONG,none,84130,0.015059223163961232,1266.9324447840584,0.49286818019731365,0.6811594202898551,4,4,True,True,True,True,False,0.0,False,False
4h,4,1,LONG,weekday,60133,0.008998218355275981,541.0898643578106,0.48718673606838175,0.6231884057971014,4,4,True,True,True,True,False,0.0,False,False
4h,4,1,SHORT,ema200_price,53666,-0.009651712419522748,-517.9687987061078,0.47519844967018227,0.4492753623188406,1,4,False,True,False,False,False,0.0,False,False
4h,4,1,SHORT,none,84130,-0.015059223163961232,-1266.9324447840584,0.48392963271128014,0.3188405797101449,0,4,False,False,False,False,False,0.0,False,False
4h,4,1,SHORT,weekday,60133,-0.008998218355275981,-541.0898643578106,0.4910947399930155,0.37681159420289856,0,4,False,False,False,False,False,0.0,False,False
4h,4,2,LONG,ema200_price,30464,0.01346836246640685,410.3001941766183,0.46907825630252103,0.5072463768115942,3,4,True,True,True,False,False,0.0,False,False
4h,4,2,LONG,none,84130,0.012031515924733362,1012.2114347478177,0.4843932009984548,0.4927536231884058,3,4,True,True,True,False,False,0.0,False,False
4h,4,2,LONG,weekday,60133,0.012394274408697857,745.3049030182283,0.4867876207739511,0.5652173913043478,4,4,True,True,True,True,False,0.0,False,False
4h,4,2,SHORT,ema200_price,53666,-0.01121587672960905,-601.9112405711993,0.48764580926471135,0.5072463768115942,0,4,False,False,False,False,False,0.0,False,False
4h,4,2,SHORT,none,84130,-0.012031515924733362,-1012.2114347478177,0.49928681801973135,0.5072463768115942,1,4,False,False,False,True,False,0.0,False,False
4h,4,2,SHORT,weekday,60133,-0.012394274408697857,-745.3049030182283,0.49787969999833703,0.43478260869565216,0,4,False,False,False,False,False,0.0,False,False
4h,4,3,LONG,ema200_price,30464,-0.039339088012517766,-1198.4259772133412,0.4517791491596639,0.21739130434782608,2,4,True,True,False,False,False,0.0,False,False
4h,4,3,LONG,none,84130,-0.022373307314678976,-1882.2663443839422,0.46774040175918224,0.21739130434782608,1,4,True,False,False,False,False,0.0,False,False
4h,4,3,LONG,weekday,60133,-0.03263632217286983,-1962.5199612211818,0.46744715879799775,0.21739130434782608,1,4,True,False,False,False,False,0.0,False,False
4h,4,3,SHORT,ema200_price,53666,0.012742525382376208,683.8403671706016,0.5092796183803525,0.6956521739130435,2,4,False,True,False,True,False,0.0,False,False
4h,4,3,SHORT,none,84130,0.022373307314678976,1882.2663443839422,0.5204802092000476,0.782608695652174,3,4,False,True,True,True,False,0.0,False,False
4h,4,3,SHORT,weekday,60133,0.03263632217286983,1962.5199612211818,0.5216603196248316,0.782608695652174,3,4,False,True,True,True,False,0.0,False,False
4h,4,4,LONG,ema200_price,30464,-0.02393978494838112,-729.3016086674824,0.45709690126050423,0.2608695652173913,1,4,False,True,False,False,False,0.0,False,False
4h,4,4,LONG,none,84130,-0.028946931137990555,-2435.3053166391455,0.4696778794722453,0.2318840579710145,1,4,False,True,False,False,False,0.0,False,False
4h,4,4,LONG,weekday,60133,-0.035888935941433234,-2158.1093849662047,0.4702243360550779,0.18840579710144928,0,4,False,False,False,False,False,0.0,False,False
4h,4,4,SHORT,ema200_price,53666,0.03178928386635232,1706.0037079716635,0.5113479670554913,0.6666666666666666,4,4,True,True,True,True,False,0.0,False,False
4h,4,4,SHORT,none,84130,0.028946931137990555,2435.3053166391455,0.5199334363485083,0.7681159420289855,3,4,True,False,True,True,False,0.0,False,False
4h,4,4,SHORT,weekday,60133,0.035888935941433234,2158.1093849662047,0.5205627525651473,0.8115942028985508,4,4,True,True,True,True,False,0.0,False,False
4h,8,1,LONG,ema200_price,30545,-0.013897617755428618,-424.50273433956716,0.46550990342118187,0.2753623188405797,1,4,False,True,False,False,False,0.0,False,False
4h,8,1,LONG,none,84130,-0.002396853936873384,-201.64732170915778,0.4768691311066207,0.36231884057971014,2,4,False,True,True,False,False,0.0,False,False
4h,8,1,LONG,weekday,60133,0.00421403805076016,253.40275010636068,0.4856900537142667,0.5072463768115942,3,4,False,True,True,True,False,0.0,False,False
4h,8,1,SHORT,ema200_price,53585,-0.004158914110859559,-222.8554126304095,0.48987589810581317,0.43478260869565216,2,4,True,False,False,True,False,0.0,False,False
4h,8,1,SHORT,none,84130,0.002396853936873384,201.64732170915778,0.5003447046237965,0.6376811594202898,2,4,True,False,False,True,False,0.0,False,False
4h,8,1,SHORT,weekday,60133,-0.00421403805076016,-253.40275010636068,0.4926745713668036,0.4927536231884058,1,4,True,False,False,False,False,0.0,False,False
4h,8,2,LONG,ema200_price,30545,-0.06825973756504454,-2084.9936839242855,0.44599770829923063,0.10144927536231885,0,4,False,False,False,False,False,0.0,False,False
4h,8,2,LONG,none,84130,-0.036615333212027514,-3080.447983127875,0.4621894686794247,0.10144927536231885,0,4,False,False,False,False,False,0.0,False,False
4h,8,2,LONG,weekday,60133,-0.04066576446815424,-2445.354414763519,0.4614604293815376,0.13043478260869565,0,4,False,False,False,False,False,0.0,False,False
4h,8,2,SHORT,ema200_price,53585,0.018577107384596243,995.4542992035896,0.5109825510870579,0.7391304347826086,4,4,True,True,True,True,False,0.0,False,False
4h,8,2,SHORT,none,84130,0.036615333212027514,3080.447983127875,0.5227148460715559,0.8985507246376812,4,4,True,True,True,True,False,0.0,False,False
4h,8,2,SHORT,weekday,60133,0.04066576446815424,2445.354414763519,0.5240217517835465,0.8695652173913043,4,4,True,True,True,True,False,0.0,False,False
4h,8,3,LONG,ema200_price,30545,-0.0518258511366181,-1583.0206229679998,0.4546734326403667,0.18840579710144928,1,4,False,True,False,False,False,0.0,False,False
4h,8,3,LONG,none,84130,-0.04330414787395837,-3643.177960636118,0.46758587899679066,0.14492753623188406,1,4,False,True,False,False,False,0.0,False,False
4h,8,3,LONG,weekday,60133,-0.04374311094286699,-2630.4044903274207,0.46772986546488615,0.13043478260869565,0,4,False,False,False,False,False,0.0,False,False
4h,8,3,SHORT,ema200_price,53585,0.03844653051540764,2060.1573376681185,0.5112998040496407,0.782608695652174,4,4,True,True,True,True,False,0.0,False,False
4h,8,3,SHORT,none,84130,0.04330414787395837,3643.177960636118,0.5207060501604659,0.855072463768116,3,4,True,False,True,True,False,0.0,False,False
4h,8,3,SHORT,weekday,60133,0.04374311094286699,2630.4044903274207,0.5215272811933548,0.8695652173913043,4,4,True,True,True,True,False,0.0,False,False
4h,8,4,LONG,ema200_price,30539,-0.007526856773751896,-229.86267901360915,0.47244507023805626,0.30434782608695654,2,4,False,True,True,False,False,0.0,False,False
4h,8,4,LONG,none,84062,-0.022955843605261015,-1929.7141251454514,0.4790154885679617,0.18840579710144928,2,4,False,True,True,False,False,0.0,False,False
4h,8,4,LONG,weekday,60065,-0.010140881467934086,-609.1120453714609,0.4859235827853159,0.2898550724637681,2,4,False,True,True,False,False,0.0,False,False
4h,8,4,SHORT,ema200_price,53523,0.0317592707085149,1699.851446131843,0.504979167834389,0.7391304347826086,3,4,True,False,True,True,False,0.0,False,False
4h,8,4,SHORT,none,84062,0.022955843605261015,1929.7141251454514,0.5103970878637196,0.8115942028985508,2,4,True,False,False,True,False,0.0,False,False
4h,8,4,SHORT,weekday,60065,0.010140881467934086,609.1120453714609,0.5039374011487555,0.7101449275362319,2,4,True,False,False,True,False,0.0,False,False
4h,12,1,LONG,ema200_price,30516,-0.05279129155089585,-1610.9790529671377,0.4496329794206318,0.13043478260869565,0,4,False,False,False,False,False,0.0,False,False
4h,12,1,LONG,none,84131,-0.033065716969724684,-2781.8518343799074,0.4583803829741712,0.13043478260869565,0,4,False,False,False,False,False,0.0,False,False
4h,12,1,LONG,weekday,60134,-0.04368911934466291,-2627.201502671959,0.45252269930488576,0.11594202898550725,0,4,False,False,False,False,False,0.0,False,False
4h,12,1,SHORT,ema200_price,53615,0.02183852991537386,1170.8727814127694,0.5148372656905716,0.8405797101449275,4,4,True,True,True,True,False,0.0,False,False
4h,12,1,SHORT,none,84131,0.033065716969724684,2781.8518343799074,0.5227799503155792,0.8695652173913043,4,4,True,True,True,True,False,0.0,False,False
4h,12,1,SHORT,weekday,60134,0.04368911934466291,2627.201502671959,0.5302989989024512,0.8840579710144928,4,4,True,True,True,True,False,0.0,False,False
4h,12,2,LONG,ema200_price,30516,-0.036877111175828856,-1125.3419246415933,0.45389303971686984,0.2608695652173913,1,4,False,True,False,False,False,0.0,False,False
4h,12,2,LONG,none,84131,-0.03980452693233394,-3348.7946553441866,0.4629684658449323,0.13043478260869565,0,4,False,False,False,False,False,0.0,False,False
