run_date,bar_ts_ms,event,symbol,detail,close,funding,entry_price,stop,risk_amount,equity,gross_r,pnl_usdt,dd_pct,arbitrator_reject_reason
2026-07-10,1783627200000,SIGNAL,1000RATSUSDT,cross_down ema20<ema30  close=0.02948  ema200=0.0328752  funding=0.0208%  stop=0.0316743,0.02948,0.00020757,,,,,,,,
2026-07-10,1783627200000,ENTRY,1000RATSUSDT,"price=0.02946  stop=0.0316543  risk=$26.25  funding=0.0208%  equity=$10,000.00",,,0.02946,0.03165428,26.25,10000.0,,,,
2026-07-10,1783627200000,EXIT,1000RATSUSDT,"reason=time_exit_35bars  bars=35  R=0.761  pnl=$19.98  equity=$10,019.98",,,,,,10019.98,0.76107,19.9781,0.0,
2026-07-10,1783627200000,SIGNAL,1000RATSUSDT,cross_down ema20<ema30  close=0.02858  ema200=0.0301629  funding=0.0271%  stop=0.03047,0.02858,0.00027147,,,,,,,,
2026-07-10,1783627200000,SIGNAL_SKIPPED,1000RATSUSDT,arbitrator: lower_priority_bear,,,,,,,,,,lower_priority_bear
2026-07-10,1783627200000,SIGNAL,1000XECUSDT,cross_down ema20<ema30  close=0.005385  ema200=0.00617874  funding=0.0100%  stop=0.00564629,0.005385,0.0001,,,,,,,,
2026-07-10,1783627200000,ENTRY,1000XECUSDT,"price=0.005387  stop=0.00564828  risk=$26.30  funding=0.0100%  equity=$10,019.98",,,0.005387,0.00564828,26.3024,10019.98,,,,
2026-07-10,1783627200000,EXIT,1000XECUSDT,"reason=time_exit_35bars  bars=35  R=1.516  pnl=$39.86  equity=$10,059.84",,,,,,10059.84,1.515615,39.8643,0.0,
2026-07-10,1783627200000,SIGNAL,1000XECUSDT,cross_down ema20<ema30  close=0.005071  ema200=0.00552358  funding=0.0100%  stop=0.005292,0.005071,0.0001,,,,,,,,
2026-07-10,1783627200000,SIGNAL_SKIPPED,1000XECUSDT,arbitrator: lower_priority_bear,,,,,,,,,,lower_priority_bear
2026-07-10,1783627200000,SIGNAL,1INCHUSDT,cross_down ema20<ema30  close=0.0726  ema200=0.0798624  funding=0.0100%  stop=0.0758143,0.0726,0.0001,,,,,,,,
2026-07-10,1783627200000,ENTRY,1INCHUSDT,"price=0.0727  stop=0.0759143  risk=$26.41  funding=0.0100%  equity=$10,059.84",,,0.0727,0.07591428,26.4071,10059.84,,,,
2026-07-10,1783627200000,EXIT,1INCHUSDT,"reason=time_exit_35bars  bars=35  R=1.151  pnl=$30.40  equity=$10,090.24",,,,,,10090.24,1.151113,30.3976,0.0,
2026-07-10,1783627200000,SIGNAL_SKIPPED,AAVEUSDT,duplicate_cross_system,,,,,,,,,,
2026-07-10,1783627200000,SIGNAL,ACHUSDT,cross_down ema20<ema30  close=0.005289  ema200=0.00598079  funding=0.0100%  stop=0.00557314,0.005289,0.0001,,,,,,,,
2026-07-10,1783627200000,ENTRY,ACHUSDT,"price=0.005288  stop=0.00557214  risk=$26.49  funding=0.0100%  equity=$10,090.24",,,0.005288,0.00557214,26.4869,10090.24,,,,
2026-07-10,1783627200000,EXIT,ACHUSDT,"reason=time_exit_35bars  bars=35  R=1.633  pnl=$43.25  equity=$10,133.49",,,,,,10133.49,1.632998,43.253,0.0,
2026-07-10,1783627200000,SIGNAL,ACHUSDT,cross_down ema20<ema30  close=0.004322  ema200=0.00498842  funding=0.0100%  stop=0.00458414,0.004322,0.0001,,,,,,,,
2026-07-10,1783627200000,SIGNAL_SKIPPED,ACHUSDT,arbitrator: lower_priority_bear,,,,,,,,,,lower_priority_bear
2026-07-10,1783627200000,SIGNAL_SKIPPED,ADAUSDT,duplicate_cross_system,,,,,,,,,,
2026-07-10,1783627200000,SIGNAL_SKIPPED,AKTUSDT,duplicate_cross_system,,,,,,,,,,
2026-07-10,1783627200000,SIGNAL,ALCHUSDT,cross_down ema20<ema30  close=0.06826  ema200=0.0697372  funding=0.0142%  stop=0.0712786,0.06826,0.0001423,,,,,,,,
2026-07-10,1783627200000,ENTRY,ALCHUSDT,"price=0.06824  stop=0.0712586  risk=$26.60  funding=0.0142%  equity=$10,133.49",,,0.06824,0.07125858,26.6004,10133.49,,,,
