exit_date,symbol,entry_date,bars_held,entry_price,exit_price,gross_r,pnl_usdt,equity,dd_pct,exit_reason
2026-06-18,1000RATSUSDT,2026-06-13,35,0.02946,0.02779,0.76107,19.9781,10019.9781,0.0,time_exit_35bars
2026-06-24,1000XECUSDT,2026-06-18,35,0.005387,0.004991,1.515615,39.8643,10059.8424,0.0,time_exit_35bars
2026-06-25,1INCHUSDT,2026-06-19,35,0.0727,0.069,1.151113,30.3976,10090.24,0.0,time_exit_35bars
2026-06-23,ACHUSDT,2026-06-18,35,0.005288,0.004824,1.632998,43.253,10133.493,0.0,time_exit_35bars
2026-06-21,ALCHUSDT,2026-06-20,5,0.06824,0.07125858,-1.0,-26.6004,10106.8926,-0.2625,stop_hit
2026-06-30,ARPAUSDT,2026-06-24,35,0.00841,0.00777,1.134189,30.0907,10136.9833,0.0,time_exit_35bars
2026-06-18,ARUSDT,2026-06-18,1,1.901,2.031,-1.0,-26.6096,10110.3737,-0.2625,stop_hit
2026-06-18,ASTRUSDT,2026-06-17,4,0.005764,0.00603658,-1.0,-26.5397,10083.834,-0.5243,stop_hit
2026-06-14,AVAAIUSDT,2026-06-14,1,0.005031,0.00526428,-1.0,-26.4701,10057.3639,-0.7854,stop_hit
2026-06-24,BANDUSDT,2026-06-18,35,0.1657,0.1523,1.7211,45.4381,10102.802,-0.3372,time_exit_35bars
2026-06-22,BATUSDT,2026-06-18,21,0.0877,0.09234286,-1.0,-26.5199,10076.2821,-0.5988,stop_hit
2026-06-24,BNTUSDT,2026-06-18,35,0.2636,0.2549,0.742683,19.6441,10095.9262,-0.405,time_exit_35bars
2026-06-28,C98USDT,2026-06-22,35,0.01412,0.01257,1.969154,52.1861,10148.1123,0.0,time_exit_35bars
2026-06-14,CELOUSDT,2026-06-14,1,0.06005,0.06210858,-1.0,-26.6388,10121.4735,-0.2625,stop_hit
2026-06-21,CHRUSDT,2026-06-18,15,0.01553,0.01639,-1.0,-26.5689,10094.9046,-0.5243,stop_hit
2026-06-24,CKBUSDT,2026-06-18,35,0.001058,0.000953,1.358696,36.0042,10130.9088,-0.1695,time_exit_35bars
2026-06-15,CTSIUSDT,2026-06-14,3,0.02308,0.02415286,-1.0,-26.5936,10104.3152,-0.4316,stop_hit
2026-07-15,ARUSDT,2026-07-15,0,1.983,2.043,-1.0,-26.5238,10077.7914,-0.6929,stop_hit
2026-07-15,CELRUSDT,2026-07-06,35,0.00188,0.001752,1.697163,45.0917,10122.8831,-0.2486,time_exit_35bars
2026-07-15,DASHUSDT,2026-07-15,3,34.13,35.46285714,-1.0,-26.5726,10096.3105,-0.5105,stop_hit
2026-07-15,JASMYUSDT,2026-07-15,5,0.004358,0.00453672,-1.0,-26.5028,10069.8077,-0.7716,stop_hit
2026-07-16,MANAUSDT,2026-07-16,4,0.06956,0.07265142,-1.0,-26.4332,10043.3745,-1.0321,stop_hit
