block_size,total_r_p05,total_r_p50,total_r_p95,dd_p95,pf_p05,pf_p50,prob_positive
1,396.58659244342215,513.7665038967019,632.9644378333021,-7.8186798620374205,2.5360838339819893,3.0902520571212673,1.0
3,387.57291016729573,512.7869746314152,641.3701333534527,-9.36818814873221,2.4835649688844557,3.0909502074431128,1.0
5,380.7615439514054,513.6725842172186,661.7256241608923,-9.998093188399501,2.45952921409738,3.0820105907903104,1.0
10,352.94342379601596,510.0989813066717,676.8326173119566,-11.157916270333901,2.3351768901904566,3.0847752061626235,1.0
20,320.08722922757073,508.74935866949704,695.7863958998173,-12.967892707464527,2.1851007003222556,3.0572450665217716,1.0
