symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,exit_reason,bars_held,net_r,mae_r,mfe_r,atr_pct_at_entry,month,year
DUSK/USDT,2021-01-30 00:00:00+00:00,2021-02-15 00:00:00+00:00,0.0791,0.14652082743627753,0.06166099519277311,0.017439004807226894,chandelier_stop,17,3.8660937468368424,-0.5390215843110814,7.58644208556979,0.7966804979253111,2021-02,2021
BTC/USDT,2021-04-13 00:00:00+00:00,2021-04-18 00:00:00+00:00,63575.0,58092.18941391033,58092.18941391033,5482.810586089671,initial_stop,6,-0.9999999999999996,-2.3060617910233985,0.23327451859178305,0.6388888888888888,2021-04,2021
ETH/USDT,2021-04-01 00:00:00+00:00,2021-05-16 00:00:00+00:00,1968.05,3444.563518119082,1724.885258970873,243.16474102912676,chandelier_stop,46,6.072070777490813,-0.15643715383655665,9.889057064041879,0.6904761904761905,2021-05,2021
MTL/USDT,2021-07-12 00:00:00+00:00,2021-07-14 00:00:00+00:00,2.0585,1.6064286882726542,1.6064286882726542,0.45207131172734594,initial_stop,3,-0.9999999999999998,-1.0878814630392104,0.004866488854588211,0.5714285714285714,2021-07,2021
ARDR/USDT,2021-07-31 00:00:00+00:00,2021-08-01 00:00:00+00:00,0.30594,0.26845633170543487,0.26845633170543487,0.037483668294565106,initial_stop,2,-1.0000000000000004,-1.6545872595130315,0.0968421759437656,0.6150793650793651,2021-08,2021
VTHO/USDT,2021-08-11 00:00:00+00:00,2021-08-17 00:00:00+00:00,0.009651,0.012972703903986653,0.008518532036168591,0.0011324679638314082,chandelier_stop,7,2.9331548530066494,-0.635779574341396,6.63594930718832,0.4166666666666667,2021-08,2021
HBAR/USDT,2021-08-14 00:00:00+00:00,2021-08-17 00:00:00+00:00,0.26285,0.23019599328425483,0.23019599328425483,0.032654006715745136,initial_stop,4,-1.0000000000000002,-1.2436452394192292,0.10412198507819254,0.4523809523809524,2021-08,2021
AVAX/USDT,2021-08-17 00:00:00+00:00,2021-08-26 00:00:00+00:00,23.446,43.956007189201316,20.49994535335526,2.946054646644744,chandelier_stop,10,6.961855650763343,-0.676158537068783,12.060536636842828,0.43253968253968256,2021-08,2021
QTUM/USDT,2021-08-06 00:00:00+00:00,2021-08-27 00:00:00+00:00,8.752,11.53183519812616,7.325398300570302,1.426601699429699,chandelier_stop,22,1.9485713491280934,-0.1500068309785061,4.519831991352361,0.42857142857142855,2021-08,2021
MTL/USDT,2021-07-31 00:00:00+00:00,2021-09-03 00:00:00+00:00,2.2653,4.141596750611505,1.8629446977792528,0.402355302220747,chandelier_stop,35,4.663283272907137,-0.9817193853786675,8.03941188831488,0.5079365079365079,2021-09,2021
