block_size,mc_runs,total_r_p05,total_r_p50,total_r_p95,dd_p95,pf_p05,pf_p50,prob_positive
1,2000,134.88850067094995,208.3069762245643,291.1272039941351,-6.738052414198508,2.037253654621711,2.706017348080799,1.0
3,2000,124.05045868823072,209.2216947368941,296.9811667395525,-7.9286484256531,1.9243568982823813,2.6968079137589487,1.0
5,2000,117.46763350875514,210.02472155452077,306.1941767145365,-8.598307896905087,1.878639200503829,2.719585016933995,1.0
10,2000,101.98042851769254,208.1070920183543,320.1412219908375,-9.27682933794348,1.7494487911086838,2.6986663353182188,1.0
20,2000,100.3204875915705,205.39968603684895,332.41242024979226,-9.64060138998911,1.730990513407744,2.656126551874592,1.0
