entry_n,exit_n,trades,total_r,avg_r,profit_factor
15,7,268,192.3202222646001,0.7176127696440302,2.332797763063428
20,10,230,209.80769387557095,0.9122073646763954,2.713070107544462
25,12,208,196.87250873475188,0.9465024458401532,2.72905102369301
