trades,total_r,avg_r,win_rate,profit_factor,max_dd_r,std_r,t_score,removed_n,removed,assets_remaining
230,209.80769387557095,0.9122073646763954,0.39565217391304347,2.713070107544462,-14.64270634873327,3.104644686979999,4.456004163372515,0,,24
223,173.16738381246432,0.7765353534191225,0.3901345291479821,2.4479936943520966,-18.676605830091823,2.858999226638819,4.056015690121974,1,FET/USDT,23
202,132.9113035600472,0.6579767502972633,0.3811881188118812,2.2050935069069464,-19.98769265037771,2.4801275947482906,3.770615151001644,3,"FET/USDT,SOL/USDT,ZEC/USDT",21
188,102.49756438126626,0.5451998105386503,0.3617021276595745,1.9642100725513,-18.98769265037774,2.4009752481791793,3.1134861486736485,5,"FET/USDT,SOL/USDT,ZEC/USDT,ADA/USDT,VET/USDT",19
