timeframe,linreg_mult,stop_mult,filter_mode,canonical_n,zone_ns,zone_profitable,zone_total,zone_pass_pct,stability,best_avg_r,best_total_r,best_trades,cost_gate,n20_avg_r,overall_gate
1d,1.0,2.0,linreg_slope_positive,40,"[30, 40, 55]",3,3,100.0,PASS,0.1366,81.66,598,FAIL,0.0288,FAIL
1d,1.0,2.0,ema200_price,55,"[40, 55]",2,2,100.0,PASS,0.1348,59.46,441,FAIL,0.0488,FAIL
1d,1.5,3.0,ema200_price,55,"[40, 55]",2,2,100.0,PASS,0.1333,45.19,339,FAIL,0.0173,FAIL
1d,2.5,2.0,linreg_slope_positive,55,"[40, 55]",2,2,100.0,PASS,0.115,25.18,219,FAIL,0.0145,FAIL
1d,1.0,3.0,ema200_price,55,"[40, 55]",2,2,100.0,PASS,0.1068,43.8,410,FAIL,0.0213,FAIL
1d,2.0,2.0,linreg_slope_positive,40,"[30, 40, 55]",3,3,100.0,PASS,0.1046,41.3,395,FAIL,0.0106,FAIL
1d,1.5,3.0,linreg_slope_positive,40,"[30, 40, 55]",3,3,100.0,PASS,0.0963,45.15,469,FAIL,0.0128,FAIL
1d,2.0,3.0,linreg_slope_positive,30,"[25, 30, 40]",3,3,100.0,PASS,0.0852,37.81,444,FAIL,0.0035,FAIL
1d,1.0,3.0,linreg_slope_positive,40,"[30, 40, 55]",3,3,100.0,PASS,0.0813,47.63,586,FAIL,0.0144,FAIL
1d,2.5,3.0,linreg_slope_positive,30,"[25, 30, 40]",3,3,100.0,PASS,0.0681,22.12,325,FAIL,0.0086,FAIL
4h,2.0,2.0,ema200_price,55,"[40, 55]",2,2,100.0,PASS,0.0625,223.81,3580,FAIL,0.006,FAIL
4h,2.0,3.0,ema200_price,55,"[40, 55]",2,2,100.0,PASS,0.0605,204.21,3374,FAIL,0.0026,FAIL
4h,2.5,3.0,ema200_price,55,"[40, 55]",2,2,100.0,PASS,0.0517,134.39,2599,FAIL,0.0044,FAIL
4h,3.0,2.0,ema200_price,30,"[25, 30, 40]",3,3,100.0,PASS,0.0495,139.37,2818,FAIL,0.0064,FAIL
4h,1.5,2.0,ema200_price,55,"[40, 55]",2,2,100.0,PASS,0.0492,219.62,4464,FAIL,0.011,FAIL
4h,2.5,2.0,ema200_price,40,"[30, 40, 55]",3,3,100.0,PASS,0.0469,152.49,3252,FAIL,0.009,FAIL
4h,1.0,2.0,ema200_price,55,"[40, 55]",2,2,100.0,PASS,0.0463,251.88,5439,FAIL,0.0057,FAIL
8h,1.5,2.0,linreg_slope_positive,40,"[30, 40, 55]",3,3,100.0,PASS,0.0452,149.35,3302,FAIL,0.0018,FAIL
8h,2.0,3.0,linreg_slope_positive,40,"[30, 40, 55]",3,3,100.0,PASS,0.0425,101.9,2399,FAIL,-0.0014,FAIL
8h,2.0,2.0,linreg_slope_positive,40,"[30, 40, 55]",2,3,66.7,FAIL,0.042,104.5,2486,FAIL,-0.0038,FAIL
4h,1.5,3.0,ema200_price,55,"[40, 55]",2,2,100.0,PASS,0.0409,173.17,4236,FAIL,0.0067,FAIL
8h,1.5,3.0,linreg_slope_positive,40,"[30, 40, 55]",3,3,100.0,PASS,0.0405,129.69,3203,FAIL,0.0009,FAIL
8h,1.0,2.0,linreg_slope_positive,30,"[25, 30, 40]",3,3,100.0,PASS,0.0393,214.82,5469,FAIL,0.0003,FAIL
4h,1.0,3.0,ema200_price,55,"[40, 55]",2,2,100.0,PASS,0.035,181.86,5200,FAIL,0.0031,FAIL
4h,3.0,3.0,ema200_price,40,"[30, 40, 55]",3,3,100.0,PASS,0.035,81.87,2338,FAIL,-0.0013,FAIL
8h,2.5,3.0,linreg_slope_positive,40,"[30, 40, 55]",2,3,66.7,FAIL,0.0331,58.3,1759,FAIL,-0.0111,FAIL
8h,2.5,2.0,ema200_price,30,"[25, 30, 40]",2,3,66.7,FAIL,0.0326,78.34,2401,FAIL,0.0055,FAIL
8h,2.0,2.0,ema200_price,30,"[25, 30, 40]",3,3,100.0,PASS,0.0325,101.56,3124,FAIL,0.0069,FAIL
8h,1.0,3.0,linreg_slope_positive,40,"[30, 40, 55]",3,3,100.0,PASS,0.0305,130.33,4277,FAIL,0.0001,FAIL
8h,2.5,2.0,linreg_slope_positive,40,"[30, 40, 55]",2,3,66.7,FAIL,0.0299,54.38,1819,FAIL,-0.0149,FAIL
8h,2.0,3.0,ema200_price,30,"[25, 30, 40]",3,3,100.0,PASS,0.0298,90.9,3049,FAIL,0.0048,FAIL
8h,1.5,2.0,ema200_price,30,"[25, 30, 40]",3,3,100.0,PASS,0.028,108.39,3873,FAIL,0.0195,FAIL
8h,1.0,2.0,ema200_price,30,"[25, 30, 40]",3,3,100.0,PASS,0.0273,130.64,4787,FAIL,0.0119,FAIL
8h,2.5,3.0,ema200_price,30,"[25, 30, 40]",2,3,66.7,FAIL,0.0268,63.03,2348,FAIL,0.0019,FAIL
8h,1.5,3.0,ema200_price,30,"[25, 30, 40]",3,3,100.0,PASS,0.0249,94.04,3781,FAIL,0.0135,FAIL
4h,2.5,2.0,linreg_slope_positive,25,"[20, 25, 30]",3,3,100.0,PASS,0.024,90.27,3760,FAIL,0.0171,FAIL
8h,3.0,3.0,ema200_price,40,"[30, 40, 55]",2,3,66.7,FAIL,0.0238,36.27,1525,FAIL,-0.0088,FAIL
8h,1.0,3.0,ema200_price,30,"[25, 30, 40]",3,3,100.0,PASS,0.0216,100.97,4683,FAIL,0.0082,FAIL
4h,1.0,2.0,linreg_slope_positive,55,"[40, 55]",1,2,50.0,FAIL,0.0211,108.28,5138,FAIL,0.0014,FAIL
4h,2.5,3.0,linreg_slope_positive,25,"[20, 25, 30]",3,3,100.0,PASS,0.0166,61.78,3721,FAIL,0.0123,FAIL
4h,1.0,3.0,linreg_slope_positive,55,"[40, 55]",1,2,50.0,FAIL,0.0158,78.51,4974,FAIL,0.0016,FAIL
8h,3.0,3.0,linreg_slope_positive,40,"[30, 40, 55]",1,3,33.3,FAIL,0.0154,19.7,1278,FAIL,-0.0313,FAIL
4h,2.0,3.0,linreg_slope_positive,55,"[40, 55]",1,2,50.0,FAIL,0.0147,41.24,2802,FAIL,0.0013,FAIL
4h,2.0,2.0,linreg_slope_positive,25,"[20, 25, 30]",2,3,66.7,FAIL,0.011,57.77,5241,FAIL,0.0007,FAIL
4h,1.5,3.0,linreg_slope_positive,55,"[40, 55]",1,2,50.0,FAIL,0.0101,38.1,3778,FAIL,0.0029,FAIL
4h,1.5,2.0,linreg_slope_positive,55,"[40, 55]",1,2,50.0,FAIL,0.0079,31.16,3935,FAIL,0.0035,FAIL
4h,3.0,2.0,linreg_slope_positive,30,"[25, 30, 40]",2,3,66.7,FAIL,0.0053,12.15,2313,FAIL,0.0005,FAIL
4h,3.0,3.0,linreg_slope_positive,30,"[25, 30, 40]",2,3,66.7,FAIL,0.0029,6.65,2270,FAIL,-0.0012,FAIL
8h,3.0,2.0,ema200_price,25,"[20, 25, 30]",1,3,33.3,FAIL,0.0027,5.46,2003,FAIL,-0.0086,FAIL
8h,3.0,2.0,linreg_slope_positive,40,"[30, 40, 55]",0,3,0.0,FAIL,-0.0059,-7.82,1330,FAIL,-0.0402,FAIL
1d,3.0,2.0,ema200_price,55,"[40, 55]",2,2,100.0,PASS,0.4021,78.41,195,PASS,0.0319,PASS
1d,3.0,2.0,linreg_slope_positive,55,"[40, 55]",2,2,100.0,PASS,0.3206,48.41,151,PASS,0.0152,PASS
1d,2.5,2.0,ema200_price,40,"[30, 40, 55]",3,3,100.0,PASS,0.2844,76.5,269,PASS,0.0391,PASS
1d,2.0,2.0,ema200_price,55,"[40, 55]",2,2,100.0,PASS,0.2741,81.41,297,PASS,0.0323,PASS
1d,3.0,3.0,ema200_price,55,"[40, 55]",2,2,100.0,PASS,0.2573,47.09,183,PASS,-0.0066,PASS
1d,3.0,3.0,linreg_slope_positive,55,"[40, 55]",2,2,100.0,PASS,0.1941,27.57,142,PASS,-0.0074,PASS
1d,2.5,3.0,ema200_price,55,"[40, 55]",2,2,100.0,PASS,0.1914,44.59,233,PASS,0.0129,PASS
1d,2.0,3.0,ema200_price,55,"[40, 55]",2,2,100.0,PASS,0.1908,52.46,275,PASS,0.0049,PASS
