timeframe,linreg_n,linreg_mult,stop_mult,filter_mode,trades,total_r,avg_r,profit_factor,win_rate_pct
8h,55,2.5,3.0,ema200_price,1730,-37.873,-0.0219,0.949,30.8
8h,10,3.0,2.0,ema200_price,3593,-27.199,-0.0076,0.976,35.2
8h,15,3.0,2.0,ema200_price,2728,-5.012,-0.0018,0.995,34.6
8h,20,3.0,2.0,ema200_price,2309,-19.827,-0.0086,0.98,33.0
8h,25,3.0,2.0,ema200_price,2003,5.458,0.0027,1.006,31.9
8h,30,3.0,2.0,ema200_price,1829,-16.681,-0.0091,0.982,30.9
8h,40,3.0,2.0,ema200_price,1592,3.976,0.0025,1.004,30.5
8h,55,3.0,2.0,ema200_price,1399,-108.521,-0.0776,0.879,24.8
8h,10,3.0,3.0,ema200_price,3585,-20.901,-0.0058,0.973,35.8
8h,15,3.0,3.0,ema200_price,2716,-19.38,-0.0071,0.973,35.3
8h,20,3.0,3.0,ema200_price,2284,-19.994,-0.0088,0.971,34.3
8h,25,3.0,3.0,ema200_price,1976,-12.628,-0.0064,0.981,33.4
8h,30,3.0,3.0,ema200_price,1786,2.079,0.0012,1.003,33.3
8h,40,3.0,3.0,ema200_price,1525,36.271,0.0238,1.059,34.6
8h,55,3.0,3.0,ema200_price,1306,-42.962,-0.0329,0.932,29.4
8h,10,1.0,2.0,linreg_slope_positive,12436,-100.867,-0.0081,0.962,34.5
8h,15,1.0,2.0,linreg_slope_positive,9360,-133.096,-0.0142,0.944,32.3
8h,20,1.0,2.0,linreg_slope_positive,7535,2.635,0.0003,1.001,32.7
8h,25,1.0,2.0,linreg_slope_positive,6274,54.615,0.0087,1.029,32.2
8h,30,1.0,2.0,linreg_slope_positive,5469,214.817,0.0393,1.122,32.4
8h,40,1.0,2.0,linreg_slope_positive,4387,163.461,0.0373,1.102,32.1
8h,55,1.0,2.0,linreg_slope_positive,3412,79.267,0.0232,1.054,30.1
8h,10,1.0,3.0,linreg_slope_positive,12420,-68.482,-0.0055,0.962,34.6
8h,15,1.0,3.0,linreg_slope_positive,9337,-84.193,-0.009,0.947,32.4
8h,20,1.0,3.0,linreg_slope_positive,7500,0.888,0.0001,1.001,33.0
8h,25,1.0,3.0,linreg_slope_positive,6215,50.397,0.0081,1.04,32.7
8h,30,1.0,3.0,linreg_slope_positive,5408,155.793,0.0288,1.133,32.9
8h,40,1.0,3.0,linreg_slope_positive,4277,130.331,0.0305,1.124,32.9
8h,55,1.0,3.0,linreg_slope_positive,3284,78.518,0.0239,1.081,31.5
8h,10,1.5,2.0,linreg_slope_positive,9464,-81.298,-0.0086,0.963,34.9
8h,15,1.5,2.0,linreg_slope_positive,7104,-134.842,-0.019,0.932,32.1
8h,20,1.5,2.0,linreg_slope_positive,5657,10.115,0.0018,1.006,33.3
8h,25,1.5,2.0,linreg_slope_positive,4763,-8.767,-0.0018,0.995,32.9
8h,30,1.5,2.0,linreg_slope_positive,4163,130.061,0.0312,1.085,32.9
8h,40,1.5,2.0,linreg_slope_positive,3302,149.354,0.0452,1.111,32.6
8h,55,1.5,2.0,linreg_slope_positive,2652,26.59,0.01,1.021,29.8
8h,10,1.5,3.0,linreg_slope_positive,9450,-57.768,-0.0061,0.961,35.0
8h,15,1.5,3.0,linreg_slope_positive,7085,-86.985,-0.0123,0.935,32.3
8h,20,1.5,3.0,linreg_slope_positive,5629,4.968,0.0009,1.004,33.6
8h,25,1.5,3.0,linreg_slope_positive,4711,12.197,0.0026,1.011,33.5
8h,30,1.5,3.0,linreg_slope_positive,4101,110.126,0.0269,1.109,33.6
8h,40,1.5,3.0,linreg_slope_positive,3203,129.694,0.0405,1.148,34.0
8h,55,1.5,3.0,linreg_slope_positive,2536,43.953,0.0173,1.051,31.6
8h,10,2.0,2.0,linreg_slope_positive,7139,-92.922,-0.013,0.949,35.1
8h,15,2.0,2.0,linreg_slope_positive,5232,-125.067,-0.0239,0.924,32.1
8h,20,2.0,2.0,linreg_slope_positive,4207,-16.077,-0.0038,0.989,34.2
8h,25,2.0,2.0,linreg_slope_positive,3533,-41.753,-0.0118,0.969,33.1
8h,30,2.0,2.0,linreg_slope_positive,3102,70.484,0.0227,1.056,33.5
8h,40,2.0,2.0,linreg_slope_positive,2486,104.497,0.042,1.092,33.0
8h,55,2.0,2.0,linreg_slope_positive,2047,-26.722,-0.0131,0.976,29.1
8h,10,2.0,3.0,linreg_slope_positive,7128,-64.144,-0.009,0.948,35.2
8h,15,2.0,3.0,linreg_slope_positive,5213,-79.329,-0.0152,0.928,32.4
8h,20,2.0,3.0,linreg_slope_positive,4180,-5.87,-0.0014,0.994,34.7
8h,25,2.0,3.0,linreg_slope_positive,3492,-12.75,-0.0037,0.986,34.0
8h,30,2.0,3.0,linreg_slope_positive,3047,73.157,0.024,1.088,34.7
8h,40,2.0,3.0,linreg_slope_positive,2399,101.902,0.0425,1.137,35.0
8h,55,2.0,3.0,linreg_slope_positive,1933,9.882,0.0051,1.013,32.0
8h,10,2.5,2.0,linreg_slope_positive,5257,-83.374,-0.0159,0.943,35.1
8h,15,2.5,2.0,linreg_slope_positive,3793,-120.029,-0.0316,0.909,32.6
8h,20,2.5,2.0,linreg_slope_positive,3022,-44.892,-0.0149,0.961,33.9
8h,25,2.5,2.0,linreg_slope_positive,2571,-92.736,-0.0361,0.915,31.4
8h,30,2.5,2.0,linreg_slope_positive,2218,54.297,0.0245,1.055,33.7
8h,40,2.5,2.0,linreg_slope_positive,1819,54.381,0.0299,1.06,31.9
8h,55,2.5,2.0,linreg_slope_positive,1522,-38.411,-0.0252,0.957,27.4
8h,10,2.5,3.0,linreg_slope_positive,5249,-62.9,-0.012,0.936,35.4
8h,15,2.5,3.0,linreg_slope_positive,3778,-82.104,-0.0217,0.907,33.1
8h,20,2.5,3.0,linreg_slope_positive,3002,-33.348,-0.0111,0.958,34.5
8h,25,2.5,3.0,linreg_slope_positive,2541,-59.308,-0.0233,0.92,32.4
8h,30,2.5,3.0,linreg_slope_positive,2177,54.317,0.025,1.081,35.1
8h,40,2.5,3.0,linreg_slope_positive,1759,58.297,0.0331,1.096,34.3
8h,55,2.5,3.0,linreg_slope_positive,1435,-5.711,-0.004,0.991,31.1
8h,10,3.0,2.0,linreg_slope_positive,3879,-88.184,-0.0227,0.925,34.6
8h,15,3.0,2.0,linreg_slope_positive,2738,-97.158,-0.0355,0.908,32.5
8h,20,3.0,2.0,linreg_slope_positive,2171,-87.254,-0.0402,0.905,32.8
8h,25,3.0,2.0,linreg_slope_positive,1853,-116.133,-0.0627,0.866,30.0
8h,30,3.0,2.0,linreg_slope_positive,1612,-26.666,-0.0165,0.967,31.5
8h,40,3.0,2.0,linreg_slope_positive,1330,-7.825,-0.0059,0.989,30.9
8h,55,3.0,2.0,linreg_slope_positive,1121,-67.227,-0.06,0.906,24.4
8h,10,3.0,3.0,linreg_slope_positive,3872,-69.909,-0.0181,0.913,35.0
8h,15,3.0,3.0,linreg_slope_positive,2728,-74.113,-0.0272,0.897,33.1
8h,20,3.0,3.0,linreg_slope_positive,2153,-67.495,-0.0313,0.894,33.6
8h,25,3.0,3.0,linreg_slope_positive,1827,-77.731,-0.0425,0.87,31.4
8h,30,3.0,3.0,linreg_slope_positive,1582,-5.114,-0.0032,0.991,33.5
8h,40,3.0,3.0,linreg_slope_positive,1278,19.698,0.0154,1.04,34.0
8h,55,3.0,3.0,linreg_slope_positive,1042,-3.563,-0.0034,0.993,29.5
