timeframe,linreg_n,linreg_mult,stop_mult,filter_mode,trades,total_r,avg_r,profit_factor,win_rate_pct
1d,55,3.0,2.0,ema200_price,195,78.412,0.4021,1.591,27.2
1d,10,3.0,3.0,ema200_price,484,13.807,0.0285,1.131,36.2
1d,15,3.0,3.0,ema200_price,356,-16.56,-0.0465,0.833,31.2
1d,20,3.0,3.0,ema200_price,286,-1.88,-0.0066,0.979,32.5
1d,25,3.0,3.0,ema200_price,251,1.974,0.0079,1.021,31.9
1d,30,3.0,3.0,ema200_price,233,37.488,0.1609,1.373,29.6
1d,40,3.0,3.0,ema200_price,203,35.629,0.1755,1.342,29.6
1d,55,3.0,3.0,ema200_price,183,47.09,0.2573,1.473,31.1
1d,10,1.0,2.0,linreg_slope_positive,2021,23.184,0.0115,1.054,35.0
1d,15,1.0,2.0,linreg_slope_positive,1481,11.608,0.0078,1.029,34.6
1d,20,1.0,2.0,linreg_slope_positive,1140,32.818,0.0288,1.098,33.9
1d,25,1.0,2.0,linreg_slope_positive,944,25.23,0.0267,1.082,31.6
1d,30,1.0,2.0,linreg_slope_positive,779,62.664,0.0804,1.234,31.6
1d,40,1.0,2.0,linreg_slope_positive,598,81.663,0.1366,1.324,30.8
1d,55,1.0,2.0,linreg_slope_positive,476,10.667,0.0224,1.044,25.6
1d,10,1.0,3.0,linreg_slope_positive,2017,19.369,0.0096,1.068,35.1
1d,15,1.0,3.0,linreg_slope_positive,1477,8.356,0.0057,1.032,34.7
1d,20,1.0,3.0,linreg_slope_positive,1136,16.367,0.0144,1.071,34.0
1d,25,1.0,3.0,linreg_slope_positive,933,16.587,0.0178,1.081,31.9
1d,30,1.0,3.0,linreg_slope_positive,768,48.148,0.0627,1.269,32.2
1d,40,1.0,3.0,linreg_slope_positive,586,47.629,0.0813,1.273,31.2
1d,55,1.0,3.0,linreg_slope_positive,450,13.804,0.0307,1.087,27.3
1d,10,1.5,2.0,linreg_slope_positive,1577,21.865,0.0139,1.061,34.9
1d,15,1.5,2.0,linreg_slope_positive,1141,9.698,0.0085,1.029,35.4
1d,20,1.5,2.0,linreg_slope_positive,908,23.253,0.0256,1.079,34.5
1d,25,1.5,2.0,linreg_slope_positive,750,3.702,0.0049,1.013,30.1
