timeframe,side,removed_top_assets_n,removed_assets,assets_remaining,trades,total_r,avg_r,median_r,win_rate,profit_factor,max_dd_r,best_trade_r,worst_trade_r,losing_streak,std_r,t_score
4h,LONG,3,"币安人生/USDT,TON/USDT,NOT/USDT",64,397,36.493458199599445,0.09192306851284494,-1.0199999999999996,0.21914357682619648,1.1169000335793138,-135.54394934151404,17.649550173010365,-1.020000000000208,38,2.6818258294933797,0.6829504528560083
4h,LONG,5,"币安人生/USDT,TON/USDT,NOT/USDT,ZEC/USDT,SAHARA/USDT",62,382,9.641657436901397,0.02523994093429685,-1.0199999999999996,0.21727748691099477,1.032036700860718,-133.5768738696513,14.24666666666726,-1.020000000000208,37,2.4811386695816187,0.1988240784887283
4h,LONG,10,"币安人生/USDT,TON/USDT,NOT/USDT,ZEC/USDT,SAHARA/USDT,OSMO/USDT,INJ/USDT,XUSD/USDT,DOGS/USDT,LUNC/USDT",57,353,-44.86629013477407,-0.12709997205318432,-1.0199999999999996,0.20396600566572237,0.8412355781346029,-143.35135687374822,13.636836461125984,-1.020000000000208,35,2.0964213128353277,-1.139080039251866
4h,SHORT,0,,68,555,-101.67670562714083,-0.18320127140025375,-1.0199999999999996,0.16756756756756758,0.7831153818331082,-294.22886576764904,11.21740714939845,-1.020000000000193,109,2.0441569542770828,-2.111352448199243
4h,SHORT,1,TRUMP/USDT,67,545,-110.9035203471528,-0.20349269788468405,-1.0199999999999996,0.1651376146788991,0.7597751701678677,-293.2009667327565,11.21740714939845,-1.020000000000193,107,2.0140845255751083,-2.3586819742463487
4h,SHORT,3,"TRUMP/USDT,ENA/USDT,OSMO/USDT",65,533,-126.68725485431938,-0.23768715732517706,-1.0199999999999996,0.1575984990619137,0.7218998979761169,-297.7375601393498,11.21740714939845,-1.020000000000193,107,1.9904381527922437,-2.7568975883397315
4h,SHORT,5,"TRUMP/USDT,ENA/USDT,OSMO/USDT,TAO/USDT,ASTER/USDT",63,523,-138.37560433785507,-0.2645805054261091,-1.0199999999999996,0.15105162523900573,0.6928027941117564,-294.67756013934974,11.21740714939845,-1.020000000000193,107,1.9695682454801882,-3.0721162991952173
4h,SHORT,10,"TRUMP/USDT,ENA/USDT,OSMO/USDT,TAO/USDT,ASTER/USDT,PUMP/USDT,BTC/USDT,ETH/USDT,BNB/USDT,UNI/USDT",58,492,-157.3896478843354,-0.31989765830149475,-1.0199999999999996,0.1483739837398374,0.6296239365880268,-276.3175601393499,8.329852507374632,-1.020000000000193,105,1.7936391428628904,-3.956020553883304
6h,ALL,0,,68,865,243.0134160432424,0.2809403653679103,-1.0199999999999996,0.24393063583815028,1.366632852437888,-232.32908662458374,29.944692901802117,-1.020000000000208,92,2.8113218387241683,2.9390815083837047
6h,ALL,1,ZEC/USDT,67,849,201.93024356742126,0.23784480985561984,-1.0199999999999996,0.2414605418138987,1.3094123689081572,-232.73448715618116,23.86970588235293,-1.020000000000208,91,2.6231726210878907,2.6419260259771615
