timeframe,side,removed_top_months_n,removed_months,months_remaining,trades,total_r,avg_r,median_r,win_rate,profit_factor,max_dd_r,best_trade_r,worst_trade_r,losing_streak,std_r,t_score
1d,ALL,0,,24,298,137.92947413136272,0.46285058433343196,-1.0199999999999996,0.30201342281879195,1.744985321302476,-46.55527272814173,69.24829815895825,-1.0200000000000016,24,5.033940875239165,1.5872335619277207
1d,ALL,1,2024-12,23,255,4.723947010758536,0.018525282395131515,-1.0199999999999996,0.25098039215686274,1.027340634841065,-74.83877171619747,69.24829815895825,-1.0200000000000016,24,4.582270975832012,0.06455860824334904
1d,ALL,2,"2024-12,2025-11",22,247,-62.62423932868569,-0.25353943048050886,-1.0199999999999996,0.24696356275303644,0.6265279071400446,-76.06553977945912,9.8341666666675,-1.0200000000000016,24,1.441859798916212,-2.7635730816368156
1d,ALL,3,"2024-12,2025-11,2026-01",21,237,-71.46972827639739,-0.30156003492150796,-1.0199999999999996,0.24050632911392406,0.5623631002105246,-84.26250016599228,5.196053511705687,-1.0200000000000016,24,1.301031552400434,-3.5682898845021427
1d,LONG,0,,24,298,137.92947413136272,0.46285058433343196,-1.0199999999999996,0.30201342281879195,1.744985321302476,-46.55527272814173,69.24829815895825,-1.0200000000000016,24,5.033940875239165,1.5872335619277207
1d,LONG,1,2024-12,23,255,4.723947010758536,0.018525282395131515,-1.0199999999999996,0.25098039215686274,1.027340634841065,-74.83877171619747,69.24829815895825,-1.0200000000000016,24,4.582270975832012,0.06455860824334904
1d,LONG,2,"2024-12,2025-11",22,247,-62.62423932868569,-0.25353943048050886,-1.0199999999999996,0.24696356275303644,0.6265279071400446,-76.06553977945912,9.8341666666675,-1.0200000000000016,24,1.441859798916212,-2.7635730816368156
1d,LONG,3,"2024-12,2025-11,2026-01",21,237,-71.46972827639739,-0.30156003492150796,-1.0199999999999996,0.24050632911392406,0.5623631002105246,-84.26250016599228,5.196053511705687,-1.0200000000000016,24,1.301031552400434,-3.5682898845021427
ALL_TF,ALL,0,,24,298,137.92947413136272,0.46285058433343196,-1.0199999999999996,0.30201342281879195,1.744985321302476,-46.55527272814173,69.24829815895825,-1.0200000000000016,24,5.033940875239165,1.5872335619277207
ALL_TF,ALL,1,2024-12,23,255,4.723947010758536,0.018525282395131515,-1.0199999999999996,0.25098039215686274,1.027340634841065,-74.83877171619747,69.24829815895825,-1.0200000000000016,24,4.582270975832012,0.06455860824334904
ALL_TF,ALL,2,"2024-12,2025-11",22,247,-62.62423932868569,-0.25353943048050886,-1.0199999999999996,0.24696356275303644,0.6265279071400446,-76.06553977945912,9.8341666666675,-1.0200000000000016,24,1.441859798916212,-2.7635730816368156
ALL_TF,ALL,3,"2024-12,2025-11,2026-01",21,237,-71.46972827639739,-0.30156003492150796,-1.0199999999999996,0.24050632911392406,0.5623631002105246,-84.26250016599228,5.196053511705687,-1.0200000000000016,24,1.301031552400434,-3.5682898845021427
