timeframe,side,split,start,end,assets,trades,total_r,avg_r,median_r,win_rate,profit_factor,max_dd_r,best_trade_r,worst_trade_r,losing_streak,std_r,t_score
1d,ALL,first_half_by_trade_count,2024-04-02 00:00:00+00:00,2025-02-02 00:00:00+00:00,41,149,82.44792037495397,0.5533417474829125,-1.0199999999999996,0.30201342281879195,1.9020198413953546,-46.55527272814172,32.027543075941246,-1.0200000000000011,14,4.0013408694910195,1.688033345686098
1d,ALL,second_half_by_trade_count,2025-02-02 00:00:00+00:00,2026-05-26 00:00:00+00:00,50,149,55.481553756408815,0.37235942118395177,-1.0199999999999996,0.30201342281879195,1.5918650115831348,-24.792467932399777,69.24829815895825,-1.0200000000000016,15,5.901281620399095,0.7702099774416342
1d,ALL,last_100_trades,2025-07-31 00:00:00+00:00,2026-05-26 00:00:00+00:00,48,100,73.62598246809796,0.7362598246809796,-1.0199999999999994,0.33,2.198641506799617,-18.622350177135033,69.24829815895825,-1.0200000000000016,12,7.14873165861097,1.029916717875571
1d,ALL,last_200_trades,2024-12-04 00:00:00+00:00,2026-05-26 00:00:00+00:00,54,200,176.86730106189515,0.8843365053094757,-0.9044646709792383,0.355,2.547897582137873,-33.98086999425517,69.24829815895825,-1.0200000000000016,24,6.044111612155084,2.0691885917446844
1d,ALL,first_half_by_time,2024-04-02 00:00:00+00:00,2025-02-02 00:00:00+00:00,41,150,82.43951831309829,0.5495967887539887,-1.0199999999999996,0.3,1.9018450188726392,-46.55527272814172,32.027543075941246,-1.0200000000000011,14,3.988154699337316,1.6877877091166529
1d,ALL,second_half_by_time,2025-03-03 00:00:00+00:00,2026-05-26 00:00:00+00:00,50,148,55.48995581826449,0.3749321339071925,-1.0199999999999996,0.30405405405405406,1.59200770537937,-23.772467932399778,69.24829815895825,-1.0200000000000016,14,5.921236142582793,0.7703199401673032
1d,LONG,first_half_by_trade_count,2024-04-02 00:00:00+00:00,2025-02-02 00:00:00+00:00,41,149,82.44792037495397,0.5533417474829125,-1.0199999999999996,0.30201342281879195,1.9020198413953546,-46.55527272814172,32.027543075941246,-1.0200000000000011,14,4.0013408694910195,1.688033345686098
1d,LONG,second_half_by_trade_count,2025-02-02 00:00:00+00:00,2026-05-26 00:00:00+00:00,50,149,55.481553756408815,0.37235942118395177,-1.0199999999999996,0.30201342281879195,1.5918650115831348,-24.792467932399777,69.24829815895825,-1.0200000000000016,15,5.901281620399095,0.7702099774416342
1d,LONG,last_100_trades,2025-07-31 00:00:00+00:00,2026-05-26 00:00:00+00:00,48,100,73.62598246809796,0.7362598246809796,-1.0199999999999994,0.33,2.198641506799617,-18.622350177135033,69.24829815895825,-1.0200000000000016,12,7.14873165861097,1.029916717875571
1d,LONG,last_200_trades,2024-12-04 00:00:00+00:00,2026-05-26 00:00:00+00:00,54,200,176.86730106189515,0.8843365053094757,-0.9044646709792383,0.355,2.547897582137873,-33.98086999425517,69.24829815895825,-1.0200000000000016,24,6.044111612155084,2.0691885917446844
1d,LONG,first_half_by_time,2024-04-02 00:00:00+00:00,2025-02-02 00:00:00+00:00,41,150,82.43951831309829,0.5495967887539887,-1.0199999999999996,0.3,1.9018450188726392,-46.55527272814172,32.027543075941246,-1.0200000000000011,14,3.988154699337316,1.6877877091166529
1d,LONG,second_half_by_time,2025-03-03 00:00:00+00:00,2026-05-26 00:00:00+00:00,50,148,55.48995581826449,0.3749321339071925,-1.0199999999999996,0.30405405405405406,1.59200770537937,-23.772467932399778,69.24829815895825,-1.0200000000000016,14,5.921236142582793,0.7703199401673032
ALL_TF,ALL,first_half_by_trade_count,2024-04-02 00:00:00+00:00,2025-02-02 00:00:00+00:00,41,149,82.44792037495397,0.5533417474829125,-1.0199999999999996,0.30201342281879195,1.9020198413953546,-46.55527272814172,32.027543075941246,-1.0200000000000011,14,4.0013408694910195,1.688033345686098
ALL_TF,ALL,second_half_by_trade_count,2025-02-02 00:00:00+00:00,2026-05-26 00:00:00+00:00,50,149,55.481553756408815,0.37235942118395177,-1.0199999999999996,0.30201342281879195,1.5918650115831348,-24.792467932399777,69.24829815895825,-1.0200000000000016,15,5.901281620399095,0.7702099774416342
ALL_TF,ALL,last_100_trades,2025-07-31 00:00:00+00:00,2026-05-26 00:00:00+00:00,48,100,73.62598246809796,0.7362598246809796,-1.0199999999999994,0.33,2.198641506799617,-18.622350177135033,69.24829815895825,-1.0200000000000016,12,7.14873165861097,1.029916717875571
ALL_TF,ALL,last_200_trades,2024-12-04 00:00:00+00:00,2026-05-26 00:00:00+00:00,54,200,176.86730106189515,0.8843365053094757,-0.9044646709792383,0.355,2.547897582137873,-33.98086999425517,69.24829815895825,-1.0200000000000016,24,6.044111612155084,2.0691885917446844
ALL_TF,ALL,first_half_by_time,2024-04-02 00:00:00+00:00,2025-02-02 00:00:00+00:00,41,150,82.43951831309829,0.5495967887539887,-1.0199999999999996,0.3,1.9018450188726392,-46.55527272814172,32.027543075941246,-1.0200000000000011,14,3.988154699337316,1.6877877091166529
ALL_TF,ALL,second_half_by_time,2025-03-03 00:00:00+00:00,2026-05-26 00:00:00+00:00,50,148,55.48995581826449,0.3749321339071925,-1.0199999999999996,0.30405405405405406,1.59200770537937,-23.772467932399778,69.24829815895825,-1.0200000000000016,14,5.921236142582793,0.7703199401673032
