timeframe,side,extra_cost_r_per_trade,trades,total_r,avg_r,median_r,win_rate,profit_factor,max_dd_r,best_trade_r,worst_trade_r,losing_streak,std_r,t_score
1d,ALL,0.0,298,137.92947413136272,0.46285058433343196,-1.0199999999999996,0.30201342281879195,1.744985321302476,-46.55527272814173,69.24829815895825,-1.0200000000000016,24,5.033940875239165,1.5872335619277207
1d,ALL,0.02,298,131.96947413136274,0.44285058433343205,-1.0399999999999996,0.30201342281879195,1.697130312417385,-48.41527272814166,69.22829815895825,-1.0400000000000016,24,5.033940875239166,1.5186484238441833
1d,ALL,0.05,298,123.02947413136273,0.41285058433343197,-1.0699999999999996,0.29194630872483224,1.6290022544965097,-51.20527272814172,69.19829815895825,-1.0700000000000016,25,5.033940875239166,1.4157707167188769
1d,ALL,0.1,298,108.12947413136274,0.36285058433343204,-1.1199999999999997,0.29194630872483224,1.5245320484301415,-55.85527272814164,69.14829815895826,-1.1200000000000017,25,5.033940875239166,1.2443078715100335
1d,ALL,0.15,298,93.22947413136279,0.3128505843334322,-1.1699999999999995,0.27181208053691275,1.4301157950005812,-60.50527272814175,69.09829815895824,-1.1700000000000015,25,5.033940875239165,1.0728450263011908
1d,ALL,0.2,298,78.32947413136279,0.26285058433343217,-1.2199999999999995,0.25838926174496646,1.344040085087225,-65.15527272814164,69.04829815895825,-1.2200000000000015,25,5.033940875239165,0.9013821810923471
1d,LONG,0.0,298,137.92947413136272,0.46285058433343196,-1.0199999999999996,0.30201342281879195,1.744985321302476,-46.55527272814173,69.24829815895825,-1.0200000000000016,24,5.033940875239165,1.5872335619277207
1d,LONG,0.02,298,131.96947413136274,0.44285058433343205,-1.0399999999999996,0.30201342281879195,1.697130312417385,-48.41527272814166,69.22829815895825,-1.0400000000000016,24,5.033940875239166,1.5186484238441833
1d,LONG,0.05,298,123.02947413136273,0.41285058433343197,-1.0699999999999996,0.29194630872483224,1.6290022544965097,-51.20527272814172,69.19829815895825,-1.0700000000000016,25,5.033940875239166,1.4157707167188769
1d,LONG,0.1,298,108.12947413136274,0.36285058433343204,-1.1199999999999997,0.29194630872483224,1.5245320484301415,-55.85527272814164,69.14829815895826,-1.1200000000000017,25,5.033940875239166,1.2443078715100335
1d,LONG,0.15,298,93.22947413136279,0.3128505843334322,-1.1699999999999995,0.27181208053691275,1.4301157950005812,-60.50527272814175,69.09829815895824,-1.1700000000000015,25,5.033940875239165,1.0728450263011908
1d,LONG,0.2,298,78.32947413136279,0.26285058433343217,-1.2199999999999995,0.25838926174496646,1.344040085087225,-65.15527272814164,69.04829815895825,-1.2200000000000015,25,5.033940875239165,0.9013821810923471
ALL_TF,ALL,0.0,298,137.92947413136272,0.46285058433343196,-1.0199999999999996,0.30201342281879195,1.744985321302476,-46.55527272814173,69.24829815895825,-1.0200000000000016,24,5.033940875239165,1.5872335619277207
ALL_TF,ALL,0.02,298,131.96947413136274,0.44285058433343205,-1.0399999999999996,0.30201342281879195,1.697130312417385,-48.41527272814166,69.22829815895825,-1.0400000000000016,24,5.033940875239166,1.5186484238441833
ALL_TF,ALL,0.05,298,123.02947413136273,0.41285058433343197,-1.0699999999999996,0.29194630872483224,1.6290022544965097,-51.20527272814172,69.19829815895825,-1.0700000000000016,25,5.033940875239166,1.4157707167188769
ALL_TF,ALL,0.1,298,108.12947413136274,0.36285058433343204,-1.1199999999999997,0.29194630872483224,1.5245320484301415,-55.85527272814164,69.14829815895826,-1.1200000000000017,25,5.033940875239166,1.2443078715100335
ALL_TF,ALL,0.15,298,93.22947413136279,0.3128505843334322,-1.1699999999999995,0.27181208053691275,1.4301157950005812,-60.50527272814175,69.09829815895824,-1.1700000000000015,25,5.033940875239165,1.0728450263011908
ALL_TF,ALL,0.2,298,78.32947413136279,0.26285058433343217,-1.2199999999999995,0.25838926174496646,1.344040085087225,-65.15527272814164,69.04829815895825,-1.2200000000000015,25,5.033940875239165,0.9013821810923471
