symbol,trades,total_r,avg_r,best_trade_r,worst_trade_r
TON/USDT,37,74.92261007425324,2.02493540741225,37.29746031746031,-1.0200000000000031
ZEC/USDT,53,70.30972709415148,1.3265986244179526,29.944692901802117,-1.0200000000000016
币安人生/USDT,27,61.73544730364125,2.2864980482830095,40.16691588785046,-1.0200000000000014
LUNC/USDT,28,51.33031653184112,1.8332255904228971,12.13579868708972,-1.0200000000000016
VIC/USDT,37,49.80060075006508,1.3459621824341914,13.762608695652151,-1.020000000000002
DOGS/USDT,51,34.3232190459296,0.6730042950182274,17.91333333333331,-1.0200000000000025
NOT/USDT,40,28.410828410555844,0.7102707102638961,15.282083333333352,-1.0200000000000016
ICP/USDT,35,27.639618631057616,0.789703389458789,15.722616033755305,-1.0200000000000022
OSMO/USDT,31,25.327487076420837,0.8170157121426077,15.862352941176397,-1.0200000000000042
ENA/USDT,33,24.70882410253843,0.7487522455314676,5.9177123442808615,-1.0200000000000016
INJ/USDT,42,21.764880772517248,0.5182114469646963,9.758827977315692,-1.020000000000003
TRUMP/USDT,39,19.79630792404158,0.5075976390779893,10.050399999999994,-1.0200000000000031
SUI/USDT,46,18.32059308290964,0.3982737626719487,11.706079825040987,-1.0200000000000022
LAYER/USDT,42,18.0674995055407,0.43017855965573093,10.996260162601631,-1.0200000000000031
PENDLE/USDT,43,17.23769331599252,0.40087658874401205,8.069141004862235,-1.020000000000003
ONDO/USDT,61,15.946803690791105,0.26142301132444434,27.961481481481403,-1.0200000000000038
KITE/USDT,42,15.025315196815178,0.35774559992417093,13.2572861356932,-1.020000000000002
TRX/USDT,46,12.17828498125373,0.26474532567942893,9.681492537313376,-1.020000000000014
BIO/USDT,41,9.917403001084557,0.2418878780752331,6.971452991452992,-1.0200000000000011
ZBT/USDT,42,9.606050717981379,0.22871549328527094,4.792146892655371,-1.0200000000000031
JTO/USDT,42,9.091035607278062,0.21645322874471576,8.752911597729113,-1.020000000000002
SAHARA/USDT,42,9.053690320230372,0.21556405524358027,17.649550173010365,-1.020000000000002
TIA/USDT,52,8.877879977182753,0.17072846109966833,8.83251215559156,-1.0200000000000031
TAO/USDT,42,5.954088586234373,0.14176401395796126,7.6676404494382,-1.0200000000000022
WLFI/USDT,46,4.639078261919644,0.10084952743303574,10.06148148148149,-1.0200000000000022
XUSD/USDT,36,2.944367816094477,0.08178799489151325,15.911034482759156,-1.0200000000002776
PEPE/USDT,39,2.223125484161867,0.05700321754261198,6.434545454545462,-1.0200000000000014
SAPIEN/USDT,34,1.9801902091041341,0.05824088850306277,7.882912621359239,-1.0200000000000022
CHIP/USDT,1,1.3451090342679115,1.3451090342679115,1.3451090342679115,1.3451090342679115
RENDER/USDT,43,0.05583675916340962,0.0012985292828699912,8.597927994121967,-1.0200000000000018
PUMP/USDT,26,-0.12323280594703356,-0.004739723305655137,4.263746556473828,-1.0200000000000016
UNI/USDT,40,-1.8953347864947867,-0.04738336966236967,8.75142857142859,-1.020000000000002
FET/USDT,49,-2.4473308042641095,-0.04994552661763489,8.238064516129032,-1.0200000000000014
FF/USDT,25,-3.757058165558127,-0.15028232662232507,7.203459539717911,-1.0200000000000031
WLD/USDT,20,-4.331869420736899,-0.21659347103684495,5.361170018281551,-1.0200000000000014
SAGA/USDT,35,-4.4978696239443785,-0.1285105606841251,5.10543252595156,-1.0200000000000014
XPL/USDT,49,-4.700672995439841,-0.09593210194775185,7.658124999999999,-1.0200000000000011
PENGU/USDT,49,-5.692208449925545,-0.11616751938623561,6.180449438202255,-1.0200000000000014
VIRTUAL/USDT,47,-6.282431193434565,-0.1336687487964801,10.31333333333334,-1.020000000000002
APT/USDT,37,-6.316337729318613,-0.17071183052212469,4.756255707762542,-1.0200000000000018
BB/USDT,37,-7.127981875526067,-0.19264815879800182,5.749841269841272,-1.0200000000000016
BTC/USDT,50,-7.805146041396867,-0.15610292082793734,11.21740714939845,-1.0200000000000078
AVAX/USDT,45,-8.544730180240729,-0.1898828928942384,7.030458715596334,-1.0200000000000036
HBAR/USDT,38,-9.036291208343112,-0.23779713706166083,5.582483069977425,-1.0200000000000025
DASH/USDT,36,-9.386753780881246,-0.2607431605800346,6.479999999999994,-1.0200000000000025
PNUT/USDT,52,-9.503516024258804,-0.18275992354343853,8.089589041095886,-1.0200000000000018
ASTER/USDT,36,-9.989716523421082,-0.2774921256505856,4.135844155844159,-1.0200000000000036
SPK/USDT,52,-10.925616515197026,-0.21010800990763512,7.029816750373292,-1.020000000000003
NEAR/USDT,37,-13.785811168257755,-0.37258949103399336,6.757202072538866,-1.0200000000000025
SOL/USDT,52,-14.505238699381476,-0.27894689806502837,8.329852507374632,-1.0200000000000065
BFUSD/USDT,19,-14.855757575758094,-0.7818819776714786,1.570909090909444,-1.020000000000208
BNB/USDT,56,-15.508032580145773,-0.2769291532168888,10.858456668458471,-1.020000000000004
DOT/USDT,41,-15.623333206437131,-0.3810569074740764,5.393533834586467,-1.0200000000000031
U/USDT,18,-15.815555555555097,-0.8786419753086165,0.7577777777777778,-1.020000000000148
XRP/USDT,50,-16.532166011571167,-0.33064332023142334,8.280860265054637,-1.020000000000006
RAD/USDT,32,-17.047565123951692,-0.5327364101234904,6.011674208144791,-1.0200000000000022
MLN/USDT,40,-18.64031280845807,-0.46600782021145176,4.646666666666666,-1.0200000000000025
CFX/USDT,53,-18.86313499673236,-0.3559082074855162,4.473723849372378,-1.0200000000000036
SHIB/USDT,48,-19.263536723846137,-0.4013236817467945,4.259126213592231,-1.020000000000003
ETH/USDT,50,-19.922082594763538,-0.39844165189527075,8.927930443983458,-1.020000000000006
AI/USDT,36,-19.94628506993517,-0.5540634741648658,5.142790697674409,-1.0200000000000014
DODO/USDT,43,-20.20500997792124,-0.46988395297491253,5.073167701863349,-1.020000000000003
DOGE/USDT,52,-22.325020643824192,-0.4293273200735422,4.916697033403411,-1.0200000000000025
FIL/USDT,45,-22.918235631194623,-0.5092941251376583,7.162266009852231,-1.0200000000000022
ADA/USDT,56,-24.36018041964153,-0.43500322177931305,5.569682539682545,-1.0200000000000036
XLM/USDT,56,-25.207899353682336,-0.45014105988718456,6.620661938534283,-1.0200000000000042
LINK/USDT,57,-28.15812490026022,-0.49400219123263545,6.212620320855614,-1.0200000000000031
LTC/USDT,43,-28.17641892597157,-0.6552655564179435,4.2238900203666,-1.0200000000000031
AAVE/USDT,51,-28.864868490698726,-0.5659778135431123,7.185491413602414,-1.0200000000000031
