symbol,entry_time,exit_time,entry_price,exit_price,stop_loss,net_r,win,bars_held,exit_reason,year
LTC_USDT,2023-07-18,2023-08-03,91.56,80.704286,80.704286,-1.0,0,16,atr_stop,2023
BTC_USDT,2023-07-18,2023-08-07,29859.13,29211.06,28224.585714,-0.3965,0,20,time_exit,2023
ETH_USDT,2023-07-18,2023-08-07,1897.21,1829.1,1778.732857,-0.5749,0,20,time_exit,2023
AAVE_USDT,2023-07-19,2023-08-01,71.71,61.578571,61.578571,-1.0,0,13,atr_stop,2023
XRP_USDT,2023-08-06,2023-08-17,0.624,0.556543,0.556543,-1.0,0,11,atr_stop,2023
INJ_USDT,2023-08-28,2023-09-17,6.896,7.028,5.910286,0.1339,1,20,time_exit,2023
LPT_USDT,2023-09-09,2023-09-29,6.35,5.56,4.865714,-0.5322,0,20,time_exit,2023
BCH_USDT,2023-10-09,2023-10-29,218.4,246.1,192.514286,1.0701,1,20,time_exit,2023
BCH_USDT,2023-11-13,2023-12-03,234.0,230.0,208.3,-0.1556,0,20,time_exit,2023
ZEN_USDT,2023-11-13,2023-12-03,11.3,10.42,9.061429,-0.3931,0,20,time_exit,2023
GRT_USDT,2023-11-29,2023-12-19,0.1433,0.1558,0.117371,0.4821,1,20,time_exit,2023
FIL_USDT,2023-11-30,2023-12-20,4.384,5.33,3.806571,1.6383,1,20,time_exit,2023
APT_USDT,2023-12-17,2024-01-06,8.0393,9.048,6.556729,0.6804,1,20,time_exit,2023
HBAR_USDT,2024-01-07,2024-01-27,0.0752,0.0744,0.060071,-0.0529,0,20,time_exit,2024
NEAR_USDT,2024-01-16,2024-02-05,3.24,2.751,2.343143,-0.5452,0,20,time_exit,2024
APT_USDT,2024-01-18,2024-02-07,8.7189,8.7898,6.738643,0.0358,1,20,time_exit,2024
WLD_USDT,2024-01-20,2024-02-09,2.498,2.489,1.917,-0.0155,0,20,time_exit,2024
ARB_USDT,2024-01-21,2024-02-10,1.8162,1.9605,1.391186,0.3395,1,20,time_exit,2024
FET_USDT,2024-01-21,2024-02-10,0.5933,0.6276,0.474271,0.2882,1,20,time_exit,2024
ORDI_USDT,2024-01-21,2024-01-25,66.447,50.673286,50.673286,-1.0,0,4,atr_stop,2024
SEI_USDT,2024-01-22,2024-02-11,0.5974,0.6784,0.399414,0.4091,1,20,time_exit,2024
SOL_USDT,2024-01-22,2024-02-11,83.84,107.46,67.278571,1.4262,1,20,time_exit,2024
ETH_USDT,2024-01-24,2024-02-13,2235.02,2639.99,2012.044286,1.8162,1,20,time_exit,2024
LINK_USDT,2024-01-24,2024-02-13,14.243,19.87,11.952,2.4561,1,20,time_exit,2024
ADA_USDT,2024-01-25,2024-02-14,0.4666,0.5768,0.411243,1.9907,1,20,time_exit,2024
ORDI_USDT,2024-02-04,2024-02-24,52.407,63.984,40.421714,0.9659,1,20,time_exit,2024
PENDLE_USDT,2024-02-19,2024-03-05,2.8519,2.354014,2.354014,-1.0,0,15,atr_stop,2024
SOL_USDT,2024-02-23,2024-03-14,99.9,176.65,87.262857,6.0734,1,20,time_exit,2024
AVAX_USDT,2024-02-23,2024-03-14,35.92,53.95,31.111429,3.7496,1,20,time_exit,2024
LINK_USDT,2024-02-23,2024-03-14,17.935,20.88,15.820429,1.3927,1,20,time_exit,2024
INJ_USDT,2024-02-23,2024-03-14,32.93,47.9,26.872857,2.4715,1,20,time_exit,2024
TRX_USDT,2024-03-11,2024-03-15,0.13372,0.127074,0.127074,-1.0,0,4,atr_stop,2024
PENDLE_USDT,2024-03-16,2024-04-05,2.5185,5.9612,1.791043,4.7325,1,20,time_exit,2024
LTC_USDT,2024-03-16,2024-04-05,84.12,97.82,64.834286,0.7104,1,20,time_exit,2024
ICP_USDT,2024-03-16,2024-04-05,12.234,16.854,8.879143,1.3771,1,20,time_exit,2024
FIL_USDT,2024-03-16,2024-04-05,8.836,8.393,5.919286,-0.1519,0,20,time_exit,2024
ARB_USDT,2024-03-18,2024-04-07,1.6232,1.5287,1.204443,-0.2257,0,20,time_exit,2024
TIA_USDT,2024-04-03,2024-04-12,11.95,9.792857,9.792857,-1.0,0,9,atr_stop,2024
BCH_USDT,2024-04-11,2024-04-13,614.2,484.671429,484.671429,-1.0,0,2,atr_stop,2024
NEAR_USDT,2024-04-13,2024-05-03,5.215,6.874,3.627429,1.045,1,20,time_exit,2024
GRT_USDT,2024-04-13,2024-05-03,0.2346,0.275,0.171371,0.639,1,20,time_exit,2024
ICP_USDT,2024-04-13,2024-05-03,12.348,13.607,9.044286,0.3811,1,20,time_exit,2024
DOGE_USDT,2024-04-27,2024-05-01,0.14776,0.122734,0.122734,-1.0,0,4,atr_stop,2024
HBAR_USDT,2024-04-28,2024-05-18,0.1035,0.1145,0.069771,0.3261,1,20,time_exit,2024
LPT_USDT,2024-04-30,2024-05-20,12.376,20.85,9.237571,2.7001,1,20,time_exit,2024
BCH_USDT,2024-05-01,2024-05-21,424.8,515.0,359.742857,1.3865,1,20,time_exit,2024
ICP_USDT,2024-05-08,2024-05-28,12.024,12.105,10.301857,0.047,1,20,time_exit,2024
PENDLE_USDT,2024-05-14,2024-06-03,3.88,6.054,3.114,2.8381,1,20,time_exit,2024
ARKM_USDT,2024-05-14,2024-06-03,2.2341,2.455,1.672786,0.3935,1,20,time_exit,2024
FET_USDT,2024-05-14,2024-06-03,2.002,2.139,1.633186,0.3715,1,20,time_exit,2024
JTO_USDT,2024-05-25,2024-06-07,3.77,2.978286,2.978286,-1.0,0,13,atr_stop,2024
LTC_USDT,2024-05-25,2024-06-07,84.98,78.502857,78.502857,-1.0,0,13,atr_stop,2024
HBAR_USDT,2024-06-01,2024-06-07,0.1,0.090157,0.090157,-1.0,0,6,atr_stop,2024
PENDLE_USDT,2024-06-10,2024-06-30,5.224,5.064,4.348286,-0.1827,0,20,time_exit,2024
BNB_USDT,2024-06-11,2024-07-01,602.5,576.9,545.085714,-0.4459,0,20,time_exit,2024
BTC_USDT,2024-06-21,2024-06-24,64143.56,60680.308571,60680.308571,-1.0,0,3,atr_stop,2024
PEPE_USDT,2024-07-05,2024-07-25,9e-06,1.1e-05,7e-06,1.154,1,20,time_exit,2024
TRX_USDT,2024-08-02,2024-08-22,0.1236,0.1554,0.116989,4.8099,1,20,time_exit,2024
SOL_USDT,2024-08-02,2024-08-05,152.77,128.962857,128.962857,-1.0,0,3,atr_stop,2024
PEPE_USDT,2024-08-03,2024-08-05,9e-06,7e-06,7e-06,-1.0,0,2,atr_stop,2024
ZEC_USDT,2024-08-22,2024-08-27,41.43,35.924286,35.924286,-1.0,0,5,atr_stop,2024
ZEC_USDT,2024-08-29,2024-09-04,33.24,28.172857,28.172857,-1.0,0,6,atr_stop,2024
TRX_USDT,2024-09-04,2024-09-24,0.15,0.1513,0.138286,0.111,1,20,time_exit,2024
BNB_USDT,2024-10-02,2024-10-22,542.5,593.8,494.271429,1.0637,1,20,time_exit,2024
AAVE_USDT,2024-10-02,2024-10-22,139.14,152.67,117.31,0.6198,1,20,time_exit,2024
PEPE_USDT,2024-10-03,2024-10-23,9e-06,1e-05,7e-06,0.5538,1,20,time_exit,2024
TAO_USDT,2024-10-17,2024-11-01,578.3,454.085714,454.085714,-1.0,0,15,atr_stop,2024
AAVE_USDT,2024-10-25,2024-11-14,138.1,158.13,120.658571,1.1484,1,20,time_exit,2024
APT_USDT,2024-11-03,2024-11-23,8.19,12.74,6.64,2.9355,1,20,time_exit,2024
BTC_USDT,2024-11-03,2024-11-23,68775.99,97672.4,64376.688571,6.5684,1,20,time_exit,2024
BNB_USDT,2024-11-03,2024-11-23,557.7,650.42,520.571429,2.4973,1,20,time_exit,2024
TRX_USDT,2024-11-04,2024-11-24,0.1629,0.2085,0.157086,7.8428,1,20,time_exit,2024
ZEC_USDT,2024-11-13,2024-12-03,38.67,73.2,31.542857,4.8449,1,20,time_exit,2024
PEPE_USDT,2024-11-20,2024-12-10,1.9e-05,2.3e-05,1.2e-05,0.7383,1,20,time_exit,2024
DASH_USDT,2024-12-10,2024-12-30,45.57,38.54,29.924286,-0.4493,0,20,time_exit,2024
EIGEN_USDT,2024-12-21,2025-01-10,3.768,3.118,2.260857,-0.4313,0,20,time_exit,2024
TRX_USDT,2024-12-21,2025-01-10,0.2449,0.2445,0.190614,-0.0074,0,20,time_exit,2024
UNI_USDT,2025-01-09,2025-01-27,12.867,10.956,10.956,-1.0,0,18,atr_stop,2025
AAVE_USDT,2025-01-09,2025-01-29,281.13,290.99,225.978571,0.1788,1,20,time_exit,2025
ZEN_USDT,2025-01-20,2025-02-02,22.3,14.835714,14.835714,-1.0,0,13,atr_stop,2025
SUI_USDT,2025-01-26,2025-02-03,3.87,3.048686,3.048686,-1.0,0,8,atr_stop,2025
LINK_USDT,2025-01-28,2025-02-03,22.61,17.754286,17.754286,-1.0,0,6,atr_stop,2025
LTC_USDT,2025-02-04,2025-02-24,101.07,114.77,76.602857,0.5599,1,20,time_exit,2025
BTC_USDT,2025-02-08,2025-02-25,96444.74,87889.91,87889.91,-1.0,0,17,atr_stop,2025
XRP_USDT,2025-03-29,2025-04-06,2.1351,1.871,1.871,-1.0,0,8,atr_stop,2025
ZEC_USDT,2025-05-16,2025-06-05,40.36,47.57,34.281429,1.1861,1,20,time_exit,2025
TRX_USDT,2025-05-19,2025-06-08,0.2667,0.2817,0.248286,0.8146,1,20,time_exit,2025
XRP_USDT,2025-06-14,2025-06-22,2.1394,1.953971,1.953971,-1.0,0,8,atr_stop,2025
ZEC_USDT,2025-06-15,2025-06-22,43.45,36.628571,36.628571,-1.0,0,7,atr_stop,2025
AAVE_USDT,2025-06-15,2025-06-21,274.97,232.547143,232.547143,-1.0,0,6,atr_stop,2025
BNB_USDT,2025-06-21,2025-07-11,628.97,689.99,598.141429,1.9793,1,20,time_exit,2025
LINK_USDT,2025-08-01,2025-08-21,16.07,24.82,13.425714,3.309,1,20,time_exit,2025
BTC_USDT,2025-08-01,2025-08-21,113297.93,112500.0,107969.208571,-0.1497,0,20,time_exit,2025
AAVE_USDT,2025-08-01,2025-08-21,255.36,300.1,219.41,1.2445,1,20,time_exit,2025
UNI_USDT,2025-08-01,2025-08-21,9.037,10.227,7.363714,0.7112,1,20,time_exit,2025
SEI_USDT,2025-08-01,2025-08-21,0.284,0.2917,0.233343,0.152,1,20,time_exit,2025
BNB_USDT,2025-08-01,2025-08-21,757.08,839.49,678.757143,1.0522,1,20,time_exit,2025
SOL_USDT,2025-08-01,2025-08-21,162.71,180.29,139.722857,0.7648,1,20,time_exit,2025
SUI_USDT,2025-08-01,2025-08-21,3.4592,3.4129,2.810943,-0.0714,0,20,time_exit,2025
HBAR_USDT,2025-08-01,2025-08-21,0.24113,0.23554,0.192067,-0.1139,0,20,time_exit,2025
ADA_USDT,2025-08-01,2025-08-21,0.7141,0.8519,0.599286,1.2002,1,20,time_exit,2025
BCH_USDT,2025-08-17,2025-09-06,582.0,595.3,523.114286,0.2259,1,20,time_exit,2025
