symbol,n,win_rate,avg_r,pf,max_dd_r,total_r,avg_bars
ZEC_USDT,10,0.5,1.3854199999999999,4.855564522861993,2.1700999999999997,13.854199999999999,15.8
TRX_USDT,9,0.6666666666666666,1.4257222222222223,7.392099232838498,2.0,12.8315,16.333333333333332
DOGE_USDT,4,0.5,1.789675,4.57935,2.0,7.1587,11.5
LPT_USDT,3,0.6666666666666666,2.2215000000000003,13.522547914317926,0.5322,6.6645,20.0
SOL_USDT,8,0.625,0.7953125,4.16447826519447,1.0106,6.3625,17.125
LINK_USDT,7,0.5714285714285714,0.9061142857142858,3.114266666666667,1.0,6.3428,16.142857142857142
PENDLE_USDT,5,0.4,1.07758,3.468456498831722,1.1826999999999996,5.3879,18.4
AVAX_USDT,5,0.6,0.9448399999999999,4.653108567893597,1.2932000000000001,4.7242,19.0
BNB_USDT,7,0.5714285714285714,0.6685857142857143,3.447239071323991,1.4665,4.6801,18.142857142857142
BTC_USDT,8,0.375,0.5347124999999999,2.5017377567140597,1.3965,4.277699999999999,17.5
DOT_USDT,2,1.0,1.9379,99.0,0.0,3.8758,20.0
ADA_USDT,5,0.6,0.6953399999999998,4.120635490530472,1.0,3.4766999999999992,16.6
APT_USDT,4,0.75,0.791475,7.516879374228077,0.0,3.1659,20.0
ETH_USDT,6,0.5,0.43553333333333333,2.014874364052973,1.1768999999999998,2.6132,18.833333333333332
BCH_USDT,9,0.5555555555555556,0.24712222222222222,1.858460707117493,1.1556,2.2241,17.666666666666668
GRT_USDT,4,0.75,0.5403,3.1612,1.0,2.1612,18.0
ICP_USDT,3,1.0,0.6017333333333333,99.0,0.0,1.8052,20.0
PEPE_USDT,4,0.75,0.361525,2.4460999999999995,1.0,1.4461,15.5
AAVE_USDT,6,0.6666666666666666,0.19858333333333333,1.5957500000000002,1.0,1.1915,16.5
LTC_USDT,5,0.6,0.23259999999999997,1.5815,1.2896,1.1629999999999998,17.8
NEAR_USDT,5,0.6,0.18856,1.6101475537147296,1.5452,0.9428,16.4
INJ_USDT,5,0.6,0.18559999999999993,1.5112947658402203,0.815,0.9279999999999997,19.0
ATOM_USDT,3,0.3333333333333333,0.3054,2.6807925151348377,0.22050000000000003,0.9162,20.0
ZEN_USDT,5,0.4,0.14152000000000003,1.2956834231749614,2.3931,0.7076000000000002,17.4
SEI_USDT,2,1.0,0.28055,99.0,0.0,0.5611,20.0
ARKM_USDT,1,1.0,0.3935,99.0,0.0,0.3935,20.0
HBAR_USDT,7,0.42857142857142855,0.05187142857142862,1.1675743031198078,1.8407,0.3631000000000003,16.142857142857142
FIL_USDT,4,0.25,0.089425,1.2793221927221616,1.0,0.3577,18.5
ARB_USDT,2,0.5,0.056900000000000006,1.504209127159947,0.2257,0.11380000000000001,20.0
ORDI_USDT,2,0.5,-0.01705000000000001,0.9659,0.0,-0.03410000000000002,12.0
UNI_USDT,2,0.5,-0.14439999999999997,0.7112,0.0,-0.28879999999999995,19.0
FET_USDT,3,0.6666666666666666,-0.11343333333333333,0.6597,0.0,-0.3403,19.666666666666668
EIGEN_USDT,1,0.0,-0.4313,0.0,0.0,-0.4313,20.0
SPK_USDT,1,0.0,-0.5814,0.0,0.0,-0.5814,20.0
CHZ_USDT,2,0.5,-0.4141,0.1718,1.0,-0.8282,17.0
JTO_USDT,1,0.0,-1.0,0.0,0.0,-1.0,13.0
TIA_USDT,1,0.0,-1.0,0.0,0.0,-1.0,9.0
ENA_USDT,1,0.0,-1.0,0.0,0.0,-1.0,6.0
TAO_USDT,1,0.0,-1.0,0.0,0.0,-1.0,15.0
PENGU_USDT,1,0.0,-1.0,0.0,0.0,-1.0,17.0
WLD_USDT,2,0.0,-0.50775,0.0,1.0,-1.0155,18.5
SUI_USDT,2,0.0,-0.5357,0.0,0.07139999999999991,-1.0714,14.0
DASH_USDT,3,0.0,-0.6863333333333334,0.0,1.0590000000000002,-2.059,14.333333333333334
XRP_USDT,8,0.25,-0.623475,0.1687,5.3816,-4.9878,12.375
