symbol,entry_time,exit_time,entry_price,exit_price,stop_loss,net_r,win,bars_held,exit_reason,year
ATOM_USDT,2021-02-22,2021-03-14,21.152,18.444,13.888286,-0.3728,0,20,time_exit,2021
DOT_USDT,2021-03-25,2021-04-14,29.8059,42.5171,23.1461,1.9086,1,20,time_exit,2021
ATOM_USDT,2021-03-25,2021-04-14,17.1,27.068,12.682286,2.2564,1,20,time_exit,2021
ZEN_USDT,2021-03-25,2021-04-14,45.466,84.646,31.437429,2.7929,1,20,time_exit,2021
AVAX_USDT,2021-03-25,2021-04-14,25.825,38.3391,16.713571,1.3735,1,20,time_exit,2021
FIL_USDT,2021-04-22,2021-05-12,145.914,127.04,108.664629,-0.5067,0,20,time_exit,2021
LTC_USDT,2021-04-22,2021-05-12,252.5,310.4,183.534286,0.8395,1,20,time_exit,2021
DOGE_USDT,2021-06-20,2021-06-21,0.28054,0.228543,0.228543,-1.0,0,1,atr_stop,2021
FIL_USDT,2021-06-20,2021-06-21,63.2,50.594286,50.594286,-1.0,0,1,atr_stop,2021
ZEN_USDT,2021-06-22,2021-07-12,55.14,59.25,33.532857,0.1902,1,20,time_exit,2021
LPT_USDT,2021-07-13,2021-07-19,14.56,11.702857,11.702857,-1.0,0,6,atr_stop,2021
ATOM_USDT,2021-07-16,2021-08-05,11.149,13.032,8.316571,0.6648,1,20,time_exit,2021
LTC_USDT,2021-07-17,2021-07-20,119.95,103.911429,103.911429,-1.0,0,3,atr_stop,2021
ZEN_USDT,2021-07-17,2021-08-06,49.64,65.395,39.274286,1.5199,1,20,time_exit,2021
UNI_USDT,2021-07-17,2021-08-06,16.098,26.178,12.386714,2.716,1,20,time_exit,2021
FIL_USDT,2021-07-17,2021-07-21,45.62,40.124286,40.124286,-1.0,0,4,atr_stop,2021
GRT_USDT,2021-07-20,2021-08-09,0.4921,0.7076,0.373957,1.8241,1,20,time_exit,2021
SOL_USDT,2021-09-14,2021-10-04,158.88,167.13,104.655714,0.1521,1,20,time_exit,2021
GRT_USDT,2021-09-28,2021-10-18,0.6279,0.7691,0.463943,0.8612,1,20,time_exit,2021
ZEN_USDT,2021-09-28,2021-10-18,63.15,78.89,40.12,0.6835,1,20,time_exit,2021
LPT_USDT,2021-09-28,2021-10-18,15.91,28.21,11.577143,2.8388,1,20,time_exit,2021
HBAR_USDT,2021-10-10,2021-10-30,0.339,0.4187,0.262343,1.0397,1,20,time_exit,2021
ZEN_USDT,2021-12-05,2021-12-25,72.7,70.78,37.875714,-0.0551,0,20,time_exit,2021
DASH_USDT,2021-12-05,2021-12-25,134.5,150.0,96.042857,0.403,1,20,time_exit,2021
CHZ_USDT,2021-12-05,2021-12-25,0.3183,0.3178,0.210131,-0.0046,0,20,time_exit,2021
DOT_USDT,2021-12-06,2021-12-26,28.13,31.32,20.735714,0.4314,1,20,time_exit,2021
INJ_USDT,2021-12-06,2021-12-26,9.681,9.3,6.715429,-0.1285,0,20,time_exit,2021
AAVE_USDT,2021-12-06,2021-12-26,184.6,267.8,137.585714,1.7697,1,20,time_exit,2021
ZEC_USDT,2021-12-07,2021-12-27,174.1,169.5,103.385714,-0.0651,0,20,time_exit,2021
