symbol,n,win_rate,avg_r,pf,max_dd_r,total_r,avg_bars
ZEC_USDT,16,0.6875,1.1783125,6.233019679684681,1.0,18.853,17.5
HBAR_USDT,14,0.42857142857142855,1.1740142857142857,3.3891561886765027,4.4449,16.4362,14.785714285714286
ATOM_USDT,9,0.6666666666666666,1.4473555555555557,10.140551540242791,1.0,13.026200000000001,18.11111111111111
BNB_USDT,9,0.8888888888888888,1.279922222222222,12.5193,0.0,11.519299999999998,19.22222222222222
AVAX_USDT,12,0.5833333333333334,0.9389833333333334,3.698938896740042,2.1749,11.267800000000001,16.416666666666668
NEAR_USDT,13,0.6153846153846154,0.8484692307692309,3.646440653566544,2.7362,11.030100000000001,15.615384615384615
DOT_USDT,10,0.7,1.0072899999999998,6.010146729669236,1.0,10.072899999999999,17.0
PEPE_USDT,4,0.75,2.26445,10.0578,0.0,9.0578,15.25
GRT_USDT,11,0.6363636363636364,0.7875272727272726,3.917848361345953,1.0,8.662799999999999,17.09090909090909
SPK_USDT,6,0.5,1.3679,4.761411549037581,2.1820000000000004,8.2074,19.333333333333332
LPT_USDT,12,0.6666666666666666,0.6472833333333333,3.459750459180442,1.0,7.767399999999999,18.75
CHZ_USDT,10,0.4,0.75122,2.873600199526125,2.0,7.5122,17.0
ADA_USDT,7,0.5714285714285714,0.9431428571428572,4.239132567952115,1.0,6.602,17.428571428571427
RENDER_USDT,3,1.0,2.1570333333333336,99.0,0.0,6.471100000000001,20.0
APT_USDT,10,0.6,0.6462800000000001,3.1299848394964074,1.0436000000000005,6.4628000000000005,16.3
LINK_USDT,4,0.75,1.555825,7.2233,1.0,6.2233,17.0
ETH_USDT,12,0.5,0.51055,2.3895352793087024,2.2361000000000004,6.1266,14.833333333333334
INJ_USDT,12,0.5,0.4822833333333334,2.366596613851567,1.4464000000000001,5.787400000000001,15.583333333333334
BTC_USDT,8,0.5,0.6926625000000001,2.5472008934803854,1.0,5.541300000000001,15.5
ZEN_USDT,22,0.6363636363636364,0.24956818181818186,2.087981769543248,2.5425000000000004,5.490500000000001,17.318181818181817
UNI_USDT,9,0.4444444444444444,0.534,2.436599509774616,2.3454,4.806,16.22222222222222
TRX_USDT,6,0.5,0.7238333333333333,3.1074340062111805,1.0,4.343,16.333333333333332
EIGEN_USDT,6,0.5,0.5899500000000001,2.8603563357334316,1.4330999999999996,3.5397000000000007,18.666666666666668
AAVE_USDT,6,0.5,0.49961666666666665,1.9992333333333334,2.0,2.9977,13.333333333333334
ORDI_USDT,10,0.5,0.28503,1.8525664034458003,1.9999999999999998,2.8503,16.1
LTC_USDT,9,0.5555555555555556,0.25558888888888887,1.744795208029788,2.0,2.3003,15.11111111111111
JTO_USDT,9,0.5555555555555556,0.1926444444444445,1.4719621080139373,1.6736,1.7338000000000005,17.88888888888889
ALT_USDT,5,0.4,0.27698,1.4616333333333333,1.0,1.3849,12.6
DASH_USDT,11,0.45454545454545453,0.12543636363636362,1.3436783899571583,3.4425999999999997,1.3798,16.454545454545453
XRP_USDT,12,0.4166666666666667,0.10362499999999997,1.1994770444993421,3.2338,1.2434999999999996,14.0
ONDO_USDT,1,1.0,0.8018,99.0,0.0,0.8018,20.0
SEI_USDT,9,0.4444444444444444,0.05480000000000002,1.1216966466799914,3.0,0.4932000000000002,15.666666666666666
NIL_USDT,3,0.6666666666666666,0.03933333333333333,1.1179999999999999,0.0,0.118,17.666666666666668
ARKM_USDT,3,0.3333333333333333,-0.0289,0.9286830632557375,0.2157,-0.0867,14.333333333333334
FET_USDT,12,0.4166666666666667,-0.012025,0.9793857142857144,3.8963,-0.14429999999999998,11.5
PENDLE_USDT,4,0.5,-0.08807500000000001,0.8030743432084962,0.789,-0.35230000000000006,18.5
ARB_USDT,6,0.3333333333333333,-0.06679999999999997,0.8998,2.0,-0.4007999999999998,11.833333333333334
SOL_USDT,11,0.45454545454545453,-0.04578181818181819,0.9058814734520718,2.6489999999999996,-0.5036,13.363636363636363
BCH_USDT,9,0.4444444444444444,-0.10732222222222222,0.7765827030277798,2.7157,-0.9659,15.444444444444445
PENGU_USDT,1,0.0,-1.0,0.0,0.0,-1.0,9.0
TON_USDT,3,0.3333333333333333,-0.4089333333333333,0.3866,0.9999999999999999,-1.2268,13.333333333333334
WLD_USDT,8,0.375,-0.17304999999999995,0.7010968131963036,3.2350000000000003,-1.3843999999999996,13.125
FIL_USDT,15,0.4666666666666667,-0.10845333333333333,0.7388470614675805,3.0425999999999997,-1.6268,15.266666666666667
TIA_USDT,7,0.2857142857142857,-0.34288571428571435,0.31808625490084663,2.6114,-2.4002000000000003,14.714285714285714
TAO_USDT,7,0.2857142857142857,-0.3506857142857143,0.4456688646012104,2.0,-2.4548,13.571428571428571
SUI_USDT,10,0.3,-0.29264,0.4245260756705734,2.5628,-2.9264,14.4
DOGE_USDT,7,0.2857142857142857,-0.4972142857142857,0.30389999999999995,3.0,-3.4805,8.714285714285714
SAGA_USDT,8,0.125,-0.47228749999999997,0.28897796345433674,4.3139,-3.7782999999999998,17.375
ENA_USDT,7,0.14285714285714285,-0.5670428571428571,0.23391812865497075,2.9692999999999996,-3.9692999999999996,10.571428571428571
ICP_USDT,10,0.2,-0.45294,0.2092942059598834,4.3874,-4.5294,15.3
