symbol,entry_time,exit_time,entry_price,exit_price,stop_loss,net_r,win,bars_held,exit_reason,year
BTC_USDT,2021-01-21,2021-02-05,30850.13,38290.24,18140.0,0.5854,1,15,time_exit,2021
TRX_USDT,2021-01-21,2021-02-05,0.02762,0.03624,0.017979,0.8941,1,15,time_exit,2021
BCH_USDT,2021-01-21,2021-02-05,418.68,447.72,184.007143,0.1237,1,15,time_exit,2021
DASH_USDT,2021-01-21,2021-02-05,99.77,120.42,43.586429,0.3675,1,15,time_exit,2021
SOL_USDT,2021-01-21,2021-02-05,2.9899,6.7005,0.98425,1.8501,1,15,time_exit,2021
ZEC_USDT,2021-01-21,2021-02-05,82.92,96.44,33.265714,0.2723,1,15,time_exit,2021
DOGE_USDT,2021-01-27,2021-02-11,0.007412,0.069583,0.004918,24.9205,1,15,time_exit,2021
ZEN_USDT,2021-02-07,2021-02-22,33.637,68.436,18.533071,2.304,1,15,time_exit,2021
BCH_USDT,2021-02-22,2021-03-09,628.98,545.32,363.407143,-0.315,0,15,time_exit,2021
AVAX_USDT,2021-02-23,2021-03-10,27.5924,29.5858,-2.813843,0.0656,1,15,time_exit,2021
LTC_USDT,2021-02-23,2021-03-10,177.34,200.29,90.777143,0.2651,1,15,time_exit,2021
AAVE_USDT,2021-02-23,2021-03-10,364.258,406.848,158.413,0.2069,1,15,time_exit,2021
LINK_USDT,2021-02-23,2021-03-10,25.9249,29.9036,11.950429,0.2847,1,15,time_exit,2021
HBAR_USDT,2021-02-23,2021-03-10,0.11919,0.22,0.046324,1.3835,1,15,time_exit,2021
GRT_USDT,2021-02-23,2021-03-10,1.70754,2.03249,0.109018,0.2033,1,15,time_exit,2021
FIL_USDT,2021-02-23,2021-03-10,35.4658,42.4547,13.871864,0.3237,1,15,time_exit,2021
ETH_USDT,2021-02-23,2021-03-10,1577.89,1795.12,1084.141429,0.44,1,15,time_exit,2021
TRX_USDT,2021-02-23,2021-03-10,0.04501,0.05142,0.018083,0.238,1,15,time_exit,2021
XRP_USDT,2021-02-23,2021-03-10,0.47579,0.46155,0.199681,-0.0516,0,15,time_exit,2021
NEAR_USDT,2021-02-23,2021-03-10,3.3799,5.3063,0.992114,0.8068,1,15,time_exit,2021
ZEC_USDT,2021-02-23,2021-03-10,127.13,139.82,37.365714,0.1414,1,15,time_exit,2021
ADA_USDT,2021-03-12,2021-03-27,1.03207,1.17678,0.680367,0.4115,1,15,time_exit,2021
ETH_USDT,2021-03-22,2021-04-06,1680.97,2112.21,1336.69,1.2526,1,15,time_exit,2021
GRT_USDT,2021-03-22,2021-04-06,1.5421,1.75983,0.950104,0.3678,1,15,time_exit,2021
DASH_USDT,2021-03-22,2021-04-06,206.6,275.99,149.165,1.2081,1,15,time_exit,2021
AAVE_USDT,2021-03-23,2021-04-07,330.489,349.203,224.714571,0.1769,1,15,time_exit,2021
DOGE_USDT,2021-03-23,2021-04-07,0.053353,0.058777,0.041922,0.4745,1,15,time_exit,2021
ATOM_USDT,2021-03-24,2021-04-08,17.424,20.543,10.8495,0.4744,1,15,time_exit,2021
NEAR_USDT,2021-03-24,2021-04-08,4.8521,6.8164,2.284057,0.7649,1,15,time_exit,2021
LTC_USDT,2021-03-24,2021-04-08,176.05,226.11,131.905,1.134,1,15,time_exit,2021
LINK_USDT,2021-03-24,2021-04-08,24.8684,32.7884,17.554979,1.0829,1,15,time_exit,2021
UNI_USDT,2021-03-24,2021-04-08,27.2243,30.2033,17.179379,0.2966,1,15,time_exit,2021
DOT_USDT,2021-03-24,2021-04-08,30.2209,41.334,20.40085,1.1317,1,15,time_exit,2021
BCH_USDT,2021-03-24,2021-04-08,474.22,643.35,343.426429,1.2931,1,15,time_exit,2021
BNB_USDT,2021-03-25,2021-04-09,233.9466,453.9937,170.671521,3.4776,1,15,time_exit,2021
SOL_USDT,2021-03-25,2021-04-09,12.9787,27.6172,9.049343,3.7254,1,15,time_exit,2021
CHZ_USDT,2021-04-03,2021-04-18,0.45336,0.54981,0.283125,0.5666,1,15,time_exit,2021
BTC_USDT,2021-04-07,2021-04-22,55953.45,51690.96,48159.657857,-0.5469,0,15,time_exit,2021
NEAR_USDT,2021-04-16,2021-05-01,5.9344,5.5042,3.60475,-0.1847,0,15,time_exit,2021
SOL_USDT,2021-04-16,2021-05-01,25.2996,49.67,16.148314,2.6631,1,15,time_exit,2021
INJ_USDT,2021-04-18,2021-05-03,12.13,19.301,7.6282,1.5929,1,15,time_exit,2021
FIL_USDT,2021-04-18,2021-05-03,156.3278,160.24,95.988414,0.0648,1,15,time_exit,2021
DOT_USDT,2021-04-18,2021-05-03,37.363,37.25,24.803971,-0.009,0,15,time_exit,2021
FET_USDT,2021-04-18,2021-05-03,0.54358,0.63211,0.272971,0.3272,1,15,time_exit,2021
GRT_USDT,2021-04-19,2021-05-04,1.55803,1.432,0.870696,-0.1834,0,15,time_exit,2021
AVAX_USDT,2021-04-19,2021-05-04,26.1827,30.287,12.744757,0.3054,1,15,time_exit,2021
GRT_USDT,2021-05-10,2021-05-19,1.3815,0.909279,0.909279,-1.0,0,9,atr_stop,2021
CHZ_USDT,2021-05-10,2021-05-19,0.43474,0.257622,0.257622,-1.0,0,9,atr_stop,2021
UNI_USDT,2021-05-10,2021-05-19,36.372,25.016571,25.016571,-1.0,0,9,atr_stop,2021
HBAR_USDT,2021-05-12,2021-05-27,0.23982,0.2545,0.128514,0.1319,1,15,time_exit,2021
