symbol,n,win_rate,avg_r,total_r,max_dd_r
DOGE_USDT,14,0.4286,1.7243,24.14,2.18
SOL_USDT,19,0.5263,0.4112,7.81,3.09
TRX_USDT,22,0.6364,0.3278,7.21,2.07
BNB_USDT,23,0.6087,0.2492,5.73,2.21
BTC_USDT,28,0.5357,0.1469,4.11,2.07
ZEN_USDT,8,0.5,0.4513,3.61,2.28
BCH_USDT,16,0.5625,0.2233,3.57,1.0
PENDLE_USDT,10,0.7,0.3249,3.25,1.0
SUI_USDT,8,0.625,0.3575,2.86,0.39
LINK_USDT,10,0.7,0.27,2.7,1.5
DASH_USDT,4,1.0,0.4907,1.96,0.0
ZEC_USDT,14,0.5,0.1284,1.8,1.35
ARKM_USDT,7,0.4286,0.2497,1.75,1.0
AAVE_USDT,12,0.6667,0.1262,1.51,2.0
INJ_USDT,11,0.5455,0.1291,1.42,2.02
LTC_USDT,13,0.5385,0.1046,1.36,0.93
SEI_USDT,5,0.4,0.2452,1.23,1.53
CHZ_USDT,10,0.6,0.1203,1.2,2.11
LPT_USDT,8,0.625,0.1094,0.88,1.05
MORPHO_USDT,1,1.0,0.8661,0.87,0.0
NEAR_USDT,14,0.4286,0.0559,0.78,2.91
ICP_USDT,4,0.75,0.1744,0.7,1.0
TAO_USDT,5,0.8,0.0524,0.26,0.48
ARB_USDT,3,0.3333,0.0381,0.11,0.65
ONDO_USDT,2,0.5,-0.004,-0.01,0.17
RENDER_USDT,1,0.0,-0.0387,-0.04,0.0
PENGU_USDT,1,0.0,-0.0554,-0.06,0.0
DOT_USDT,9,0.3333,-0.0079,-0.07,1.42
PEPE_USDT,7,0.4286,-0.0307,-0.21,1.0
ORDI_USDT,5,0.6,-0.073,-0.37,1.37
TIA_USDT,4,0.5,-0.1843,-0.74,1.12
JTO_USDT,3,0.6667,-0.2484,-0.75,1.0
ENA_USDT,1,0.0,-0.761,-0.76,0.0
SPK_USDT,1,0.0,-0.7758,-0.78,0.0
ETH_USDT,20,0.6,-0.042,-0.84,5.33
ATOM_USDT,8,0.375,-0.1065,-0.85,1.61
HBAR_USDT,13,0.4615,-0.0679,-0.88,3.16
WLD_USDT,4,0.25,-0.2336,-0.93,1.06
UNI_USDT,11,0.4545,-0.0932,-1.03,2.2
ADA_USDT,12,0.3333,-0.0999,-1.2,3.49
FIL_USDT,9,0.5556,-0.1552,-1.4,1.79
AVAX_USDT,10,0.5,-0.1488,-1.49,2.04
APT_USDT,6,0.1667,-0.2569,-1.54,1.44
GRT_USDT,10,0.5,-0.2451,-2.45,3.02
FET_USDT,10,0.4,-0.3183,-3.18,3.51
XRP_USDT,19,0.2105,-0.2973,-5.65,6.41
