depth,window,trades,avg_r,pf,cagr,max_dd,mc_p05,beats_avg_r,beats_pf,improves
0.1,1,362,1.0750584774020628,3.0835091030561617,11.619236579287628,-6.282866119824644,250.39754759757577,False,True,False
0.1,2,389,1.0679503031410191,3.092376917690583,12.563353643680664,-6.626032507212742,256.33187529236284,False,True,False
0.1,3,404,1.0846460079576627,3.1309001502998397,12.990434231891212,-4.944544911217184,278.3473450757854,False,True,False
0.1,5,416,1.0699783026178564,3.0837237431210758,12.241318870927408,-5.634369671057873,282.45489664942744,False,True,False
0.25,1,322,1.1536188587699372,3.239881281203823,12.542210833148504,-4.9909555972768285,232.76127339541955,True,True,True
0.25,2,366,1.1212131110371593,3.239782866881921,13.240108656362093,-5.851699808040958,259.0182444379606,True,True,True
0.25,3,392,1.0485338892539733,3.041627824561414,13.383599947223136,-6.467628747196498,254.9522414883542,False,False,False
0.25,5,407,1.0427534203021653,3.033032638832003,12.71271496004096,-6.10026928952162,261.8303166570633,False,False,False
0.5,1,263,1.0450495033942346,3.0562965599193808,10.765152473436789,-3.35823349807744,154.7379274451515,False,False,False
0.5,2,317,0.9455062889766561,2.8445758082024666,10.637922420316116,-4.983311910208484,161.85993778421928,False,False,False
0.5,3,352,0.9933329926584222,2.960317948366612,12.463753111893006,-4.504525697125215,204.67321097197006,False,False,False
0.5,5,379,0.981616849385452,2.926826249291324,13.30426351576377,-4.090270721077774,213.17802807238584,False,False,False
0.75,1,190,1.2118895360432693,3.605092273334904,8.99653386576087,-3.2461378425808864,123.2686848422572,True,True,True
0.75,2,269,1.0443330682615615,3.104700189535457,9.994883351693806,-4.757594343622746,147.60693019730348,False,True,False
0.75,3,307,0.986531865199706,3.0297847785938656,11.00030992930634,-4.908665233003381,160.21715723754767,False,False,False
0.75,5,351,0.9119582936084129,2.83272017780156,10.31119662040787,-4.506533643084245,161.75626496188477,False,False,False
1.0,1,129,0.9299770667792101,2.9436267202805433,5.524439105661938,-3.108495027306104,49.65400534850623,False,False,False
1.0,2,218,1.1592950979726264,3.4395173262391574,9.555911319417309,-3.832834731887199,117.24831108904502,True,True,True
1.0,3,269,1.1210376893038947,3.541521858689151,12.04518675159938,-3.6639820150388003,163.99668501749122,True,True,True
1.0,5,316,1.12744876833325,3.5493603936342404,13.600933422538652,-3.9233380137712333,189.1136328801145,True,True,True
