symbol,n,win_rate,avg_r,pf,max_dd_r,total_r,std_r,t_score
HBAR_USDT,6,0.8333333333333334,1.7059166666666663,10.376603151337486,0.0,10.235499999999998,2.635175617993356,1.5857103976336975
APT_USDT,7,0.7142857142857143,1.0147428571428572,11.027103331451158,0.7084000000000001,7.1032,2.2312451903642976,1.203255140346454
LPT_USDT,9,0.5555555555555556,0.6617222222222223,4.183908045977011,0.8070999999999999,5.955500000000001,1.3551508419524538,1.4649045738749704
SOL_USDT,7,0.42857142857142855,0.8176428571428571,6.519286403085824,0.7998000000000003,5.7235,2.217417025773563,0.9755853933310696
ZEC_USDT,8,1.0,0.5932625,99.0,0.0,4.7461,0.5487170984279084,3.0580416609984606
ZEN_USDT,5,1.0,0.81502,99.0,0.0,4.0751,0.7307528528852967,2.4939213248722543
ICP_USDT,9,0.5555555555555556,0.3768333333333334,5.071917397046464,0.3127,3.3915000000000006,0.7938911701234622,1.4239987073092024
GRT_USDT,7,0.8571428571428571,0.40668571428571426,57.37227722772277,0.0505,2.8468,0.5013185362241305,2.146318526075032
DOT_USDT,6,0.6666666666666666,0.44753333333333334,6.992412407944657,0.2940999999999999,2.6852,0.5995428947678946,1.8284401651994489
UNI_USDT,4,0.75,0.5589,5.501812323801852,0.49659999999999993,2.2356,0.9458553553970783,1.1817874621334017
DASH_USDT,6,0.6666666666666666,0.3534333333333333,45.36401673640167,0.047800000000000065,2.1206,0.4149862294904093,2.086168800879875
DOGE_USDT,3,1.0,0.7008,99.0,0.0,2.1024,0.18227514915643325,6.659279729364184
LINK_USDT,6,0.6666666666666666,0.3403666666666667,3.1560388513513513,0.4838999999999998,2.0422000000000002,0.7875183037026292,1.058673372879622
SEI_USDT,5,0.8,0.40228,3.50298656047785,0.8035999999999999,2.0114,0.8151055864119691,1.1035692074547738
CHZ_USDT,9,0.7777777777777778,0.21425555555555556,1.5606664146774052,3.1328,1.9283000000000001,1.3690180158704186,0.46950928272335196
TIA_USDT,4,0.75,0.47752500000000003,66.41438356164383,0.029199999999999893,1.9101000000000001,0.4152260217841202,2.3000726108069864
AAVE_USDT,2,1.0,0.85305,99.0,0.0,1.7061,0.4620942815054088,2.6107115531752103
SUI_USDT,7,0.42857142857142855,0.2356,1.7528874686144713,0.6417000000000002,1.6492,1.2319122858385656,0.5059930126944949
ARB_USDT,7,0.7142857142857143,0.22582857142857146,1.9305939836345445,1.0974,1.5808000000000002,0.8684118103647326,0.6880217793008164
SPK_USDT,1,1.0,1.4362,99.0,0.0,1.4362,0.0,0.0
ADA_USDT,6,0.8333333333333334,0.22704999999999997,4.427169811320754,0.39749999999999996,1.3622999999999998,0.37215327353121586,1.4944290045382889
FET_USDT,6,0.5,0.20686666666666664,1.9857834961480418,0.6668,1.2411999999999999,0.8719709941658992,0.5811176994579474
PEPE_USDT,3,0.6666666666666666,0.4044999999999999,5.340128755364807,0.0,1.2134999999999998,0.6103044404229745,1.1479755106747156
PENDLE_USDT,2,1.0,0.5921,99.0,0.0,1.1842,0.45565960979661124,1.8376784605834884
ATOM_USDT,8,0.75,0.14766249999999997,2.1567763415589507,0.4939,1.1812999999999998,0.4602390091416787,0.9074689715822528
LTC_USDT,5,0.4,0.22568000000000002,2.953601108033241,0.5118,1.1284,0.6195936668494926,0.8144625230404998
EIGEN_USDT,4,0.5,0.270325,2.3076550973515535,0.02289999999999992,1.0813,0.8536943105311956,0.6333063174142398
FIL_USDT,10,0.5,0.09011000000000001,2.2108304219295887,0.3406,0.9011000000000001,0.3387984666435195,0.8410688595518272
TRX_USDT,4,0.5,0.22199999999999998,2.1898700254589305,0.014800000000000008,0.8879999999999999,0.7593395244114015,0.5847186742243722
ETH_USDT,6,0.5,0.14620000000000002,1.6878381557280637,0.736,0.8772000000000001,0.6369286459251146,0.5622535627593758
SAGA_USDT,7,0.5714285714285714,0.0939,1.4893537820131033,0.7226,0.6573,0.6085185234102026,0.40826373980647784
NEAR_USDT,8,0.5,0.07974999999999999,1.5465604386190352,0.5199,0.6379999999999999,0.5095505863013015,0.44267844893643
ONDO_USDT,1,1.0,0.5839,99.0,0.0,0.5839,0.0,0.0
PENGU_USDT,1,1.0,0.4925,99.0,0.0,0.4925,0.0,0.0
JTO_USDT,3,0.3333333333333333,0.14049999999999999,1.645284751990202,0.4491,0.4215,0.8182624762263023,0.29740229514829225
NIL_USDT,2,0.5,0.1845,3.751677852348993,0.0,0.369,0.45056844097206805,0.5790960451977402
ENA_USDT,3,0.6666666666666666,0.10500000000000002,1.4998413202158045,0.6302,0.31500000000000006,0.657185757605869,0.27673353034501
ORDI_USDT,2,1.0,0.1163,99.0,0.0,0.2326,0.06604377336282355,2.490364025695931
RENDER_USDT,2,0.5,0.0781,4.316348195329087,0.0471,0.1562,0.1770595380091115,0.6238019169329073
BCH_USDT,3,0.6666666666666666,0.031700000000000006,1.1814193056085462,0.5242,0.09510000000000002,0.4902199608339098,0.11200280483588057
TAO_USDT,2,0.5,0.02084999999999998,1.1379880873593644,0.0,0.04169999999999996,0.45686169132462834,0.06454109271010675
TON_USDT,4,0.5,-0.0019249999999999823,0.9951517441128321,1.2227,-0.007699999999999929,1.0539041650770085,-0.003653083579680745
XRP_USDT,5,0.4,-0.0034400000000000207,0.9861758559717086,1.1129,-0.017200000000000104,0.7022588112654764,-0.010953331904427287
ASTER_USDT,1,0.0,-0.067,0.0,0.0,-0.067,0.0,0.0
WLD_USDT,2,0.5,-0.1326,0.7306793947395146,0.0,-0.2652,1.2050513764981143,-0.1556155380823847
ALT_USDT,5,0.6,-0.07036000000000002,0.789631047060934,0.4434,-0.3518000000000001,0.7858248615308631,-0.20020967851588667
