removed_k,months,n,win_rate,avg_r,pf,max_dd_r,total_r,std_r,t_score,flag
1,2022-12,240,0.6083333333333333,0.23491458333333334,2.359259464633144,9.888500000000022,56.3795,0.7424641425176786,4.901625368444462,OK
2,"2022-12, 2024-08",222,0.5765765765765766,0.18142567567567566,1.9710304956109372,9.888500000000018,40.2765,0.7266479127863653,3.7200708048789246,OK
3,"2022-12, 2024-08, 2023-06",206,0.558252427184466,0.14015291262135923,1.7350945490746232,9.888499999999997,28.8715,0.6979100485517629,2.8822807844453164,OK
