removed_k,removed,n,win_rate,avg_r,pf,max_dd_r,total_r,std_r,t_score,flag
1,['HBAR_USDT'],242,0.6115702479338843,0.273995041322314,2.6118883413838456,9.88849999999998,66.3068,0.8882491477750075,4.798611457998916,OK
3,"['HBAR_USDT', 'APT_USDT', 'LPT_USDT']",226,0.6106194690265486,0.23561106194690262,2.381015737657299,9.25210000000002,53.248099999999994,0.7889701924304595,4.489410320255112,OK
5,"['HBAR_USDT', 'APT_USDT', 'LPT_USDT', 'SOL_USDT', 'ZEC_USDT']",211,0.6018957345971564,0.2027417061611374,2.140145841440078,8.712200000000017,42.778499999999994,0.7065165131793951,4.168329170995662,OK
