block_size,p05_total_r,p50_total_r,p95_total_r,prob_positive,pf_p05,mc_pass
1,51.653045000000006,75.93159999999999,102.47391499999999,1.0,2.0468993724385913,OK
3,42.518955,74.65345,110.17493,1.0,1.8185144840928735,OK
5,39.59366500000001,76.8315,120.11613999999999,0.9995,1.7532088253304365,OK
10,34.797320000000006,77.67410000000001,129.04811999999998,0.9995,1.6591781472858325,OK
20,33.761965,75.23830000000001,125.18141999999997,0.9985,1.6732598591633123,OK
