date,equity,n_long,n_short
2020-03-13,8103.07,6,10
2020-03-27,7632.17,0,10
2020-04-10,6930.79,0,10
2020-04-24,7196.26,1,10
2020-05-08,6861.22,4,10
2020-05-22,6888.61,9,10
2020-06-05,7145.02,6,10
2020-06-19,7280.71,15,10
2020-07-03,7605.42,9,10
2020-07-17,8147.14,9,10
2020-07-31,7479.15,19,10
2020-08-14,7323.98,20,10
2020-08-28,7381.85,20,10
2020-09-11,7602.66,20,10
2020-09-25,7964.99,20,10
2020-10-09,8484.31,15,10
2020-10-23,8823.79,16,10
2020-11-06,9047.36,19,10
2020-11-20,8444.6,19,10
2020-12-04,8302.76,20,10
2020-12-18,8931.58,20,10
2021-01-01,10223.68,20,10
2021-01-15,9946.21,20,10
2021-01-29,10893.83,20,10
2021-02-12,12520.45,20,10
2021-02-26,12050.31,20,10
2021-03-12,18283.64,20,10
2021-03-26,19286.88,20,10
2021-04-09,20009.24,20,10
2021-04-23,20861.13,20,10
2021-05-07,23097.55,20,10
2021-05-21,24285.25,20,10
2021-06-04,23108.51,20,10
2021-06-18,23272.28,20,10
2021-07-02,23012.41,15,10
2021-07-16,24970.74,7,10
2021-07-30,25415.78,7,10
2021-08-13,24395.13,20,10
2021-08-27,24604.25,20,10
2021-09-10,25581.31,20,10
2021-09-24,28502.19,20,10
2021-10-08,27562.27,20,10
2021-10-22,26964.77,20,10
2021-11-05,28708.8,20,10
2021-11-19,30978.42,20,10
2021-12-03,31481.87,20,10
2021-12-17,31707.39,20,10
2021-12-31,31922.32,20,10
2022-01-14,33692.29,20,10
2022-01-28,33695.13,19,10
2022-02-11,32765.65,6,10
2022-02-25,33848.66,8,10
2022-03-11,35908.92,4,10
2022-03-25,35123.88,4,10
2022-04-08,35131.1,11,10
2022-04-22,36631.03,14,10
2022-05-06,37440.23,12,10
2022-05-20,40908.31,6,10
2022-06-03,38721.98,2,10
2022-06-17,41245.72,3,10
2022-07-01,37678.73,1,10
2022-07-15,34404.13,1,10
2022-07-29,29472.45,1,10
2022-08-12,30254.67,3,10
2022-08-26,29667.3,4,10
2022-09-09,25586.21,3,10
2022-09-23,24807.41,5,10
2022-10-07,24456.34,2,10
2022-10-21,25344.83,4,10
2022-11-04,24511.38,2,10
2022-11-18,24105.69,11,10
2022-12-02,21130.68,3,10
2022-12-16,21137.24,6,10
2022-12-30,21592.83,1,10
2023-01-13,16861.96,2,10
2023-01-27,17576.3,12,10
2023-02-10,17397.27,20,10
2023-02-24,17854.69,20,10
2023-03-10,17628.43,20,10
2023-03-24,17348.76,9,10
2023-04-07,16143.92,20,10
2023-04-21,16217.97,20,10
2023-05-05,16109.57,20,10
2023-05-19,16420.04,20,10
2023-06-02,16854.93,16,10
2023-06-16,17321.88,14,10
2023-06-30,17127.47,7,10
2023-07-14,16866.04,19,10
2023-07-28,17297.7,20,10
2023-08-11,17157.28,20,10
2023-08-25,18059.73,20,10
2023-09-08,18238.16,12,10
2023-09-22,18486.36,14,10
2023-10-06,19103.02,12,10
2023-10-20,19838.54,19,10
2023-11-03,19661.37,20,10
2023-11-17,19256.75,20,10
2023-12-01,19231.19,20,10
2023-12-15,20686.34,20,10
2023-12-29,21444.93,20,10
2024-01-12,22393.85,20,10
2024-01-26,21817.57,20,10
2024-02-09,22752.56,20,10
2024-02-23,23591.55,20,10
2024-03-08,28190.82,20,10
2024-03-22,27950.84,20,10
2024-04-05,28202.62,20,10
2024-04-19,28987.64,20,10
2024-05-03,28832.71,20,10
2024-05-17,30236.93,20,10
2024-05-31,30282.73,20,10
2024-06-14,30696.69,20,10
2024-06-28,31360.77,20,10
2024-07-12,32323.26,20,10
2024-07-26,31405.47,18,10
2024-08-09,30811.22,20,10
2024-08-23,28744.37,16,10
2024-09-06,28817.45,20,10
2024-09-20,27372.71,5,10
2024-10-04,27946.05,20,10
2024-10-18,30328.84,20,10
2024-11-01,29886.27,20,10
2024-11-15,30001.18,20,10
2024-11-29,31755.44,20,10
2024-12-13,33033.51,20,10
2024-12-27,33904.03,20,10
2025-01-10,34375.17,20,10
2025-01-24,36139.26,20,10
2025-02-07,41039.68,20,10
2025-02-21,42616.64,19,10
2025-03-07,37710.3,20,10
2025-03-21,40495.36,12,10
2025-04-04,39386.1,11,10
2025-04-18,40370.48,5,10
2025-05-02,36941.14,8,10
2025-05-16,37313.9,20,10
2025-05-30,40137.16,20,10
2025-06-13,41388.65,20,10
2025-06-27,43834.17,20,10
2025-07-11,39033.54,16,10
2025-07-25,41652.75,20,10
2025-08-08,41501.75,20,10
2025-08-22,41553.98,20,10
2025-09-05,39257.22,20,10
2025-09-19,39119.06,20,10
2025-10-03,41737.04,20,10
2025-10-17,42129.71,20,10
2025-10-31,45054.54,19,10
2025-11-14,43548.57,20,10
2025-11-28,42708.82,17,10
2025-12-12,48904.76,16,10
2025-12-26,51477.17,10,10
2026-01-09,48310.29,9,10
2026-01-23,49804.01,12,10
2026-02-06,50803.49,20,10
2026-02-20,57692.03,6,10
2026-03-06,55261.13,8,10
2026-03-20,51904.96,8,10
2026-04-03,54622.78,9,10
2026-04-17,53905.12,10,10
2026-05-01,53628.73,17,10
2026-05-15,51735.17,17,10
2026-05-29,52957.62,20,10
2026-06-12,,14,10
