symbol,entry_ts,exit_ts,r,year,side
XTZUSDT,1582848000000,1584057600000,-2.154232,2020,long
LINKUSDT,1582848000000,1584057600000,-2.501802,2020,long
ETHUSDT,1582848000000,1584057600000,-2.456119,2020,long
XRPUSDT,1582848000000,1584057600000,-1.978885,2020,long
LTCUSDT,1582848000000,1584057600000,-2.242869,2020,long
BCHUSDT,1582848000000,1584057600000,-2.622965,2020,long
ETCUSDT,1582848000000,1584057600000,3.517352,2020,short
DASHUSDT,1582848000000,1584057600000,4.180579,2020,short
BCHUSDT,1582848000000,1584057600000,4.371609,2020,short
ZECUSDT,1582848000000,1584057600000,4.609175,2020,short
ATOMUSDT,1582848000000,1584057600000,4.904009,2020,short
LTCUSDT,1582848000000,1584057600000,3.738115,2020,short
TRXUSDT,1582848000000,1584057600000,4.00467,2020,short
ADAUSDT,1582848000000,1584057600000,4.184049,2020,short
XLMUSDT,1582848000000,1584057600000,3.235797,2020,short
XMRUSDT,1582848000000,1584057600000,4.604338,2020,short
ATOMUSDT,1584057600000,1585267200000,-1.030471,2020,short
ONTUSDT,1584057600000,1585267200000,-0.523727,2020,short
IOSTUSDT,1584057600000,1585267200000,-1.591709,2020,short
VETUSDT,1584057600000,1585267200000,-0.707395,2020,short
ZECUSDT,1584057600000,1585267200000,-1.325785,2020,short
NEOUSDT,1584057600000,1585267200000,-0.422966,2020,short
XMRUSDT,1584057600000,1585267200000,-2.935904,2020,short
BCHUSDT,1584057600000,1585267200000,-2.022662,2020,short
IOTAUSDT,1584057600000,1585267200000,-0.542215,2020,short
BATUSDT,1584057600000,1585267200000,-0.537472,2020,short
LINKUSDT,1585267200000,1586476800000,-5.110277,2020,short
ONTUSDT,1585267200000,1586476800000,-1.020071,2020,short
VETUSDT,1585267200000,1586476800000,-2.048715,2020,short
XTZUSDT,1585267200000,1586476800000,-2.007552,2020,short
QTUMUSDT,1585267200000,1586476800000,-1.130507,2020,short
IOSTUSDT,1585267200000,1586476800000,-0.688259,2020,short
ATOMUSDT,1585267200000,1586476800000,-1.572074,2020,short
ETHUSDT,1585267200000,1586476800000,-2.012646,2020,short
NEOUSDT,1585267200000,1586476800000,-1.263694,2020,short
ADAUSDT,1585267200000,1586476800000,-1.553162,2020,short
LINKUSDT,1586476800000,1587686400000,0.173913,2020,long
IOSTUSDT,1586476800000,1587686400000,-1.316288,2020,short
DASHUSDT,1586476800000,1587686400000,-1.008244,2020,short
ETCUSDT,1586476800000,1587686400000,-0.641905,2020,short
BCHUSDT,1586476800000,1587686400000,-0.234308,2020,short
ATOMUSDT,1586476800000,1587686400000,-1.931424,2020,short
ONTUSDT,1586476800000,1587686400000,-1.26497,2020,short
QTUMUSDT,1586476800000,1587686400000,-0.649739,2020,short
LTCUSDT,1586476800000,1587686400000,-0.541371,2020,short
TRXUSDT,1586476800000,1587686400000,-1.188755,2020,short
BTCUSDT,1586476800000,1587686400000,-0.942413,2020,short
LINKUSDT,1587686400000,1588896000000,0.022222,2020,long
XTZUSDT,1587686400000,1588896000000,0.066396,2020,long
XLMUSDT,1587686400000,1588896000000,0.749877,2020,long
ETHUSDT,1587686400000,1588896000000,0.507754,2020,long
BCHUSDT,1587686400000,1588896000000,-0.94854,2020,short
XRPUSDT,1587686400000,1588896000000,-1.336095,2020,short
ETCUSDT,1587686400000,1588896000000,-2.799356,2020,short
LTCUSDT,1587686400000,1588896000000,-0.708679,2020,short
BTCUSDT,1587686400000,1588896000000,-3.069491,2020,short
QTUMUSDT,1587686400000,1588896000000,-1.626928,2020,short
IOSTUSDT,1587686400000,1588896000000,-0.722455,2020,short
IOTAUSDT,1587686400000,1588896000000,-2.102748,2020,short
NEOUSDT,1587686400000,1588896000000,-3.9792,2020,short
XMRUSDT,1587686400000,1588896000000,-0.446091,2020,short
XLMUSDT,1588896000000,1590105600000,-0.54181,2020,long
ADAUSDT,1588896000000,1590105600000,0.643351,2020,long
BTCUSDT,1588896000000,1590105600000,-0.588306,2020,long
TRXUSDT,1588896000000,1590105600000,-0.805641,2020,long
XTZUSDT,1588896000000,1590105600000,0.156749,2020,long
ETHUSDT,1588896000000,1590105600000,-0.178323,2020,long
XRPUSDT,1588896000000,1590105600000,-0.760621,2020,long
BCHUSDT,1588896000000,1590105600000,-0.897134,2020,long
LINKUSDT,1588896000000,1590105600000,0.615627,2020,long
LINKUSDT,1588896000000,1590105600000,-0.684031,2020,short
DASHUSDT,1588896000000,1590105600000,0.857562,2020,short
BNBUSDT,1588896000000,1590105600000,0.314377,2020,short
BCHUSDT,1588896000000,1590105600000,0.996815,2020,short
LTCUSDT,1588896000000,1590105600000,0.737173,2020,short
XMRUSDT,1588896000000,1590105600000,0.07879,2020,short
ZECUSDT,1588896000000,1590105600000,-0.201027,2020,short
ATOMUSDT,1588896000000,1590105600000,0.565635,2020,short
XRPUSDT,1588896000000,1590105600000,0.845135,2020,short
ETHUSDT,1588896000000,1590105600000,0.198137,2020,short
ADAUSDT,1590105600000,1591315200000,3.163558,2020,long
LINKUSDT,1590105600000,1591315200000,0.446196,2020,long
BTCUSDT,1590105600000,1591315200000,0.295137,2020,long
XTZUSDT,1590105600000,1591315200000,0.284593,2020,long
ETHUSDT,1590105600000,1591315200000,0.950888,2020,long
XLMUSDT,1590105600000,1591315200000,0.942832,2020,long
ETCUSDT,1590105600000,1591315200000,-0.578679,2020,short
XRPUSDT,1590105600000,1591315200000,-0.11477,2020,short
DASHUSDT,1590105600000,1591315200000,-0.412881,2020,short
BCHUSDT,1590105600000,1591315200000,-0.922651,2020,short
LTCUSDT,1590105600000,1591315200000,-0.590097,2020,short
XLMUSDT,1590105600000,1591315200000,-1.571387,2020,short
TRXUSDT,1590105600000,1591315200000,-1.353535,2020,short
ATOMUSDT,1590105600000,1591315200000,-1.662896,2020,short
BNBUSDT,1590105600000,1591315200000,-0.650367,2020,short
ETHUSDT,1590105600000,1591315200000,-1.584813,2020,short
ADAUSDT,1591315200000,1592524800000,-0.928253,2020,long
VETUSDT,1591315200000,1592524800000,3.779122,2020,long
IOSTUSDT,1591315200000,1592524800000,2.118298,2020,long
ZECUSDT,1591315200000,1592524800000,-0.324848,2020,long
IOTAUSDT,1591315200000,1592524800000,-1.35741,2020,long
BATUSDT,1591315200000,1592524800000,-1.610656,2020,long
ETHUSDT,1591315200000,1592524800000,-0.697122,2020,long
NEOUSDT,1591315200000,1592524800000,-1.959007,2020,long
XLMUSDT,1591315200000,1592524800000,-1.778566,2020,long
LINKUSDT,1591315200000,1592524800000,-0.917946,2020,long
TRXUSDT,1591315200000,1592524800000,-0.88968,2020,long
XTZUSDT,1591315200000,1592524800000,-1.578141,2020,long
BCHUSDT,1591315200000,1592524800000,-1.341982,2020,long
XMRUSDT,1591315200000,1592524800000,-0.761658,2020,long
BTCUSDT,1591315200000,1592524800000,-0.483956,2020,long
XRPUSDT,1591315200000,1592524800000,0.774544,2020,short
ETCUSDT,1591315200000,1592524800000,0.725464,2020,short
BTCUSDT,1591315200000,1592524800000,0.322638,2020,short
XMRUSDT,1591315200000,1592524800000,0.507772,2020,short
DASHUSDT,1591315200000,1592524800000,0.998332,2020,short
LTCUSDT,1591315200000,1592524800000,0.843296,2020,short
BCHUSDT,1591315200000,1592524800000,0.894655,2020,short
BNBUSDT,1591315200000,1592524800000,0.972521,2020,short
XTZUSDT,1591315200000,1592524800000,1.052094,2020,short
TRXUSDT,1591315200000,1592524800000,0.59312,2020,short
