date,paper_equity,unrealized_pnl,total_value,open_positions,total_cost,total_market_value
2026-06-17,10000.00,0.00,10000.00,0,0.00,0.00
2026-06-18,10000.00,0.00,10000.00,0,0.00,0.00
2026-06-19,10000.00,0.00,10000.00,0,0.00,0.00
2026-06-20,10000.00,0.00,10000.00,0,0.00,0.00
2026-06-21,10000.00,0.00,10000.00,0,0.00,0.00
2026-06-22,10000.00,0.00,10000.00,0,0.00,0.00
2026-06-23,10000.00,0.00,10000.00,0,0.00,0.00
2026-06-24,10000.00,0.00,10000.00,0,0.00,0.00
2026-06-25,10000.00,-13.18,9986.82,1,102.41,89.23
2026-06-26,10000.00,-13.18,9986.82,1,102.41,89.23
2026-06-27,10000.00,-13.18,9986.82,1,102.41,89.23
2026-06-28,10000.00,-13.18,9986.82,1,102.41,89.23
2026-06-29,10000.00,-13.18,9986.82,1,102.41,89.23
2026-06-30,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-01,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-02,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-03,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-04,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-05,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-06,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-07,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-08,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-10,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-11,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-11,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-11,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-12,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-13,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-14,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-15,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-16,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-17,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-18,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-19,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-20,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-21,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-22,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-23,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-24,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-25,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-26,10000.00,-13.18,9986.82,1,102.41,89.23
2026-07-27,9975.00,0.00,9975.00,0,0.00,0.00
2026-07-28,9975.00,0.00,9975.00,0,0.00,0.00
2026-07-29,9975.00,0.00,9975.00,0,0.00,0.00
2026-07-30,9975.00,0.00,9975.00,0,0.00,0.00
