position_id,symbol,entry_date,as_of_date,entry_price,initial_stop,current_stop,initial_risk_per_unit,risk_amount_usdt,qty,atr_at_entry,donchian_entry_level,highest_high,max_favorable_r,chandelier_active,chandelier_activated
NEAR_USDT_20260821,NEAR/USDT,2026-08-21,2026-09-15,1.968,1.77961145,1.77961145,0.18838855,18.6032,98.74900521176846,0.09419428,1.782,2.728,4.0342,False,
JST_USDT_20260905,JST/USDT,2026-09-05,2026-09-15,0.11033,0.10292281,0.10292281,0.00740719,24.8229,3351.192070343139,0.00370359,0.10989,0.1162,0.7925,False,
ZRX_USDT_20260906,ZRX/USDT,2026-09-06,2026-09-15,0.1063,0.09664434,0.09664434,0.00965566,24.8229,2570.815085817541,0.00482783,0.1058,0.1199,1.4085,False,
VET_USDT_20260908,VET/USDT,2026-09-08,2026-09-15,0.008063,0.00716715,0.00716715,0.00089585,24.8229,27708.78650613942,0.00044793,0.007628,0.00849,0.4766,False,
IOST_USDT_20260909,IOST/USDT,2026-09-09,2026-09-15,0.001886,0.0014901,0.0014901,0.0003959,24.8229,62699.96562648396,0.00019795,0.001189,0.001899,0.0328,False,
