exit_date,symbol,entry_date,gross_r,pnl_usdt,equity,dd_pct,exit_reason,max_favorable_r
2026-06-05,FET/USDT,2026-05-30,-1.7625,-44.0625,9955.9375,-0.4406,donchian_exit,0.38962023361629244
2026-07-21,DEXE/USDT,2026-07-06,-4.272089,-37.2161,9918.7214,-0.8128,donchian_exit,4.246866612176117
2026-08-30,JST/USDT,2026-06-27,1.142915,7.4673,9926.1887,-0.7381,donchian_exit,3.107949623422486
2026-09-15,ETH/USDT,2026-08-19,0.992076,6.4576,9932.6463,-0.6735,donchian_exit,2.818064935136489
2026-09-15,BTC/USDT,2026-08-20,0.739945,13.7653,9946.4116,-0.5359,donchian_exit,2.625566113284244
2026-09-15,SOL/USDT,2026-08-21,0.508864,9.4665,9955.8781,-0.4412,donchian_exit,2.6216152203907135
