symbol,entry_date,entry_price,current_price,qty,cost_usdt,market_value_usdt,unrealized_pnl,pnl_pct
ETH/USDT,2026-08-19,2252.800000,2514.480000,0.044394,100.01,111.63,11.62,11.62
BTC/USDT,2026-08-20,73032.757812,80341.830000,0.005271,384.93,423.45,38.52,10.01
SOL/USDT,2026-08-21,93.720000,106.550000,2.995724,280.76,319.19,38.44,13.69
NEAR/USDT,2026-08-21,1.968000,2.439000,98.749005,194.34,240.85,46.51,23.93
JST/USDT,2026-09-05,0.110330,0.110730,3351.192070,369.74,371.08,1.34,0.36
ZRX/USDT,2026-09-06,0.106300,0.106300,2570.815086,273.28,273.28,0.00,0.00
