symbol,signal_date,close,ema200,don_entry_high,don_exit_low,atr,initial_stop,initial_risk_unit,signal
AVAX/USDT,2026-09-19,10.094,8.62196495,8.341,7.169,0.49413228,9.10573544,0.98826456,BUY
CELR/USDT,2026-09-19,0.003347,0.00255104,0.002463,0.001973,0.00023518,0.00287664,0.00047036,BUY
