variant,symbol,timeframe,side,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_risk_per_unit,net_r,bars_held,max_favorable_r,chandelier_active,chandelier_activation_time,chandelier_activation_price,ch_activate_r,ch_atr_mult,exit_reason,month
ACT2_ATR3,BTC/USDT,6h,LONG,2025-10-01 06:00:00+00:00,2025-10-07 12:00:00+00:00,116789.58,121889.93714285715,114366.69142857143,121889.93714285715,2422.8885714285716,2.10507292947851,25,3.8838145967446187,True,2025-10-03 12:00:00+00:00,122073.25,2.0,3.0,STOP_OR_TRAILING,2025-10
ACT2_ATR3,BTC/USDT,6h,SHORT,2025-10-16 12:00:00+00:00,2025-10-21 12:00:00+00:00,108276.7,112606.48571428572,112606.48571428572,112606.48571428572,4329.785714285725,-1.0,20,1.0966986158998278,False,,,2.0,3.0,STOP_OR_TRAILING,2025-10
ACT2_ATR3,BTC/USDT,6h,LONG,2025-10-26 18:00:00+00:00,2025-10-29 12:00:00+00:00,114559.4,111880.3857142857,111880.3857142857,111880.3857142857,2679.014285714293,-1.0,11,0.6870437421013063,False,,,2.0,3.0,STOP_OR_TRAILING,2025-10
ACT2_ATR3,BTC/USDT,6h,SHORT,2025-10-30 12:00:00+00:00,2025-11-09 12:00:00+00:00,107486.69,103840.73285714287,111433.94142857143,103840.73285714287,3947.251428571428,0.923669852005517,40,2.164121073759825,True,2025-11-04 18:00:00+00:00,101497.22,2.0,3.0,STOP_OR_TRAILING,2025-11
ACT2_ATR3,BTC/USDT,6h,SHORT,2025-11-13 12:00:00+00:00,2025-11-23 18:00:00+00:00,99659.99,87762.84928571428,103457.48000000001,87762.84928571428,3797.4900000000052,3.1328958639221445,41,5.019102091118075,True,2025-11-17 18:00:00+00:00,92215.14,2.0,3.0,STOP_OR_TRAILING,2025-11
ACT2_ATR3,BTC/USDT,6h,SHORT,2025-12-01 00:00:00+00:00,2025-12-02 12:00:00+00:00,86001.08,88574.15142857142,88574.15142857142,88574.15142857142,2573.0714285714203,-1.0,6,0.8465835716070343,False,,,2.0,3.0,STOP_OR_TRAILING,2025-12
ACT2_ATR3,BTC/USDT,6h,LONG,2025-12-09 12:00:00+00:00,2025-12-11 00:00:00+00:00,93917.99,90539.47857142857,90539.47857142857,90539.47857142857,3378.511428571437,-1.0,6,0.16516445535184784,False,,,2.0,3.0,STOP_OR_TRAILING,2025-12
ACT2_ATR3,BTC/USDT,6h,SHORT,2025-12-14 18:00:00+00:00,2026-01-02 12:00:00+00:00,88172.17,90657.17285714285,90657.17285714285,90657.17285714285,2485.0028571428556,-1.0,75,1.4978493844790084,False,,,2.0,3.0,STOP_OR_TRAILING,2026-01
ACT2_ATR3,BTC/USDT,6h,LONG,2026-01-04 00:00:00+00:00,2026-01-08 06:00:00+00:00,91480.04,89710.97428571427,89710.97428571427,89710.97428571427,1769.0657142857235,-1.0,17,1.8705014592044498,False,,,2.0,3.0,STOP_OR_TRAILING,2026-01
ACT2_ATR3,BTC/USDT,6h,LONG,2026-01-13 12:00:00+00:00,2026-01-18 00:00:00+00:00,93241.99,95165.03214285715,91257.15571428572,95165.03214285715,1984.8342857142852,0.9688678579859853,18,2.3591390141242456,True,2026-01-14 12:00:00+00:00,96956.07,2.0,3.0,STOP_OR_TRAILING,2026-01
ACT2_ATR3,BTC/USDT,6h,SHORT,2026-01-20 06:00:00+00:00,2026-01-27 18:00:00+00:00,91218.99,88852.71785714285,92898.84857142858,88852.71785714285,1679.8585714285728,1.4086139054223152,30,3.0623232738130164,True,2026-01-21 12:00:00+00:00,87932.38,2.0,3.0,STOP_OR_TRAILING,2026-01
ACT2_ATR3,BTC/USDT,6h,SHORT,2026-01-29 12:00:00+00:00,2026-02-06 12:00:00+00:00,84261.66,68878.21714285715,87193.32142857143,68878.21714285715,2931.6614285714313,5.247346336523946,32,8.27573735614568,True,2026-01-31 12:00:00+00:00,78893.92,2.0,3.0,STOP_OR_TRAILING,2026-02
ACT2_ATR3,BTC/USDT,6h,SHORT,2026-02-12 12:00:00+00:00,2026-02-13 12:00:00+00:00,65413.99,69259.35714285713,69259.35714285713,69259.35714285713,3845.3671428571324,-1.0,4,0.07697314430685948,False,,,2.0,3.0,STOP_OR_TRAILING,2026-02
ACT2_ATR3,BTC/USDT,6h,SHORT,2026-02-18 18:00:00+00:00,2026-02-25 18:00:00+00:00,66461.0,69246.16,69246.16,69246.16,2785.1600000000035,-1.0,28,1.418489422510734,False,,,2.0,3.0,STOP_OR_TRAILING,2026-02
ACT2_ATR3,BTC/USDT,6h,LONG,2026-03-04 06:00:00+00:00,2026-03-07 18:00:00+00:00,71111.4,67179.26714285713,67179.26714285713,67179.26714285713,3932.1328571428603,-1.0,14,0.7473297843082625,False,,,2.0,3.0,STOP_OR_TRAILING,2026-03
ACT2_ATR3,BTC/USDT,6h,SHORT,2026-03-08 18:00:00+00:00,2026-03-09 06:00:00+00:00,65971.2,68367.28714285714,68367.28714285714,68367.28714285714,2396.087142857141,-1.0,2,0.0622807064613064,False,,,2.0,3.0,STOP_OR_TRAILING,2026-03
ACT2_ATR3,BTC/USDT,6h,LONG,2026-03-13 06:00:00+00:00,2026-03-19 12:00:00+00:00,72228.82,69297.6942857143,69297.6942857143,69297.6942857143,2931.1257142857066,-1.0,25,1.2865978356438394,False,,,2.0,3.0,STOP_OR_TRAILING,2026-03
ACT2_ATR3,BTC/USDT,6h,SHORT,2026-03-22 06:00:00+00:00,2026-03-23 06:00:00+00:00,68217.95,70523.73428571428,70523.73428571428,70523.73428571428,2305.7842857142823,-1.0,4,0.3717997409000572,False,,,2.0,3.0,STOP_OR_TRAILING,2026-03
ACT2_ATR3,BTC/USDT,6h,SHORT,2026-03-27 06:00:00+00:00,2026-04-06 00:00:00+00:00,66702.78,69485.96285714286,69485.96285714286,69485.96285714286,2783.182857142863,-1.0,39,0.6118103219951652,False,,,2.0,3.0,STOP_OR_TRAILING,2026-04
ACT2_ATR3,BTC/USDT,6h,LONG,2026-04-07 18:00:00+00:00,2026-04-19 06:00:00+00:00,71924.22,75132.58714285714,69390.63,75132.58714285714,2533.5899999999965,1.2663324148173714,46,2.5295252980948013,True,2026-04-17 12:00:00+00:00,77520.59,2.0,3.0,STOP_OR_TRAILING,2026-04
