variant,month,trades,total_r,avg_r,median_r,pf,max_dd_r,win_rate_pct,best_r,worst_r,max_losing_streak,avg_bars_held,trail_activation_rate_pct,avg_mfe_r
ACT2_ATR3,2025-09,4,1.9900962479954774,0.49752406199886934,-0.048043728423475596,1.9950481239977387,-1.0,50.0,3.0861837048424285,-1.0,1,4.5,50.0,2.296721051756534
ACT2_ATR3,2025-10,150,231.8375274049733,1.5455835160331552,-1.0,3.5336952123589587,-5.0,38.0,15.173248882265312,-1.0,5,11.64,39.33333333333333,3.730071075881715
ACT2_ATR3,2025-11,125,30.778408316738847,0.24622726653391078,-1.0,1.4885461637577597,-16.330767631974524,49.6,4.334814814814808,-1.0,9,30.168,49.6,1.8385131774966548
ACT2_ATR3,2025-12,131,-0.39955754730409865,-0.003050057613008387,-1.0,0.9949423095277964,-21.236324314941747,39.69465648854962,3.538755250095455,-1.0,19,34.82442748091603,39.69465648854962,1.4234861327651367
ACT2_ATR3,2026-01,168,-24.921717298155553,-0.148343555346164,-1.0,0.7614360042245245,-38.162055873190184,35.11904761904761,4.04973821989529,-1.0,11,27.678571428571427,38.095238095238095,1.6213455672028645
ACT2_ATR3,2026-02,172,52.527052083135885,0.3053898376926505,-1.0,1.4775186553012352,-13.371129451519526,36.04651162790697,8.222410854571129,-1.0,11,31.843023255813954,36.04651162790697,1.9589656610365418
ACT2_ATR3,2026-03,155,-83.30265666672945,-0.537436494624061,-1.0,0.32274262872577686,-85.2222848296475,20.64516129032258,4.948170731707304,-1.0,15,23.774193548387096,20.64516129032258,1.0724890907129494
ACT2_ATR3,2026-04,165,-45.5769229060337,-0.27622377518808305,-1.0,0.6206439234931798,-55.968146305954505,26.666666666666668,6.98626373626375,-1.0,12,25.527272727272727,27.27272727272727,1.4942413149985547
ACT2_ATR3,2026-05,92,-24.924335099134893,-0.2709166858601619,-1.0,0.6165486907825402,-29.356041579256036,29.347826086956523,5.024482109227871,-1.0,8,20.902173913043477,29.347826086956523,1.5862783522647443
ACT2_ATR4,2025-09,4,0.31094176914456195,0.07773544228614049,-0.3820483314154206,1.155470884572281,-1.0,50.0,2.075038431975403,-1.0,1,4.5,50.0,2.296721051756534
ACT2_ATR4,2025-10,148,163.36860627925205,1.1038419343192707,-1.0,2.7488050238935413,-5.850624838991518,35.810810810810814,13.184053651266797,-1.0,5,11.567567567567568,38.513513513513516,3.703793304779582
ACT2_ATR4,2025-11,121,25.060427485672594,0.20711097095597186,-1.0,1.4106064988847664,-16.81160676102042,48.760330578512395,5.982105263157896,-1.0,12,33.17355371900826,49.586776859504134,2.044814288491923
ACT2_ATR4,2025-12,122,-3.549980010457522,-0.02909819680702887,-1.0,0.9523299820975047,-22.697080480776048,37.704918032786885,3.6292478045055345,-1.0,19,39.47540983606557,39.34426229508197,1.4617599025749053
