variant,symbol,trades,total_r,avg_r,median_r,pf,max_dd_r,win_rate_pct,best_r,worst_r,max_losing_streak,avg_bars_held,trail_activation_rate_pct,avg_mfe_r
ACT2_ATR3,0G/USDT,16,2.215505838749292,0.13846911492183075,-1.0,1.2215505838749292,-3.7302593158633712,37.5,3.657032755298655,-1.0,3,22.375,37.5,1.7378689340090065
ACT2_ATR3,1000CAT/USDT,20,0.49995239151438664,0.024997619575719332,-1.0,1.0416626992928657,-7.116479049405879,40.0,4.543165467625898,-1.0,5,21.3,40.0,1.568451774534371
ACT2_ATR3,1000CHEEMS/USDT,23,-2.5258488325521897,-0.10981951445879086,-1.0,0.8514206569086947,-11.077777777777776,26.08695652173913,3.9222222222222247,-1.0,9,19.652173913043477,26.08695652173913,1.6058099386101023
ACT2_ATR3,1000SATS/USDT,23,-1.1836370264132243,-0.05146247940927062,-1.0,0.9157022086214607,-10.973371258303146,34.78260869565217,6.497282608695648,-1.0,6,13.434782608695652,39.130434782608695,1.726344007422642
ACT2_ATR3,1INCH/USDT,22,-7.592601528808994,-0.34511825130949975,-1.0,0.5533763806582944,-12.488751475881413,22.727272727272727,5.035379369138968,-1.0,5,17.09090909090909,22.727272727272727,1.3980285182237635
ACT2_ATR3,1MBABYDOGE/USDT,13,-5.374395525034575,-0.413415040387275,-1.0,0.40530484680694606,-7.8499652299150275,23.076923076923077,2.5127974276527323,-1.0,5,50.76923076923077,30.76923076923077,1.155440896228635
ACT2_ATR3,2Z/USDT,19,-1.1938585119230778,-0.06283465852226726,-1.0,0.908164729852071,-7.979166726978411,31.57894736842105,3.0962602054253345,-1.0,7,20.31578947368421,31.57894736842105,1.794816524343463
ACT2_ATR3,A/USDT,18,5.91485494584671,0.3286030525470395,-1.0,1.5377140859860645,-8.0,38.88888888888889,9.513561741613136,-1.0,8,26.88888888888889,38.88888888888889,2.278572792738706
ACT2_ATR3,AAVE/USDT,26,-5.358949567616696,-0.20611344490833444,-1.0,0.744811925351586,-14.079430793967719,19.230769230769234,8.720481226351023,-1.0,5,16.5,19.230769230769234,1.3899758591589721
ACT2_ATR3,ACE/USDT,11,6.217371127982191,0.56521555708929,-1.0,2.0362285213303655,-2.4335889778743023,45.45454545454545,3.862318840579712,-1.0,3,49.36363636363637,45.45454545454545,2.14105098633912
ACT2_ATR3,ACH/USDT,16,5.4477243163901425,0.3404827697743839,-0.2977777777777766,1.680965539548768,-3.821746031746029,50.0,5.3299776286353415,-1.0,2,29.4375,50.0,2.1985949981885176
ACT2_ATR3,ACM/USDT,11,5.497183019440243,0.4997439108582039,-1.0,1.6871478774300304,-5.0,27.27272727272727,9.533807829181491,-1.0,5,47.09090909090909,27.27272727272727,2.548349700496773
ACT2_ATR3,ACT/USDT,19,-5.205817301302499,-0.2739903842790789,-1.0,0.6529455132465001,-8.4597235513025,21.052631578947366,4.253906250000002,-1.0,7,18.42105263157895,21.052631578947366,1.470697486585914
ACT2_ATR3,ACX/USDT,17,-4.188763471677472,-0.2463978512751454,-1.0,0.6777874252555791,-11.243150684931507,23.52941176470588,5.1233644859813054,-1.0,8,19.941176470588236,23.52941176470588,1.5419727117327768
ACT2_ATR3,ADA/USDT,23,1.1417360509275196,0.049640697866413896,-1.0,1.07135850318297,-8.488994185706273,30.434782608695656,6.72897743920305,-1.0,8,16.695652173913043,30.434782608695656,1.6615663368415945
ACT2_ATR3,ADX/USDT,16,5.3030736266410825,0.33144210166506766,-0.06926406926407042,1.6628842033301354,-3.0,50.0,4.082460732984297,-1.0,4,34.75,50.0,2.127831421811094
ACT2_ATR3,AEVO/USDT,16,3.515704161934091,0.21973151012088069,-1.0,1.3515704161934092,-5.581481481481484,37.5,6.102526002971768,-1.0,4,29.8125,37.5,2.2909405455498177
ACT2_ATR3,AGLD/USDT,20,-1.1568632983085045,-0.057843164915425224,-1.0,0.9276960438557185,-13.123076923076919,20.0,10.594202898550725,-1.0,9,18.6,20.0,1.793637075955815
ACT2_ATR3,AI/USDT,11,-1.7249088740926624,-0.15680989764478748,-1.0,0.7843863907384172,-5.0,27.27272727272727,2.4939759036144555,-1.0,5,53.18181818181818,27.27272727272727,1.1692986920204256
ACT2_ATR3,AIXBT/USDT,20,1.1416463490922046,0.05708231745461023,-1.0,1.0878189499301696,-6.0,35.0,6.395575221238944,-1.0,6,21.4,35.0,1.7555942792144026
ACT2_ATR3,ALCX/USDT,24,-11.368887048507496,-0.47370362702114566,-1.0,0.4016375237627634,-10.368887048507494,20.833333333333336,2.2068965517241423,-1.0,9,11.791666666666666,20.833333333333336,0.8817686222093064
ACT2_ATR3,ALGO/USDT,25,-3.9870474897704464,-0.15948189959081785,-1.0,0.7654677947193855,-9.671835765184934,32.0,4.599507389162559,-1.0,5,20.6,32.0,1.5777863187469763
ACT2_ATR3,ALICE/USDT,22,-8.34432225799898,-0.37928737536359003,-1.0,0.4784798588750637,-8.158561210535805,27.27272727272727,2.356445993031355,-1.0,4,17.136363636363637,27.27272727272727,1.2666276685868985
ACT2_ATR3,ALLO/USDT,10,1.3637925185836934,0.13637925185836935,-1.0,1.1948275026548134,-6.0,30.0,3.6091617933723237,-1.0,6,37.2,30.0,1.7409046238398038
ACT2_ATR3,ALPINE/USDT,16,7.685001598384453,0.4803125998990283,-1.0,1.8538890664871615,-6.0,43.75,5.038418079096039,-1.0,6,27.0,43.75,2.3678041595146118
ACT2_ATR3,ALT/USDT,11,5.764606260864449,0.5240551146240408,-1.0,1.9607677101440746,-2.0,45.45454545454545,5.725032425421532,-1.0,2,54.90909090909091,45.45454545454545,2.4231063127923598
ACT2_ATR3,AMP/USDT,15,8.272066435709164,0.5514710957139443,-1.0,2.018714290957109,-3.093421052631581,40.0,6.3539985326485615,-1.0,3,28.133333333333333,46.666666666666664,2.212706019217109
ACT2_ATR3,ANIME/USDT,19,1.443951276448498,0.07599743560255252,-1.0,1.1031393768891786,-8.608727602050061,26.31578947368421,9.565559440559447,-1.0,7,20.526315789473685,26.31578947368421,1.8521953628935706
ACT2_ATR3,ANKR/USDT,13,10.134051793775093,0.7795424456750072,-1.0,2.2667564742218866,-5.0,38.46153846153847,12.021375464684033,-1.0,5,40.76923076923077,38.46153846153847,2.441324003525761
ACT2_ATR3,APE/USDT,16,16.541406416095175,1.0338379010059484,-1.0,2.837934046232797,-3.0,43.75,6.98626373626375,-1.0,3,31.25,43.75,2.800788782341827
ACT2_ATR3,API3/USDT,1,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,1,1.0,0.0,0.15130068859984674
ACT2_ATR3,APT/USDT,13,5.476320634022616,0.42125543338635507,0.14953271028036993,1.912720105670436,-3.0,53.84615384615385,3.3934871099050294,-1.0,3,44.69230769230769,53.84615384615385,2.0646883054656557
