variant,ch_activate_r,ch_atr_mult,trades,total_r,avg_r,median_r,pf,max_dd_r,win_rate_pct,best_r,worst_r,max_losing_streak,avg_bars_held,trail_activation_rate_pct,avg_mfe_r
ACT5_ATR3,5.0,3.0,670,150.9987269445762,0.2253712342456361,-1.0,1.2775711892363533,-28.801728129387556,18.80597014925373,15.173248882265312,-1.0,20,43.059701492537314,18.80597014925373,2.3357693552165237
ACT3_ATR3,3.0,3.0,886,146.95448775988612,0.1658628530021288,-1.0,1.224357996579979,-28.869370423656548,26.072234762979683,15.173248882265312,-1.0,13,36.355530474040634,26.072234762979683,2.0747529892831964
ACT4_ATR3,4.0,3.0,782,128.0888804809626,0.1637965223541721,-1.0,1.20692872452498,-30.655636569316577,20.843989769820972,15.173248882265312,-1.0,18,40.07289002557545,20.843989769820972,2.2053741804382745
ACT2_ATR3,2.0,3.0,1162,138.00789453548578,0.11876755123535782,-1.0,1.1820420104974394,-38.406596244354304,34.16523235800344,15.173248882265312,-1.0,13,25.85542168674699,34.85370051635112,1.8528741476769273
ACT5_ATR4,5.0,4.0,660,91.793360374687,0.13908084905255605,-1.0,1.1715763745321255,-38.00097986176614,18.939393939393938,13.184053651266797,-1.0,21,44.412121212121214,18.939393939393938,2.4038102609443857
ACT3_ATR4,3.0,4.0,879,91.41079622146256,0.10399407988789824,-1.0,1.1406794618593927,-33.13614629974747,25.82480091012514,13.184053651266797,-1.0,13,37.792946530147894,26.16609783845279,2.1835959839878423
ACT4_ATR4,4.0,4.0,777,67.41351153614261,0.08676127610829164,-1.0,1.109793992729874,-34.851323912922176,20.97812097812098,13.184053651266797,-1.0,18,40.912483912483914,20.97812097812098,2.274254119058869
ACT5_ATR5,5.0,5.0,648,50.723190207280894,0.0782765280976557,-1.0,1.0966646511701723,-41.41498884121507,18.82716049382716,21.233957219251305,-1.0,20,46.089506172839506,19.1358024691358,2.496902549489692
ACT2_ATR4,2.0,4.0,1100,60.749442505346295,0.055226765913951176,-1.0,1.0838275356028642,-48.68821736164602,32.27272727272727,13.184053651266797,-1.0,21,29.30272727272727,34.909090909090914,1.9920009991257568
ACT2_ATR5,2.0,5.0,1055,23.89879477643752,0.022652886044016607,-1.0,1.0336889536622667,-60.45291821964095,29.66824644549763,21.233957219251305,-1.0,15,32.17630331753554,35.165876777251185,2.124324441075063
ACT4_ATR5,4.0,5.0,757,20.073875618180864,0.026517669244624655,-1.0,1.033562963273286,-59.287575748296916,20.739762219286657,21.233957219251305,-1.0,18,42.79920739762219,21.136063408190225,2.360202632232791
ACT3_ATR5,3.0,5.0,857,20.36722814701335,0.02376572712603658,-1.0,1.0321074896185416,-36.24688988385529,24.854142357059512,11.194858420268284,-1.0,18,39.92532088681447,26.487747957992998,2.243138432656472
