year,n,pnl_usd,avg_r,win_rate
2021,39,844.86,0.836874358974359,0.6410256410256411
2022,4,-87.06,-0.805125,0.0
2023,26,-205.35,-0.2957730769230769,0.34615384615384615
2024,61,1541.8,0.8999655737704918,0.6229508196721312
2025,38,-164.45999999999998,-0.14281052631578947,0.39473684210526316
2026,1,-29.82,-1.0,0.0
