tf,lookback_n,hold_bars,atr_mult,n,avg_r,total_r,win_rate,pf,y2019_n,y2019_total,y2019_avg,y2020_n,y2020_total,y2020_avg,y2021_n,y2021_total,y2021_avg,y2022_n,y2022_total,y2022_avg,y2023_n,y2023_total,y2023_avg,y2024_n,y2024_total,y2024_avg,y2025_n,y2025_total,y2025_avg,y2026_n,y2026_total,y2026_avg,y2022_positive,r2025_share,flag_2025_conc
4h,15,30,2.0,2047,0.2827611690954117,578.8121131383077,0.5163654127992183,1.6819564299157823,2,3.112080226051619,1.5560401130258095,68,8.37470140109182,0.12315737354546794,190,-60.254746913922475,-0.31713024691538144,173,73.90788907460356,0.42721323164510727,402,197.93633413454694,0.49237894063320137,628,184.05122391984696,0.2930751973245971,461,104.65577643697301,0.22701903782423646,123,67.02885485911621,0.5449500395050099,True,0.18081131002862308,False
4h,5,30,2.0,2275,0.27562155934958993,627.0390475203171,0.512087912087912,1.6552135810908237,2,3.112080226051619,1.5560401130258095,79,2.343241323418261,0.029661282574914696,201,-63.88500495609977,-0.3178358455527352,208,94.9696102110691,0.45658466447629376,466,194.5786634122045,0.41755077985451605,666,193.1027428111433,0.2899440582749899,511,130.46104662434533,0.25530537499871886,142,72.35666786818476,0.5095539990717236,True,0.208058887465247,False
4h,10,30,2.0,2131,0.26593856598810317,566.7150841206478,0.5110276865321446,1.6300067905493962,2,3.112080226051619,1.5560401130258095,71,7.806948259752444,0.10995701774299217,197,-62.76142200843062,-0.3185858985199524,182,70.72582760523133,0.3886034483803919,415,197.5834936658668,0.47610480401413685,646,174.08145926785053,0.2694759431390875,488,109.40851015062054,0.22419776670209127,130,66.75818695370518,0.5135245150285014,True,0.1930573461272624,False
4h,15,30,3.0,2008,0.2143311795745164,430.3770085856289,0.5742031872509961,1.7052959765745364,2,2.862825599199773,1.4314127995998864,67,0.5810962278792795,0.008673078028048948,190,-49.33550085454776,-0.2596605308134093,172,47.098887574557864,0.27383074171254573,383,169.6722187950489,0.44300840416461856,620,121.17862937624584,0.19544940221975135,451,90.90316727190623,0.2015591292060005,123,47.41568459533878,0.38549337069381123,True,0.21121752663007298,False
4h,5,30,3.0,2235,0.20153026087191117,450.4201330487215,0.5686800894854586,1.647330474866612,2,2.862825599199773,1.4314127995998864,78,-5.162128147125659,-0.06618113009135461,201,-52.488310897524016,-0.26113587511205977,206,59.095687534324284,0.28687226958409845,447,164.52057682067922,0.3680549817017432,658,123.81645271986002,0.18817090079006082,501,104.04489729514466,0.20767444569889154,142,53.73013212416316,0.3783812121419941,True,0.2309952190433953,False
4h,10,30,3.0,2093,0.19763918858014115,413.65882169823544,0.5671285236502628,1.6332447067637847,2,2.862825599199773,1.4314127995998864,70,0.005179488830519219,7.399269757884598e-05,197,-51.07258893241125,-0.2592517204690926,181,43.688546877789065,0.24137318717010534,397,168.72006078755095,0.4249875586588185,638,109.77307887323065,0.1720581173561609,478,93.02874805442974,0.19462081182935093,130,46.65297094961599,0.3588690073047384,True,0.2248924552666601,False
4h,15,10,2.0,2199,0.17654368255614522,388.21955794096334,0.5193269668030923,1.599662356073413,3,1.9440770008295043,0.6480256669431681,76,-2.1225851536870985,-0.027928752022198664,195,-39.592978533981665,-0.20304091555888032,184,40.60994834778968,0.2207062410205961,452,77.2847899371006,0.1709840485334084,664,205.6884816252789,0.3097718096766249,488,90.51155391297986,0.1854744957233194,137,13.89627080465353,0.10143263361060971,True,0.2331452706634218,False
4h,15,15,2.0,2152,0.16671361870784082,358.7677074592734,0.5106877323420075,1.4653279263506527,3,0.6175483764969878,0.20584945883232927,74,6.0140016168772465,0.0812702921199628,192,-31.669961927088433,-0.16494771837025227,182,57.21331020362483,0.3143588472726639,429,184.80077395159657,0.43077103485220647,659,53.695070562720275,0.08147962149122956,486,41.8443046622815,0.0860993923092212,127,46.25266001276448,0.3641941733288542,True,0.11663341987665259,False
4h,10,10,2.0,2291,0.16662821673949282,381.7452445501781,0.5159319074639895,1.560013937660724,3,1.9440770008295043,0.6480256669431681,79,0.188422217365128,0.002385091359052253,204,-41.83087408001856,-0.20505330431381646,194,40.60992749670095,0.20932952317887085,467,70.11783088521778,0.15014524814821795,683,203.23189141052148,0.2975576741003243,517,94.43291167746722,0.18265553515951105,144,13.051057942094623,0.09063234682010154,True,0.24737154692978655,False
4h,15,20,2.0,2127,0.1656868978397579,352.41603170516504,0.5143394452280207,1.4151720631981022,2,1.6157420161445848,0.8078710080722924,74,3.0095316361892426,0.04066934643498976,192,-49.37235574200862,-0.2571476861562949,180,62.13163830791733,0.3451757683773185,429,139.6619109155399,0.3255522398963634,653,103.83364141415083,0.15901017061891398,471,33.55030770824182,0.0712320758136769,126,57.985615448989975,0.46020329721420616,True,0.09520085549431065,False
