consec_n,hold_bars,atr_mult,filter_mode,num_trades,win_rate,avg_r,pf,max_dd_r,total_r
6,20,2.0,none,424,0.3703,-0.1033,0.8305,50.53,-43.8
6,20,2.0,ema200_price_above,241,0.332,-0.2014,0.6896,54.89,-48.55
6,20,2.0,ema200_price_below,200,0.415,0.0267,1.0473,11.76,5.35
6,20,3.0,none,407,0.4472,-0.1191,0.7666,52.09,-48.49
6,20,3.0,ema200_price_above,232,0.4052,-0.1956,0.6421,50.23,-45.37
6,20,3.0,ema200_price_below,193,0.487,-0.0293,0.9377,13.64,-5.66
7,5,2.0,none,206,0.4903,-0.1058,0.7129,23.05,-21.8
7,5,2.0,ema200_price_above,120,0.4917,-0.0916,0.7517,13.84,-10.99
7,5,2.0,ema200_price_below,92,0.5109,-0.0837,0.7643,9.63,-7.7
7,5,3.0,none,203,0.5172,-0.067,0.7339,17.52,-13.59
7,5,3.0,ema200_price_above,118,0.5,-0.0911,0.6735,11.97,-10.75
7,5,3.0,ema200_price_below,91,0.5604,-0.0121,0.9424,6.18,-1.1
7,10,2.0,none,206,0.432,-0.1228,0.7527,33.75,-25.31
7,10,2.0,ema200_price_above,120,0.475,-0.0436,0.9059,16.04,-5.24
7,10,2.0,ema200_price_below,92,0.3804,-0.2069,0.6101,20.78,-19.04
7,10,3.0,none,201,0.4975,-0.0991,0.7429,26.73,-19.92
7,10,3.0,ema200_price_above,117,0.5299,-0.0636,0.828,14.54,-7.44
7,10,3.0,ema200_price_below,90,0.4556,-0.1384,0.6569,14.4,-12.46
7,15,2.0,none,206,0.3544,-0.1514,0.7488,42.37,-31.19
7,15,2.0,ema200_price_above,120,0.3417,-0.1883,0.691,30.82,-22.59
7,15,2.0,ema200_price_below,92,0.3696,-0.103,0.8231,15.72,-9.48
7,15,3.0,none,201,0.408,-0.1644,0.6749,41.22,-33.05
7,15,3.0,ema200_price_above,117,0.3932,-0.2102,0.592,30.52,-24.6
7,15,3.0,ema200_price_below,90,0.4222,-0.1078,0.7781,14.33,-9.7
7,20,2.0,none,206,0.3058,-0.2788,0.5834,62.9,-57.44
7,20,2.0,ema200_price_above,120,0.2917,-0.2598,0.6197,38.79,-31.17
7,20,2.0,ema200_price_below,92,0.337,-0.2792,0.5639,25.24,-25.69
7,20,3.0,none,201,0.3582,-0.275,0.5211,60.28,-55.27
7,20,3.0,ema200_price_above,117,0.3333,-0.2723,0.5352,37.45,-31.85
7,20,3.0,ema200_price_below,90,0.4,-0.2671,0.5181,24.0,-24.03
