timeframe,side,removed_top_assets_n,removed_assets,assets_remaining,trades,total_r,avg_r,median_r,win_rate,profit_factor,max_dd_r,best_trade_r,worst_trade_r,losing_streak,std_r,t_score
1d,ALL,0,,60,223,348.6367417512716,1.563393460768034,-0.5322039504079376,0.35874439461883406,3.9898817759229663,-52.13206940161988,315.5776370107389,-1.0504699339161827,23,22.567651309451847,1.0345092057510221
1d,ALL,1,BTC/USDT,59,218,-81.60149747507543,-0.37431879575722676,-0.5213351062220883,0.3577981651376147,0.2835836869673423,-81.53400898402685,7.919553054950002,-1.0504699339161827,22,0.9903326794968184,-5.580701214750587
1d,ALL,3,"BTC/USDT,BCH/USDT,ETH/USDT",57,210,-95.7822374866661,-0.4561058927936481,-0.5213351062220883,0.3523809523809524,0.12790558899386972,-95.71474899561754,4.708626967359756,-1.0504699339161827,21,0.6476484079037458,-10.205540919992767
1d,ALL,5,"BTC/USDT,BCH/USDT,ETH/USDT,AAVE/USDT,1MBABYDOGE/USDT",55,204,-100.48026781096726,-0.49255033240670226,-0.5431836194758655,0.3431372549019608,0.07198293905281515,-100.4127793199187,1.7666477798383804,-1.0504699339161827,27,0.5308105365486949,-13.25336519959893
1d,ALL,10,"BTC/USDT,BCH/USDT,ETH/USDT,AAVE/USDT,1MBABYDOGE/USDT,AMP/USDT,ACT/USDT,ALCX/USDT,ANKR/USDT,AUCTION/USDT",50,191,-98.88370622282929,-0.5177157393865408,-0.6358870217173574,0.3193717277486911,0.06466992747943186,-98.81621773178075,1.7666477798383804,-1.0504699339161827,26,0.5288296992121433,-13.529826105952658
1d,LONG,0,,60,223,348.6367417512716,1.563393460768034,-0.5322039504079376,0.35874439461883406,3.9898817759229663,-52.13206940161988,315.5776370107389,-1.0504699339161827,23,22.567651309451847,1.0345092057510221
1d,LONG,1,BTC/USDT,59,218,-81.60149747507543,-0.37431879575722676,-0.5213351062220883,0.3577981651376147,0.2835836869673423,-81.53400898402685,7.919553054950002,-1.0504699339161827,22,0.9903326794968184,-5.580701214750587
1d,LONG,3,"BTC/USDT,BCH/USDT,ETH/USDT",57,210,-95.7822374866661,-0.4561058927936481,-0.5213351062220883,0.3523809523809524,0.12790558899386972,-95.71474899561754,4.708626967359756,-1.0504699339161827,21,0.6476484079037458,-10.205540919992767
1d,LONG,5,"BTC/USDT,BCH/USDT,ETH/USDT,AAVE/USDT,1MBABYDOGE/USDT",55,204,-100.48026781096726,-0.49255033240670226,-0.5431836194758655,0.3431372549019608,0.07198293905281515,-100.4127793199187,1.7666477798383804,-1.0504699339161827,27,0.5308105365486949,-13.25336519959893
1d,LONG,10,"BTC/USDT,BCH/USDT,ETH/USDT,AAVE/USDT,1MBABYDOGE/USDT,AMP/USDT,ACT/USDT,ALCX/USDT,ANKR/USDT,AUCTION/USDT",50,191,-98.88370622282929,-0.5177157393865408,-0.6358870217173574,0.3193717277486911,0.06466992747943186,-98.81621773178075,1.7666477798383804,-1.0504699339161827,26,0.5288296992121433,-13.529826105952658
ALL_TF,ALL,0,,60,223,348.6367417512716,1.563393460768034,-0.5322039504079376,0.35874439461883406,3.9898817759229663,-52.13206940161988,315.5776370107389,-1.0504699339161827,23,22.567651309451847,1.0345092057510221
ALL_TF,ALL,1,BTC/USDT,59,218,-81.60149747507543,-0.37431879575722676,-0.5213351062220883,0.3577981651376147,0.2835836869673423,-81.53400898402685,7.919553054950002,-1.0504699339161827,22,0.9903326794968184,-5.580701214750587
ALL_TF,ALL,3,"BTC/USDT,BCH/USDT,ETH/USDT",57,210,-95.7822374866661,-0.4561058927936481,-0.5213351062220883,0.3523809523809524,0.12790558899386972,-95.71474899561754,4.708626967359756,-1.0504699339161827,21,0.6476484079037458,-10.205540919992767
ALL_TF,ALL,5,"BTC/USDT,BCH/USDT,ETH/USDT,AAVE/USDT,1MBABYDOGE/USDT",55,204,-100.48026781096726,-0.49255033240670226,-0.5431836194758655,0.3431372549019608,0.07198293905281515,-100.4127793199187,1.7666477798383804,-1.0504699339161827,27,0.5308105365486949,-13.25336519959893
ALL_TF,ALL,10,"BTC/USDT,BCH/USDT,ETH/USDT,AAVE/USDT,1MBABYDOGE/USDT,AMP/USDT,ACT/USDT,ALCX/USDT,ANKR/USDT,AUCTION/USDT",50,191,-98.88370622282929,-0.5177157393865408,-0.6358870217173574,0.3193717277486911,0.06466992747943186,-98.81621773178075,1.7666477798383804,-1.0504699339161827,26,0.5288296992121433,-13.529826105952658
