timeframe,side,split,start,end,assets,trades,total_r,avg_r,median_r,win_rate,profit_factor,max_dd_r,best_trade_r,worst_trade_r,losing_streak,std_r,t_score
1d,ALL,first_half_by_trade_count,2023-09-02 00:00:00+00:00,2024-08-04 00:00:00+00:00,52,111,86.20786318345682,0.7766474160671786,-0.1839718336716403,0.45045045045045046,2.89453631489016,-20.77696664880304,117.36378555488253,-1.0395977848816147,17,11.207406015150399,0.7300965319423869
1d,ALL,second_half_by_trade_count,2024-08-05 00:00:00+00:00,2026-05-15 00:00:00+00:00,55,112,262.42887856781465,2.3431149872126307,-1.0054566370744722,0.26785714285714285,4.690872910846168,-30.304632818900675,315.5776370107389,-1.0504699339161827,23,29.88128167644846,0.8298572486305383
1d,ALL,last_100_trades,2024-11-11 00:00:00+00:00,2026-05-15 00:00:00+00:00,53,100,271.58636129321076,2.7158636129321074,-0.9366367959129738,0.27,5.387277034196563,-27.78251501635617,315.5776370107389,-1.0470547768153162,23,31.61939139297268,0.8589234306184971
1d,ALL,last_200_trades,2023-10-10 00:00:00+00:00,2026-05-15 00:00:00+00:00,60,200,360.6847703288927,1.8034238516444634,-0.5431836194758655,0.39,4.451153052215946,-52.13206940161987,315.5776370107389,-1.0504699339161827,23,23.82409831220552,1.070523818480087
1d,ALL,first_half_by_time,2023-09-02 00:00:00+00:00,2024-08-05 00:00:00+00:00,52,113,84.14146749861739,0.7446147566249326,-0.2011744490592276,0.4424778761061947,2.768799889603961,-22.843362333642446,117.36378555488253,-1.0504699339161827,17,11.10947559791031,0.7124875848078587
1d,ALL,second_half_by_time,2024-08-28 00:00:00+00:00,2026-05-15 00:00:00+00:00,55,110,264.4952742526541,2.4045024932059462,-1.0044375954087468,0.2727272727272727,4.831281373556619,-28.302884628387943,315.5776370107389,-1.0470547768153162,23,30.15064414293266,0.8364210987886019
1d,LONG,first_half_by_trade_count,2023-09-02 00:00:00+00:00,2024-08-04 00:00:00+00:00,52,111,86.20786318345682,0.7766474160671786,-0.1839718336716403,0.45045045045045046,2.89453631489016,-20.77696664880304,117.36378555488253,-1.0395977848816147,17,11.207406015150399,0.7300965319423869
1d,LONG,second_half_by_trade_count,2024-08-05 00:00:00+00:00,2026-05-15 00:00:00+00:00,55,112,262.42887856781465,2.3431149872126307,-1.0054566370744722,0.26785714285714285,4.690872910846168,-30.304632818900675,315.5776370107389,-1.0504699339161827,23,29.88128167644846,0.8298572486305383
1d,LONG,last_100_trades,2024-11-11 00:00:00+00:00,2026-05-15 00:00:00+00:00,53,100,271.58636129321076,2.7158636129321074,-0.9366367959129738,0.27,5.387277034196563,-27.78251501635617,315.5776370107389,-1.0470547768153162,23,31.61939139297268,0.8589234306184971
1d,LONG,last_200_trades,2023-10-10 00:00:00+00:00,2026-05-15 00:00:00+00:00,60,200,360.6847703288927,1.8034238516444634,-0.5431836194758655,0.39,4.451153052215946,-52.13206940161987,315.5776370107389,-1.0504699339161827,23,23.82409831220552,1.070523818480087
1d,LONG,first_half_by_time,2023-09-02 00:00:00+00:00,2024-08-05 00:00:00+00:00,52,113,84.14146749861739,0.7446147566249326,-0.2011744490592276,0.4424778761061947,2.768799889603961,-22.843362333642446,117.36378555488253,-1.0504699339161827,17,11.10947559791031,0.7124875848078587
1d,LONG,second_half_by_time,2024-08-28 00:00:00+00:00,2026-05-15 00:00:00+00:00,55,110,264.4952742526541,2.4045024932059462,-1.0044375954087468,0.2727272727272727,4.831281373556619,-28.302884628387943,315.5776370107389,-1.0470547768153162,23,30.15064414293266,0.8364210987886019
ALL_TF,ALL,first_half_by_trade_count,2023-09-02 00:00:00+00:00,2024-08-04 00:00:00+00:00,52,111,86.20786318345682,0.7766474160671786,-0.1839718336716403,0.45045045045045046,2.89453631489016,-20.77696664880304,117.36378555488253,-1.0395977848816147,17,11.207406015150399,0.7300965319423869
ALL_TF,ALL,second_half_by_trade_count,2024-08-05 00:00:00+00:00,2026-05-15 00:00:00+00:00,55,112,262.42887856781465,2.3431149872126307,-1.0054566370744722,0.26785714285714285,4.690872910846168,-30.304632818900675,315.5776370107389,-1.0504699339161827,23,29.88128167644846,0.8298572486305383
ALL_TF,ALL,last_100_trades,2024-11-11 00:00:00+00:00,2026-05-15 00:00:00+00:00,53,100,271.58636129321076,2.7158636129321074,-0.9366367959129738,0.27,5.387277034196563,-27.78251501635617,315.5776370107389,-1.0470547768153162,23,31.61939139297268,0.8589234306184971
ALL_TF,ALL,last_200_trades,2023-10-10 00:00:00+00:00,2026-05-15 00:00:00+00:00,60,200,360.6847703288927,1.8034238516444634,-0.5431836194758655,0.39,4.451153052215946,-52.13206940161987,315.5776370107389,-1.0504699339161827,23,23.82409831220552,1.070523818480087
ALL_TF,ALL,first_half_by_time,2023-09-02 00:00:00+00:00,2024-08-05 00:00:00+00:00,52,113,84.14146749861739,0.7446147566249326,-0.2011744490592276,0.4424778761061947,2.768799889603961,-22.843362333642446,117.36378555488253,-1.0504699339161827,17,11.10947559791031,0.7124875848078587
ALL_TF,ALL,second_half_by_time,2024-08-28 00:00:00+00:00,2026-05-15 00:00:00+00:00,55,110,264.4952742526541,2.4045024932059462,-1.0044375954087468,0.2727272727272727,4.831281373556619,-28.302884628387943,315.5776370107389,-1.0470547768153162,23,30.15064414293266,0.8364210987886019
