exit_date,symbol,entry_date,bars_held,gross_r,pnl_usdt,equity,dd_pct,exit_reason
2026-08-04,DUSDT,2026-07-10,25,0.0,0.0,10000.0,0.0,time_exit_25bars_data_gap_proxy
2026-08-04,HIGHUSDT,2026-07-10,25,0.0,0.0,10000.0,0.0,time_exit_25bars_data_gap_proxy
2026-06-30,SPELLUSDT,2026-06-24,6,-1.0,-19.6875,9980.3125,-0.1969,safety_stop
2026-07-14,AVAXUSDT,2026-06-19,25,0.965125,19.0009,9999.3134,-0.0069,time_exit_25bars_data_gap_proxy
2026-07-19,DOGEUSDT,2026-06-24,25,-0.453351,-8.9253,9990.3881,-0.0961,time_exit_25bars
2026-07-20,1000PEPEUSDT,2026-06-25,25,1.60267,31.5526,10021.9407,0.0,time_exit_25bars
2026-07-20,EGLDUSDT,2026-06-25,25,1.809221,35.619,10057.5597,0.0,time_exit_25bars
2026-07-20,IOTAUSDT,2026-06-25,25,-0.244457,-4.8127,10052.747,-0.0479,time_exit_25bars
2026-07-20,SUSDT,2026-06-25,25,0.934362,18.3953,10071.1423,0.0,time_exit_25bars
2026-07-21,1000SHIBUSDT,2026-06-26,25,0.042236,0.8315,10071.9738,0.0,time_exit_25bars
2026-07-21,NEOUSDT,2026-06-26,25,0.461382,9.0835,10081.0573,0.0,time_exit_25bars
2026-07-23,DOTUSDT,2026-06-28,25,0.030559,0.6016,10081.6589,0.0,time_exit_25bars
2026-07-24,CHZUSDT,2026-06-29,25,-0.804455,-15.8377,10065.8212,-0.1571,time_exit_25bars
2026-08-14,ZILUSDT,2026-07-20,25,-0.469034,-9.2998,10056.5214,-0.2493,time_exit_25bars
2026-08-17,IOSTUSDT,2026-07-29,19,-1.0,-19.8171,10036.7043,-0.4459,safety_stop
2026-08-18,CHZUSDT,2026-07-24,25,-1.0,-19.8171,10016.8872,-0.6425,safety_stop
2026-08-18,STXUSDT,2026-07-25,24,-1.0,-19.8171,9997.0701,-0.839,safety_stop
2026-08-23,AXSUSDT,2026-07-29,25,2.284022,45.2627,10042.3328,-0.3901,time_exit_25bars
2026-08-23,CELRUSDT,2026-07-29,25,4.50466,89.2692,10131.602,0.0,time_exit_25bars
2026-08-23,ZETAUSDT,2026-07-29,25,1.484604,29.4205,10161.0225,0.0,time_exit_25bars
2026-08-26,FIDAUSDT,2026-07-30,27,1.095886,21.5753,10182.5978,0.0,time_exit_25bars
2026-08-26,ATOMUSDT,2026-07-30,27,2.070689,41.035,10223.6328,0.0,time_exit_25bars
2026-08-26,GRTUSDT,2026-07-31,26,2.382984,47.2238,10270.8566,0.0,time_exit_25bars
2026-08-29,KAVAUSDT,2026-08-04,25,1.979787,39.2336,10310.0902,0.0,time_exit_25bars
