timeframe,wr_n,oversold,hold_bars,atr_mult,filter_mode,num_trades,win_rate,avg_r,pf,max_dd_r,total_r
1d,5,-70,10,2.0,none,6123,0.4475,-0.0033,0.9912,86.11,-20.41
1d,5,-70,10,2.0,ema200_price_above,1739,0.4658,0.0584,1.1632,25.78,101.6
1d,5,-70,10,3.0,none,5728,0.4654,0.0017,1.0064,40.81,9.77
1d,5,-70,10,3.0,ema200_price_above,1684,0.4757,0.0338,1.136,17.47,56.96
1d,5,-70,15,2.0,none,4845,0.4178,0.0229,1.0518,57.28,110.81
1d,5,-70,15,2.0,ema200_price_above,1406,0.4367,0.1434,1.3384,16.5,201.56
1d,5,-70,15,3.0,none,4398,0.4432,0.0225,1.0707,35.51,98.91
1d,5,-70,15,3.0,ema200_price_above,1333,0.4576,0.0995,1.3303,11.65,132.65
1d,5,-70,20,2.0,none,4135,0.3937,0.0712,1.1448,46.29,294.4
1d,5,-70,20,2.0,ema200_price_above,1221,0.4111,0.25,1.5336,15.43,305.22
1d,5,-70,20,3.0,none,3624,0.4252,0.0465,1.1293,38.64,168.64
1d,5,-70,20,3.0,ema200_price_above,1136,0.4463,0.158,1.4659,11.84,179.46
1d,5,-70,25,2.0,none,3602,0.3834,0.1295,1.2558,28.31,466.6
1d,5,-70,25,2.0,ema200_price_above,1079,0.4041,0.248,1.5037,15.28,267.56
1d,5,-70,25,3.0,none,3113,0.4237,0.0752,1.1946,21.0,234.14
1d,5,-70,25,3.0,ema200_price_above,994,0.4517,0.1904,1.5257,7.83,189.27
1d,5,-75,10,2.0,none,5678,0.4486,0.0024,1.0064,78.43,13.88
1d,5,-75,10,2.0,ema200_price_above,1552,0.4633,0.0401,1.1115,19.66,62.26
1d,5,-75,10,3.0,none,5303,0.4635,0.0007,1.0025,44.83,3.64
1d,5,-75,10,3.0,ema200_price_above,1504,0.4741,0.0236,1.0954,12.93,35.52
1d,5,-75,15,2.0,none,4536,0.4158,0.0133,1.0303,67.89,60.34
1d,5,-75,15,2.0,ema200_price_above,1269,0.4326,0.1282,1.3059,13.34,162.68
1d,5,-75,15,3.0,none,4130,0.4322,0.0005,1.0016,49.24,2.14
1d,5,-75,15,3.0,ema200_price_above,1217,0.4528,0.0788,1.2682,9.45,95.94
1d,5,-75,20,2.0,none,3875,0.3912,0.0578,1.1184,55.11,224.03
1d,5,-75,20,2.0,ema200_price_above,1113,0.4169,0.2457,1.5377,14.59,273.47
1d,5,-75,20,3.0,none,3447,0.4212,0.043,1.121,26.61,148.17
1d,5,-75,20,3.0,ema200_price_above,1044,0.4559,0.1571,1.4911,12.5,163.97
