timeframe,wr_n,oversold,hold_bars,atr_mult,filter_mode,num_trades,win_rate,avg_r,pf,max_dd_r,total_r,stability
1d,10,-90,10,2.0,ema200_price_above,582,0.5052,0.1177,1.3739,7.37,68.49,1.0
1d,7,-90,10,2.0,ema200_price_above,694,0.5101,0.1029,1.3354,7.44,71.45,1.0
1d,14,-90,10,2.0,ema200_price_above,478,0.5105,0.1326,1.4102,13.52,63.36,0.7083
