timeframe,wr_n,oversold,hold_bars,atr_mult,filter_mode,num_trades,win_rate,avg_r,pf,max_dd_r,total_r
2h,5,-70,10,2.0,none,53733,0.4523,-0.0196,0.9508,1087.91,-1054.35
2h,5,-70,10,2.0,ema200_price_above,20393,0.4484,0.0047,1.0125,93.61,95.97
2h,5,-70,10,3.0,none,49633,0.4773,-0.0144,0.9484,737.73,-713.79
2h,5,-70,10,3.0,ema200_price_above,19422,0.4682,0.0031,1.0119,65.42,59.62
2h,5,-70,15,2.0,none,44123,0.4292,-0.0085,0.9818,480.64,-374.26
2h,5,-70,15,2.0,ema200_price_above,16737,0.4312,0.0365,1.0824,59.53,610.75
2h,5,-70,15,3.0,none,39386,0.4726,-0.0018,0.9947,226.65,-69.4
2h,5,-70,15,3.0,ema200_price_above,15608,0.4681,0.0313,1.1002,31.12,488.09
2h,5,-70,20,2.0,none,37713,0.4028,-0.0165,0.9681,754.48,-622.02
2h,5,-70,20,2.0,ema200_price_above,14396,0.4112,0.0461,1.0928,102.9,664.0
2h,5,-70,20,3.0,none,32880,0.4567,-0.0104,0.9726,398.41,-342.21
2h,5,-70,20,3.0,ema200_price_above,13191,0.4619,0.0389,1.1093,64.65,513.07
2h,5,-70,25,2.0,none,33452,0.3762,-0.014,0.9749,636.31,-468.69
2h,5,-70,25,2.0,ema200_price_above,12753,0.3849,0.0559,1.1042,90.61,712.89
2h,5,-70,25,3.0,none,28559,0.4423,-0.003,0.9928,236.64,-86.93
2h,5,-70,25,3.0,ema200_price_above,11531,0.4474,0.0492,1.124,60.24,567.27
2h,5,-75,10,2.0,none,49663,0.4536,-0.0183,0.9541,965.66,-906.85
2h,5,-75,10,2.0,ema200_price_above,18492,0.4508,0.0081,1.0218,90.01,150.36
2h,5,-75,10,3.0,none,46031,0.4783,-0.016,0.9427,767.85,-736.61
2h,5,-75,10,3.0,ema200_price_above,17756,0.4698,0.0046,1.0177,64.77,81.21
2h,5,-75,15,2.0,none,41237,0.4314,-0.0048,0.9898,265.88,-195.96
2h,5,-75,15,2.0,ema200_price_above,15411,0.4355,0.0406,1.0922,54.84,625.73
2h,5,-75,15,3.0,none,37117,0.4734,-0.0021,0.9937,192.37,-77.31
2h,5,-75,15,3.0,ema200_price_above,14465,0.4713,0.0308,1.0993,35.52,445.28
2h,5,-75,20,2.0,none,35552,0.4035,-0.0151,0.9708,581.92,-535.64
2h,5,-75,20,2.0,ema200_price_above,13366,0.4148,0.0455,1.0922,95.04,607.82
2h,5,-75,20,3.0,none,31324,0.4587,-0.0106,0.9722,383.59,-331.87
2h,5,-75,20,3.0,ema200_price_above,12364,0.4653,0.0346,1.0971,67.19,428.18
2h,5,-75,25,2.0,none,31725,0.3753,-0.016,0.9714,652.96,-506.6
2h,5,-75,25,2.0,ema200_price_above,11945,0.3859,0.0603,1.1125,82.76,720.38
2h,5,-75,25,3.0,none,27297,0.4429,-0.0063,0.985,258.13,-171.54
2h,5,-75,25,3.0,ema200_price_above,10857,0.4486,0.0477,1.1204,65.04,518.36
2h,5,-80,10,2.0,none,44549,0.4539,-0.0167,0.958,812.62,-744.65
2h,5,-80,10,2.0,ema200_price_above,16255,0.4519,0.0091,1.0245,72.77,147.66
2h,5,-80,10,3.0,none,41659,0.48,-0.0138,0.9502,605.86,-576.69
2h,5,-80,10,3.0,ema200_price_above,15738,0.4703,0.0066,1.026,62.01,104.27
2h,5,-80,15,2.0,none,37677,0.4317,-0.0011,0.9977,238.62,-39.61
2h,5,-80,15,2.0,ema200_price_above,13781,0.4388,0.0487,1.1118,41.9,671.05
2h,5,-80,15,3.0,none,34224,0.475,-0.0011,0.9967,166.64,-37.1
2h,5,-80,15,3.0,ema200_price_above,13048,0.4729,0.0321,1.1039,35.92,418.86
2h,5,-80,20,2.0,none,32844,0.4041,-0.0153,0.9703,531.99,-504.04
2h,5,-80,20,2.0,ema200_price_above,12124,0.4164,0.0566,1.1157,58.66,686.32
2h,5,-80,20,3.0,none,29198,0.4604,-0.01,0.9737,319.59,-293.1
2h,5,-80,20,3.0,ema200_price_above,11324,0.4686,0.039,1.1092,51.24,441.43
2h,5,-80,25,2.0,none,29513,0.378,-0.0163,0.9706,543.1,-482.37
2h,5,-80,25,2.0,ema200_price_above,10891,0.3898,0.0622,1.1168,72.49,677.53
2h,5,-80,25,3.0,none,25695,0.4451,-0.0044,0.9895,169.17,-112.43
2h,5,-80,25,3.0,ema200_price_above,10013,0.4524,0.0519,1.1321,57.19,519.44
2h,5,-85,10,2.0,none,37950,0.4562,-0.0112,0.9716,550.06,-425.7
2h,5,-85,10,2.0,ema200_price_above,13469,0.4524,0.0154,1.0419,53.85,207.72
2h,5,-85,10,3.0,none,35916,0.4817,-0.0099,0.9642,396.03,-355.74
2h,5,-85,10,3.0,ema200_price_above,13133,0.4704,0.0105,1.0416,37.19,138.35
2h,5,-85,15,2.0,none,32801,0.4345,0.0086,1.0187,190.96,282.73
2h,5,-85,15,2.0,ema200_price_above,11679,0.4416,0.0513,1.1187,36.66,599.11
2h,5,-85,15,3.0,none,30212,0.4783,0.002,1.0062,111.59,61.87
2h,5,-85,15,3.0,ema200_price_above,11178,0.4776,0.0353,1.1152,24.91,394.7
2h,5,-85,20,2.0,none,29084,0.4036,-0.0068,0.9869,334.66,-196.44
2h,5,-85,20,2.0,ema200_price_above,10458,0.4178,0.0659,1.1353,39.86,689.04
2h,5,-85,20,3.0,none,26203,0.4611,-0.004,0.9894,179.2,-105.24
2h,5,-85,20,3.0,ema200_price_above,9889,0.4676,0.0425,1.1196,34.24,420.69
2h,5,-85,25,2.0,none,26284,0.3805,-0.0122,0.978,465.87,-319.48
2h,5,-85,25,2.0,ema200_price_above,9476,0.391,0.0584,1.1109,53.63,553.57
2h,5,-85,25,3.0,none,23247,0.4464,-0.0014,0.9967,200.53,-31.75
2h,5,-85,25,3.0,ema200_price_above,8816,0.451,0.0413,1.1056,47.18,364.28
2h,5,-90,10,2.0,none,28892,0.4603,-0.0011,0.9973,191.05,-30.81
2h,5,-90,10,2.0,ema200_price_above,9938,0.4598,0.0191,1.0526,50.7,189.82
2h,5,-90,10,3.0,none,27731,0.4879,-0.0025,0.991,144.65,-68.13
2h,5,-90,10,3.0,ema200_price_above,9760,0.4779,0.0132,1.0531,37.35,128.66
2h,5,-90,15,2.0,none,25768,0.4387,0.0167,1.0364,132.06,431.19
2h,5,-90,15,2.0,ema200_price_above,8903,0.4467,0.0518,1.1205,50.27,460.77
2h,5,-90,15,3.0,none,24175,0.4845,0.0105,1.0317,74.02,252.66
2h,5,-90,15,3.0,ema200_price_above,8627,0.4851,0.0368,1.1213,37.0,317.55
2h,5,-90,20,2.0,none,23381,0.4076,0.003,1.0058,137.55,69.47
2h,5,-90,20,2.0,ema200_price_above,8139,0.418,0.0611,1.1267,35.9,496.94
2h,5,-90,20,3.0,none,21503,0.4657,0.0034,1.0089,91.43,72.06
