symbol,n,win_rate,avg_r,pf,max_dd_r,total_r,avg_bars
SOL_USDT,2,1.0,2.0202999999999998,99.0,0.0,4.0405999999999995,15.0
GRT_USDT,2,1.0,1.97045,99.0,0.0,3.9409,15.0
SUI_USDT,2,1.0,1.8527999999999998,99.0,0.0,3.7055999999999996,15.0
ETH_USDT,2,1.0,1.63495,99.0,0.0,3.2699,15.0
SEI_USDT,2,1.0,1.3846,99.0,0.0,2.7692,15.0
AVAX_USDT,2,1.0,1.2248999999999999,99.0,0.0,2.4497999999999998,15.0
ARKM_USDT,1,1.0,2.25,99.0,0.0,2.25,15.0
LINK_USDT,2,1.0,1.0315,99.0,0.0,2.063,15.0
FIL_USDT,3,0.6666666666666666,0.6477,2.9431000000000003,1.0,1.9431000000000003,11.0
ONDO_USDT,4,0.5,0.45995,1.9199000000000002,1.0,1.8398,9.0
UNI_USDT,1,1.0,1.8282,99.0,0.0,1.8282,15.0
FET_USDT,4,0.5,0.453925,1.90785,1.0,1.8157,8.75
DOT_USDT,4,0.75,0.440925,2.7637,1.0,1.7637,11.75
LPT_USDT,1,1.0,1.7545,99.0,0.0,1.7545,15.0
NEAR_USDT,3,0.6666666666666666,0.5558666666666667,2.6676,1.0,1.6676000000000002,10.333333333333334
LTC_USDT,2,1.0,0.7938500000000001,99.0,0.0,1.5877000000000001,15.0
AAVE_USDT,4,0.25,0.36322500000000013,1.5443815804263932,1.0,1.4529000000000005,9.25
ORDI_USDT,1,1.0,1.433,99.0,0.0,1.433,15.0
ZEN_USDT,1,1.0,1.2284,99.0,0.0,1.2284,15.0
PENDLE_USDT,3,0.6666666666666666,0.36446666666666666,2.0934,0.0,1.0934,10.666666666666666
BNB_USDT,1,1.0,1.0768,99.0,0.0,1.0768,15.0
NIL_USDT,3,0.6666666666666666,0.35779999999999995,2.0734,1.0,1.0734,10.333333333333334
ALT_USDT,1,1.0,0.8799,99.0,0.0,0.8799,15.0
CHZ_USDT,1,1.0,0.8184,99.0,0.0,0.8184,15.0
ARB_USDT,4,0.5,0.1513,1.3026,1.0,0.6052,12.25
ENA_USDT,6,0.5,0.09583333333333333,1.1916666666666667,1.0,0.575,11.0
JTO_USDT,2,1.0,0.2234,99.0,0.0,0.4468,15.0
ICP_USDT,2,0.5,0.19345,1.3869,1.0,0.3869,12.0
TON_USDT,3,0.6666666666666666,0.09486666666666665,1.2846,0.0,0.28459999999999996,12.333333333333334
ZEC_USDT,3,0.3333333333333333,0.07473333333333339,1.1121,2.0,0.22420000000000018,8.333333333333334
APT_USDT,2,0.5,-0.012799999999999978,0.9744,0.0,-0.025599999999999956,8.0
INJ_USDT,4,0.5,-0.03310000000000002,0.9338,2.0,-0.13240000000000007,10.75
PEPE_USDT,2,0.5,-0.06924999999999998,0.8615,0.0,-0.13849999999999996,8.0
SAGA_USDT,1,0.0,-0.3555,0.0,0.0,-0.3555,15.0
DOGE_USDT,3,0.3333333333333333,-0.11989999999999996,0.82015,1.0,-0.3596999999999999,6.333333333333333
EIGEN_USDT,2,0.5,-0.2879,0.4242,0.0,-0.5758,8.5
TIA_USDT,2,0.5,-0.33255,0.3349,1.0,-0.6651,8.0
RENDER_USDT,2,0.5,-0.43,0.14,0.0,-0.86,8.5
ADA_USDT,3,0.3333333333333333,-0.2955666666666667,0.55665,1.0,-0.8867,6.333333333333333
BTC_USDT,1,0.0,-1.0,0.0,0.0,-1.0,3.0
XRP_USDT,1,0.0,-1.0,0.0,0.0,-1.0,3.0
DASH_USDT,1,0.0,-1.0,0.0,0.0,-1.0,4.0
ATOM_USDT,1,0.0,-1.0,0.0,0.0,-1.0,6.0
MORPHO_USDT,1,0.0,-1.0,0.0,0.0,-1.0,6.0
ASTER_USDT,2,0.0,-0.7169,0.0,0.43379999999999996,-1.4338,13.5
PENGU_USDT,4,0.25,-0.440975,0.4120333333333333,1.0,-1.7639,4.75
WLD_USDT,5,0.2,-0.5583,0.302125,3.0,-2.7915,9.6
TAO_USDT,4,0.0,-1.0,0.0,3.0,-4.0,4.5
