symbol,entry_time,exit_time,entry_price,exit_price,stop_loss,net_r,win,bars_held,exit_reason,year,rsi_at_entry,ema200_at_entry
DOT_USDT,2025-12-27 20:00:00,2025-12-30 08:00:00,1.91,1.824,1.99914286,0.9647,1,15,time_exit,2025,79.82,1.91444
ETH_USDT,2025-12-29 00:00:00,2025-12-31 12:00:00,3043.75,2985.76,3093.12857143,1.1744,1,15,time_exit,2025,75.96,3050.606225
RENDER_USDT,2026-01-01 16:00:00,2026-01-02 00:00:00,1.359,1.397,1.397,-1.0,0,2,atr_stop,2026,76.66,1.391671
SAGA_USDT,2026-01-01 20:00:00,2026-01-04 08:00:00,0.0613,0.0626,0.06495714,-0.3555,0,15,time_exit,2026,77.39,0.061533
WLD_USDT,2026-01-02 00:00:00,2026-01-02 16:00:00,0.5265,0.54642857,0.54642857,-1.0,0,4,atr_stop,2026,75.98,0.529925
TAO_USDT,2026-01-02 00:00:00,2026-01-02 08:00:00,236.9,245.3,245.3,-1.0,0,2,atr_stop,2026,78.04,245.53727
ENA_USDT,2026-01-02 00:00:00,2026-01-02 12:00:00,0.221,0.23004286,0.23004286,-1.0,0,3,atr_stop,2026,75.34,0.22179
PENGU_USDT,2026-01-02 04:00:00,2026-01-02 08:00:00,0.009677,0.01011143,0.01011143,-1.0,0,1,atr_stop,2026,75.28,0.009796
ONDO_USDT,2026-01-02 12:00:00,2026-01-02 20:00:00,0.4075,0.42521429,0.42521429,-1.0,0,2,atr_stop,2026,77.6,0.411517
ASTER_USDT,2026-01-02 12:00:00,2026-01-04 12:00:00,0.75,0.77714286,0.77714286,-1.0,0,12,atr_stop,2026,83.75,0.782487
TAO_USDT,2026-01-02 12:00:00,2026-01-03 00:00:00,240.0,250.5,250.5,-1.0,0,3,atr_stop,2026,78.64,245.360042
AAVE_USDT,2026-01-02 16:00:00,2026-01-02 20:00:00,156.87,162.48571429,162.48571429,-1.0,0,1,atr_stop,2026,75.01,168.885453
AAVE_USDT,2026-01-03 00:00:00,2026-01-05 12:00:00,165.14,169.27,171.31428571,-0.6689,0,15,time_exit,2026,84.43,168.812075
ZEC_USDT,2026-01-27 20:00:00,2026-01-30 08:00:00,399.83,339.14,427.11571429,2.2242,1,15,time_exit,2026,75.47,406.691945
AAVE_USDT,2026-01-28 08:00:00,2026-01-30 20:00:00,162.9,138.01,168.93857143,4.1218,1,15,time_exit,2026,76.07,164.063366
ASTER_USDT,2026-02-08 08:00:00,2026-02-10 20:00:00,0.628,0.65,0.67871429,-0.4338,0,15,time_exit,2026,78.41,0.634443
TON_USDT,2026-02-13 12:00:00,2026-02-14 16:00:00,1.452,1.514,1.514,-1.0,0,7,atr_stop,2026,79.48,1.472389
ZEC_USDT,2026-02-13 16:00:00,2026-02-14 16:00:00,279.82,301.80714286,301.80714286,-1.0,0,6,atr_stop,2026,81.09,315.436812
