entry_n,exit_n,trades,total_r,avg_r,profit_factor
15,7,131,27.781776140964396,0.21207462703026256,1.3593627904607315
20,10,109,29.76342129557463,0.2730589109685746,1.4622315123906924
25,12,98,36.746759505952774,0.37496693373421197,1.623509617903682
