n,avg_r,total_r,win_rate,pf,t_stat,trades_per_year,n_symbols_traded,dominant_month_share,dominant_asset_share,gate_diversification,er_n,fast_n,slow_n,side,profitable,gate_avgr,zone_frac,gate_stability,all_gates
4820,0.6189651784997686,2983.4121603688845,0.1686721991701245,3.0946527504528647,4.023704794859957,964.1319824753559,202,0.27309747567272624,0.22529218278683397,False,30,5,30,long_only,True,True,1.0,True,False
5630,0.6033400604575399,3396.8045403759493,0.18206039076376554,3.0776494967752703,4.344258619860471,1126.1541621029573,203,0.24389212215125752,0.2063762803938882,False,30,5,20,long_only,True,True,1.0,True,False
5339,0.5888981311799256,3144.127122369623,0.17887244802397453,3.0431249514160115,4.314140123361723,1067.9461938663746,203,0.25729891800948124,0.20931451995788639,False,20,5,30,long_only,True,True,1.0,True,False
6411,0.5561001182940242,3565.1578583829887,0.18920605209795663,2.994980607891776,4.517640975480615,1282.3755476451258,203,0.26162741441367227,0.1974268806652777,False,10,5,30,long_only,True,True,1.0,True,False
6220,0.5382947819041917,3348.193543444072,0.18456591639871384,2.908540032341106,4.397935530716514,1244.170317634173,203,0.27625322475930847,0.2099851418706377,False,20,5,20,long_only,True,True,1.0,True,False
7147,0.42126510360414415,3010.7816954588184,0.1937876031901497,2.568960156090236,8.965264824125619,1429.5957009857611,203,0.21419671872159493,0.039181894977028196,True,10,5,20,long_only,True,True,1.0,True,True
8254,0.2927424756909827,2416.2963943533714,0.19105888054276715,2.038340542435924,10.648280783770264,1651.026013143483,203,0.34407079682134617,0.032293818593450804,False,30,2,30,long_only,True,True,1.0,True,False
11331,0.28889232424159655,3273.4389259815307,0.19927632159562264,2.0414610897612757,4.169267912788959,2266.5102683461114,203,0.24477041398395924,0.2124700271295854,False,30,5,20,long_short,True,True,1.0,True,False
8939,0.28631829724845653,2559.3992591039528,0.19923928851101913,2.0572694682898818,11.387538126171151,1788.044769989047,203,0.3461159872846626,0.030883444150123757,False,30,2,20,long_only,True,True,1.0,True,False
9704,0.2858701866383008,2774.0842911380714,0.1809563066776587,2.0082784007902217,3.726739860043053,1941.065717415115,203,0.2855570996815694,0.24084614562358025,False,30,5,30,long_short,True,True,1.0,True,False
10750,0.27505550138543083,2956.8466398933815,0.19227906976744186,1.9878825279384469,4.0386921413025645,2150.2943592552024,203,0.26532312419415777,0.22239667271965885,False,20,5,30,long_short,True,True,1.0,True,False
12900,0.26985070780106785,3481.074130633775,0.2117829457364341,2.011573682631386,4.391988333990877,2580.353231106243,203,0.259596901049777,0.20099688589479184,False,10,5,30,long_short,True,True,1.0,True,False
12516,0.2597673721466813,3251.2484297878627,0.20381911153723234,1.9668326327940509,4.2519624769705215,2503.5427163198246,203,0.2758518178351018,0.21513714175263005,False,20,5,20,long_short,True,True,1.0,True,False
9839,0.24249563127261542,2385.914516091263,0.21140359792661856,1.9374606534323475,11.341352032096207,1968.0694140197152,203,0.3707435437775372,0.03239612963591881,False,20,2,30,long_only,True,False,1.0,True,False
10421,0.23923907194551544,2493.1103687442164,0.2246425486997409,1.9560592155072736,11.937358740796135,2084.4853504928806,203,0.36355512005691576,0.031307048676644356,False,20,2,20,long_only,True,False,1.0,True,False
14380,0.20852309444785103,2998.562098160098,0.21968011126564674,1.8094819920120748,8.720865588501491,2876.393756845564,203,0.20121211866031177,0.04080724784451937,True,10,5,20,long_short,True,False,1.0,True,False
13002,0.1756815009224443,2284.210874993621,0.25642208890939855,1.7722896884890655,11.60445678936603,2600.7560240963853,203,0.355867732062179,0.03578369987579188,False,10,2,30,long_only,True,False,1.0,True,False
13714,0.1676106839010606,2298.612919019145,0.2589324777599533,1.7482886577684436,11.572439183770404,2743.1755202628697,203,0.35258557748615954,0.035227424971528816,False,10,2,20,long_only,True,False,1.0,True,False
17985,0.13478150610780282,2424.0453873488336,0.2192938559911037,1.5108580836471153,10.20806815827598,3597.492469879518,203,0.328440024688275,0.03193115112815212,False,30,2,20,long_short,True,False,1.0,True,False
16612,0.13334395923184142,2215.1098507593497,0.2086443534794125,1.4865265351555768,9.262834568574698,3322.854874041621,203,0.3355394897174413,0.03464375996795238,False,30,2,30,long_short,True,False,1.0,True,False
20953,0.1151188493833582,2412.0852511295043,0.23987018565360568,1.462853570546557,10.805885426559364,4191.17374041621,203,0.34370643201851725,0.031084282974497404,False,20,2,20,long_short,True,False,1.0,True,False
19787,0.11219115879172867,2219.926459011935,0.22828119472380856,1.4369434730259851,9.883325104132933,3957.941812705367,203,0.3619573705030811,0.03304678035960318,False,20,2,30,long_short,True,False,1.0,True,False
26110,0.08259497731231176,2156.55485762446,0.2661432401378782,1.3548393041816473,10.108828941951256,5222.714950711938,203,0.32143611115147186,0.03750435114055164,False,10,2,30,long_short,True,False,1.0,True,False
27534,0.07910101096483028,2177.967235905637,0.269775550228808,1.3445238224157554,10.11064493509418,5507.553943044907,203,0.3143141062363172,0.03640924461797761,False,10,2,20,long_short,True,False,1.0,True,False
