trades,total_r,avg_r,pf,max_dd_r,win_rate
293,52.346498831415126,0.17865699259868645,1.273288891734306,-26.962138425480436,0.24573378839590443
293,52.34649883141512,0.17865699259868642,1.273288891734306,-34.49764692211478,0.24573378839590443
293,52.34649883141512,0.17865699259868642,1.2732888917343057,-35.32476789713507,0.24573378839590443
293,52.346498831415126,0.17865699259868645,1.2732888917343057,-36.84670704932457,0.24573378839590443
293,52.346498831415126,0.17865699259868645,1.273288891734306,-19.23617582619686,0.24573378839590443
293,52.34649883141512,0.17865699259868642,1.2732888917343057,-53.18381022236251,0.24573378839590443
293,52.34649883141511,0.1786569925986864,1.273288891734306,-25.501722119470248,0.24573378839590443
293,52.34649883141513,0.17865699259868645,1.273288891734306,-36.960416214542896,0.24573378839590443
293,52.346498831415126,0.17865699259868645,1.273288891734306,-27.829049446278628,0.24573378839590443
293,52.34649883141511,0.1786569925986864,1.273288891734306,-25.724258926812656,0.24573378839590443
293,52.34649883141513,0.17865699259868645,1.273288891734306,-48.30286969343273,0.24573378839590443
293,52.34649883141512,0.17865699259868642,1.2732888917343057,-21.58227922208131,0.24573378839590443
293,52.34649883141513,0.17865699259868645,1.273288891734306,-46.843764018140064,0.24573378839590443
293,52.34649883141512,0.17865699259868642,1.273288891734306,-39.65204091954167,0.24573378839590443
293,52.34649883141512,0.17865699259868642,1.273288891734306,-35.00783714203496,0.24573378839590443
293,52.34649883141514,0.17865699259868648,1.2732888917343057,-23.783828949947456,0.24573378839590443
293,52.34649883141513,0.17865699259868645,1.273288891734306,-47.967753686981965,0.24573378839590443
293,52.346498831415126,0.17865699259868645,1.273288891734306,-25.45100135688105,0.24573378839590443
293,52.34649883141513,0.17865699259868645,1.273288891734306,-34.72787596197364,0.24573378839590443
293,52.34649883141513,0.17865699259868645,1.273288891734306,-30.969826899295843,0.24573378839590443
293,52.346498831415126,0.17865699259868645,1.2732888917343057,-20.403470018934918,0.24573378839590443
293,52.34649883141512,0.17865699259868642,1.273288891734306,-25.580446313449713,0.24573378839590443
293,52.346498831415126,0.17865699259868645,1.273288891734306,-28.279236576893478,0.24573378839590443
293,52.346498831415126,0.17865699259868645,1.2732888917343057,-37.64501027852987,0.24573378839590443
293,52.346498831415126,0.17865699259868645,1.273288891734306,-35.47311242592659,0.24573378839590443
293,52.34649883141512,0.17865699259868642,1.2732888917343057,-37.18908767312922,0.24573378839590443
293,52.34649883141513,0.17865699259868645,1.273288891734306,-19.959554879215357,0.24573378839590443
293,52.346498831415126,0.17865699259868645,1.2732888917343057,-46.170312570833794,0.24573378839590443
293,52.34649883141513,0.17865699259868645,1.273288891734306,-55.84904545007824,0.24573378839590443
293,52.346498831415126,0.17865699259868645,1.2732888917343057,-55.149701427827225,0.24573378839590443
293,52.346498831415126,0.17865699259868645,1.273288891734306,-22.30524874932251,0.24573378839590443
293,52.34649883141514,0.17865699259868648,1.2732888917343057,-22.672903615855912,0.24573378839590443
293,52.34649883141512,0.17865699259868642,1.273288891734306,-57.53402781806514,0.24573378839590443
293,52.34649883141513,0.17865699259868645,1.273288891734306,-37.30230380869567,0.24573378839590443
293,52.34649883141512,0.17865699259868642,1.2732888917343055,-59.37040043310053,0.24573378839590443
293,52.34649883141512,0.17865699259868642,1.273288891734306,-56.98261698838194,0.24573378839590443
293,52.34649883141512,0.17865699259868642,1.2732888917343057,-25.58199195504904,0.24573378839590443
293,52.346498831415126,0.17865699259868645,1.273288891734306,-59.14594162025093,0.24573378839590443
293,52.346498831415126,0.17865699259868645,1.273288891734306,-29.066260263765198,0.24573378839590443
293,52.346498831415126,0.17865699259868645,1.273288891734306,-27.35566492931789,0.24573378839590443
293,52.34649883141512,0.17865699259868642,1.273288891734306,-32.928573605986564,0.24573378839590443
293,52.34649883141512,0.17865699259868642,1.273288891734306,-56.56731296347814,0.24573378839590443
293,52.34649883141515,0.1786569925986865,1.2732888917343057,-50.03496984365757,0.24573378839590443
293,52.346498831415126,0.17865699259868645,1.273288891734306,-20.92262589569658,0.24573378839590443
293,52.34649883141512,0.17865699259868642,1.273288891734306,-46.43816698220783,0.24573378839590443
293,52.34649883141512,0.17865699259868642,1.2732888917343057,-30.415858117567293,0.24573378839590443
293,52.34649883141513,0.17865699259868645,1.273288891734306,-25.552296338450592,0.24573378839590443
293,52.34649883141512,0.17865699259868642,1.273288891734306,-35.66438399629344,0.24573378839590443
293,52.34649883141513,0.17865699259868645,1.2732888917343057,-28.847007246368193,0.24573378839590443
293,52.34649883141513,0.17865699259868645,1.273288891734306,-44.974438122224385,0.24573378839590443
293,52.34649883141513,0.17865699259868645,1.2732888917343057,-25.972349020095784,0.24573378839590443
293,52.34649883141513,0.17865699259868645,1.2732888917343057,-43.194705688322614,0.24573378839590443
293,52.34649883141513,0.17865699259868645,1.273288891734306,-53.34090517258294,0.24573378839590443
293,52.34649883141512,0.17865699259868642,1.2732888917343057,-40.741163596579966,0.24573378839590443
293,52.34649883141513,0.17865699259868645,1.273288891734306,-45.48193213154603,0.24573378839590443
293,52.34649883141513,0.17865699259868645,1.273288891734306,-55.129666394109506,0.24573378839590443
293,52.34649883141512,0.17865699259868642,1.273288891734306,-17.038149308188828,0.24573378839590443
293,52.34649883141514,0.17865699259868648,1.2732888917343057,-38.04793953356523,0.24573378839590443
293,52.346498831415126,0.17865699259868645,1.2732888917343055,-30.56479781321299,0.24573378839590443
293,52.34649883141512,0.17865699259868642,1.273288891734306,-50.28823028650685,0.24573378839590443
293,52.34649883141512,0.17865699259868642,1.2732888917343057,-36.0376158869959,0.24573378839590443
293,52.34649883141514,0.17865699259868648,1.273288891734306,-37.18565824114863,0.24573378839590443
293,52.34649883141513,0.17865699259868645,1.273288891734306,-39.936191731632064,0.24573378839590443
293,52.34649883141514,0.17865699259868648,1.2732888917343057,-38.8652432166786,0.24573378839590443
293,52.34649883141513,0.17865699259868645,1.273288891734306,-29.912894748973713,0.24573378839590443
293,52.34649883141512,0.17865699259868642,1.2732888917343057,-21.743680302450507,0.24573378839590443
293,52.346498831415126,0.17865699259868645,1.273288891734306,-36.01781315756743,0.24573378839590443
293,52.34649883141512,0.17865699259868642,1.2732888917343057,-31.20317326388339,0.24573378839590443
