symbol,entry_time,exit_time,entry_price,exit_price,stop_loss,net_r,win,bars_held,exit_reason,year
ICP_USDT,2021-06-21 10:00:00,2021-06-22 06:00:00,41.01,39.18,34.210714,-0.2691,0,10,time_exit,2021
DOGE_USDT,2021-06-21 20:00:00,2021-06-22 16:00:00,0.19009,0.19376,0.141336,0.0753,1,10,time_exit,2021
LPT_USDT,2021-07-08 08:00:00,2021-07-09 04:00:00,15.72,15.72,14.395714,0.0,0,10,time_exit,2021
INJ_USDT,2021-07-20 02:00:00,2021-07-20 22:00:00,5.072,5.2,4.590714,0.266,1,10,time_exit,2021
BNB_USDT,2021-09-07 14:00:00,2021-09-08 10:00:00,416.1,408.6,371.271429,-0.1673,0,10,time_exit,2021
FIL_USDT,2021-09-26 06:00:00,2021-09-27 02:00:00,51.71,57.75,44.711429,0.863,1,10,time_exit,2021
ZEN_USDT,2021-10-27 08:00:00,2021-10-28 04:00:00,74.92,73.77,68.32,-0.1742,0,10,time_exit,2021
FIL_USDT,2021-10-27 08:00:00,2021-10-28 04:00:00,56.54,55.91,51.887857,-0.1354,0,10,time_exit,2021
ADA_USDT,2021-10-27 08:00:00,2021-10-28 04:00:00,1.952,1.953,1.816571,0.0074,1,10,time_exit,2021
ZEC_USDT,2021-11-16 18:00:00,2021-11-17 14:00:00,168.0,157.7,150.792857,-0.5986,0,10,time_exit,2021
NEAR_USDT,2021-11-17 00:00:00,2021-11-17 20:00:00,9.522,9.58,8.416929,0.0525,1,10,time_exit,2021
DASH_USDT,2021-11-17 02:00:00,2021-11-17 22:00:00,189.0,189.3,166.628571,0.0134,1,10,time_exit,2021
ATOM_USDT,2021-11-17 02:00:00,2021-11-17 20:00:00,27.25,29.3,24.157857,0.663,1,9,rsi_exit,2021
FIL_USDT,2021-12-04 00:00:00,2021-12-04 04:00:00,47.27,44.105,44.105,-1.0,0,2,atr_stop,2021
AAVE_USDT,2021-12-04 02:00:00,2021-12-04 04:00:00,210.7,193.985714,193.985714,-1.0,0,1,atr_stop,2021
CHZ_USDT,2021-12-04 02:00:00,2021-12-04 04:00:00,0.3592,0.325343,0.325343,-1.0,0,1,atr_stop,2021
BTC_USDT,2021-12-04 04:00:00,2021-12-05 00:00:00,47538.03,49017.79,42382.017857,0.287,1,10,time_exit,2021
DASH_USDT,2021-12-04 04:00:00,2021-12-05 00:00:00,133.7,140.8,110.814286,0.3102,1,10,time_exit,2021
ZEN_USDT,2021-12-04 04:00:00,2021-12-05 00:00:00,72.47,79.48,54.506429,0.3902,1,10,time_exit,2021
DOGE_USDT,2021-12-04 04:00:00,2021-12-05 00:00:00,0.1614,0.173,0.134636,0.4334,1,10,time_exit,2021
DOT_USDT,2021-12-04 04:00:00,2021-12-05 00:00:00,27.94,28.76,23.474286,0.1836,1,10,time_exit,2021
LTC_USDT,2021-12-04 04:00:00,2021-12-05 00:00:00,153.8,161.6,126.671429,0.2875,1,10,time_exit,2021
XRP_USDT,2021-12-04 04:00:00,2021-12-05 00:00:00,0.746,0.8298,0.629021,0.7164,1,10,time_exit,2021
HBAR_USDT,2021-12-04 04:00:00,2021-12-05 00:00:00,0.2585,0.28,0.218171,0.5331,1,10,time_exit,2021
UNI_USDT,2021-12-04 04:00:00,2021-12-05 00:00:00,16.41,16.89,13.422857,0.1607,1,10,time_exit,2021
BCH_USDT,2021-12-04 04:00:00,2021-12-05 00:00:00,436.3,471.4,370.621429,0.5344,1,10,time_exit,2021
ICP_USDT,2021-12-04 04:00:00,2021-12-05 00:00:00,29.53,31.13,23.598571,0.2697,1,10,time_exit,2021
GRT_USDT,2021-12-04 04:00:00,2021-12-05 00:00:00,0.6722,0.7227,0.537714,0.3755,1,10,time_exit,2021
LINK_USDT,2021-12-04 04:00:00,2021-12-05 00:00:00,18.6,20.38,15.117857,0.5112,1,10,time_exit,2021
FIL_USDT,2021-12-04 06:00:00,2021-12-05 02:00:00,38.59,40.88,31.788571,0.3367,1,10,time_exit,2021
AAVE_USDT,2021-12-04 06:00:00,2021-12-05 02:00:00,188.7,201.9,157.95,0.4293,1,10,time_exit,2021
XRP_USDT,2022-01-06 02:00:00,2022-01-06 22:00:00,0.7493,0.7791,0.693714,0.5361,1,10,time_exit,2022
ZEN_USDT,2022-01-21 20:00:00,2022-01-22 08:00:00,38.92,33.108571,33.108571,-1.0,0,6,atr_stop,2022
FIL_USDT,2022-01-21 22:00:00,2022-01-22 08:00:00,21.97,18.841429,18.841429,-1.0,0,5,atr_stop,2022
BCH_USDT,2022-01-22 04:00:00,2022-01-22 10:00:00,300.2,271.507143,271.507143,-1.0,0,3,atr_stop,2022
INJ_USDT,2022-01-22 06:00:00,2022-01-22 10:00:00,4.746,4.185857,4.185857,-1.0,0,2,atr_stop,2022
DOT_USDT,2022-01-22 06:00:00,2022-01-23 02:00:00,17.32,18.27,14.506429,0.3376,1,10,time_exit,2022
TRX_USDT,2022-01-22 06:00:00,2022-01-23 02:00:00,0.05515,0.05695,0.04966,0.3279,1,10,time_exit,2022
CHZ_USDT,2022-01-22 06:00:00,2022-01-23 02:00:00,0.1774,0.1776,0.1513,0.0077,1,10,time_exit,2022
ZEC_USDT,2022-01-22 06:00:00,2022-01-23 02:00:00,89.7,93.6,75.557143,0.2758,1,10,time_exit,2022
GRT_USDT,2022-01-22 06:00:00,2022-01-23 02:00:00,0.3827,0.4187,0.317171,0.5494,1,10,time_exit,2022
UNI_USDT,2022-01-22 08:00:00,2022-01-23 04:00:00,10.92,11.49,9.072857,0.3086,1,10,time_exit,2022
LINK_USDT,2022-01-22 08:00:00,2022-01-23 04:00:00,14.88,16.23,12.162857,0.4968,1,10,time_exit,2022
XRP_USDT,2022-01-22 08:00:00,2022-01-23 04:00:00,0.5737,0.6146,0.499129,0.5485,1,10,time_exit,2022
AAVE_USDT,2022-01-22 08:00:00,2022-01-23 04:00:00,143.4,153.2,117.257143,0.3749,1,10,time_exit,2022
DASH_USDT,2022-01-22 08:00:00,2022-01-23 04:00:00,91.4,99.0,76.55,0.5118,1,10,time_exit,2022
AVAX_USDT,2022-01-22 08:00:00,2022-01-23 04:00:00,55.4,61.78,45.669286,0.6557,1,10,time_exit,2022
FIL_USDT,2022-01-22 10:00:00,2022-01-23 06:00:00,19.18,19.71,15.481429,0.1433,1,10,time_exit,2022
XRP_USDT,2022-04-25 06:00:00,2022-04-25 20:00:00,0.6516,0.6923,0.622671,1.4069,1,7,rsi_exit,2022
DOT_USDT,2022-05-09 14:00:00,2022-05-10 10:00:00,11.49,11.9,10.300714,0.3447,1,10,time_exit,2022
BTC_USDT,2022-05-09 16:00:00,2022-05-10 12:00:00,31268.1,31815.77,29190.274286,0.2636,1,10,time_exit,2022
BCH_USDT,2022-05-09 16:00:00,2022-05-10 00:00:00,232.5,212.571429,212.571429,-1.0,0,4,atr_stop,2022
AAVE_USDT,2022-05-09 16:00:00,2022-05-10 12:00:00,105.6,114.5,92.142857,0.6614,1,10,time_exit,2022
BNB_USDT,2022-05-09 16:00:00,2022-05-10 12:00:00,311.6,325.7,286.678571,0.5658,1,10,time_exit,2022
ETH_USDT,2022-05-09 18:00:00,2022-05-10 14:00:00,2270.68,2361.99,2079.903571,0.4786,1,10,time_exit,2022
ADA_USDT,2022-05-09 18:00:00,2022-05-10 12:00:00,0.626,0.6862,0.551879,0.8122,1,9,rsi_exit,2022
LINK_USDT,2022-05-09 18:00:00,2022-05-10 14:00:00,8.59,8.91,7.572143,0.3144,1,10,time_exit,2022
CHZ_USDT,2022-05-09 18:00:00,2022-05-10 12:00:00,0.138,0.1518,0.121479,0.8353,1,9,rsi_exit,2022
SOL_USDT,2022-05-09 18:00:00,2022-05-10 12:00:00,65.09,72.26,56.940714,0.8798,1,9,rsi_exit,2022
XRP_USDT,2022-05-09 18:00:00,2022-05-10 14:00:00,0.4889,0.5174,0.433293,0.5125,1,10,time_exit,2022
AVAX_USDT,2022-05-09 18:00:00,2022-05-10 12:00:00,43.97,48.92,37.826429,0.8057,1,9,rsi_exit,2022
LTC_USDT,2022-05-09 18:00:00,2022-05-10 14:00:00,80.0,81.2,71.3,0.1379,1,10,time_exit,2022
DOGE_USDT,2022-05-09 22:00:00,2022-05-10 18:00:00,0.1019,0.1108,0.089814,0.7364,1,10,time_exit,2022
FIL_USDT,2022-05-09 22:00:00,2022-05-10 18:00:00,11.02,11.43,9.650714,0.2994,1,10,time_exit,2022
ATOM_USDT,2022-05-09 22:00:00,2022-05-10 18:00:00,12.51,14.22,10.607143,0.8986,1,10,time_exit,2022
