tf,fast_ema,slow_ema,hold_bars,atr_mult,n,avg_r,total_r,win_rate,pf,y2019_n,y2019_total,y2019_avg,y2020_n,y2020_total,y2020_avg,y2021_n,y2021_total,y2021_avg,y2022_n,y2022_total,y2022_avg,y2023_n,y2023_total,y2023_avg,y2024_n,y2024_total,y2024_avg,y2025_n,y2025_total,y2025_avg,y2026_n,y2026_total,y2026_avg,y2022_positive,r2025_share,flag_2025_conc
1d,20,200,20,2.0,208,0.18919644878914144,39.35286134814142,0.5817307692307693,1.5966052292802584,0,0.0,,5,-5.0,-1.0,33,-1.429948460641679,-0.04333177153459633,8,5.669935400975527,0.7087419251219409,30,-2.973508122913315,-0.09911693743044384,80,12.810043295406789,0.16012554119258487,51,30.739971291320806,0.6027445351239373,1,-0.4636320560067132,-0.4636320560067132,True,0.7811368789520717,True
8h,10,50,30,3.0,1618,0.18734842418070577,303.1297503243819,0.5667490729295427,1.586621227460577,0,0.0,,48,-21.38710605531774,-0.44556470948578625,129,-5.460411554349753,-0.04232877173914538,256,67.25192011980059,0.26270281296797104,293,69.39180722546367,0.23683210657154835,377,69.10889318897686,0.18331271402911636,395,136.50421696037446,0.34558029610221386,120,-12.279569560566166,-0.10232974633805139,True,0.4503161329902461,True
1d,30,100,20,3.0,230,0.17652058460454245,40.59973445904476,0.6130434782608696,1.8362818910273022,0,0.0,,0,0.0,,29,-4.019194868926811,-0.13859292651471763,9,3.2832617017066044,0.36480685574517824,43,11.144969437357997,0.25918533575251157,67,-3.816084972813302,-0.056956492131541823,78,33.502638675280274,0.4295210086574394,4,0.5041444864399978,0.12603612160999944,True,0.8251935418217149,True
1d,10,200,30,2.0,295,0.17526782855818898,51.70400942466575,0.5661016949152542,1.4638757044396562,0,0.0,,4,-4.0,-1.0,41,1.3157824627045138,0.03209225518791497,20,13.231038914805783,0.6615519457402892,56,-10.18091933506146,-0.18180213098324036,113,14.703198604003374,0.1301168018053396,60,37.14130116825189,0.6190216861375315,1,-0.5063923900383438,-0.5063923900383438,True,0.7183447005665557,True
1d,30,200,30,3.0,175,0.1727749009608683,30.235607668151957,0.6285714285714286,1.679320133522872,0,0.0,,3,-3.0,-1.0,29,2.078791857550169,0.07168247784655755,12,2.6298870444421443,0.21915725370351202,18,1.5907787246089848,0.08837659581161027,63,-5.663189150723526,-0.08989189128132581,49,32.043540135748245,0.6539497986887397,1,0.5557990565259294,0.5557990565259294,True,1.059794811714687,True
2h,10,50,30,2.0,8252,0.17249823599727482,1423.455443449512,0.44134755210857973,1.3471285632160899,7,-0.9397942462558153,-0.1342563208936879,320,4.860795015440356,0.015189984423251113,878,23.181672262653,0.026402815788898634,1156,271.8377942640885,0.23515380126651253,1600,239.80688906958682,0.14987930566849175,1827,413.83549687016347,0.22651094519439707,1906,471.0883184127631,0.2471607127034434,558,-0.2157281989274793,-0.0003866096754972747,True,0.3309470068632127,False
1d,10,100,30,2.0,360,0.17044204665098864,61.359136794355905,0.525,1.4250681342050189,0,0.0,,4,-4.0,-1.0,24,-1.3443099724448824,-0.056012915518536766,24,28.125107460738256,1.1718794775307606,71,-11.44052398793431,-0.16113414067513113,113,-11.675813777585315,-0.10332578564234791,114,64.08512069412568,0.5621501815274182,10,-2.3904436225435246,-0.23904436225435247,True,1.0444266989756694,True
1d,20,200,20,3.0,204,0.17003629184349367,34.68740353607271,0.6421568627450981,1.8392113769039864,0,0.0,,4,-2.8879602541031986,-0.7219900635257996,33,1.8416021967652565,0.05580612717470474,8,3.1132902673170175,0.3891612834146272,29,0.5338720964287438,0.018409382635473922,79,9.836260836799433,0.12450963084556244,50,22.55942643020326,0.4511885286040652,1,-0.3090880373378088,-0.3090880373378088,True,0.6503636516565122,True
2h,30,50,30,2.0,5395,0.1687193522470942,910.2409053730731,0.4379981464318814,1.3448655477988882,6,-1.8842585492240163,-0.31404309153733606,239,25.401449025538955,0.1062822134959789,639,-22.3060675139077,-0.0349077738871795,703,244.48009859025487,0.34776685432468685,1088,161.50880829015867,0.14844559585492526,1312,319.1836632572715,0.24328023114121305,1082,211.18368999559348,0.19517901108650046,326,-27.326477722612665,-0.08382355129635786,True,0.23200856910406298,False
2h,20,50,30,2.0,6368,0.16739644742035742,1065.980577172836,0.43985552763819097,1.3391560767314479,5,1.2058338535406543,0.24116677070813086,277,25.38930476239785,0.09165813993645433,722,23.070038669546168,0.03195296214618583,828,246.12477052758084,0.29725213831833436,1284,217.40226960408717,0.16931640934897754,1507,316.20583080770496,0.20982470524731583,1352,311.7931668636418,0.2306162476802084,393,-75.21063791566328,-0.1913756689965987,True,0.29249422882598003,False
8h,10,50,20,2.0,1760,0.16727481646024336,294.4036769700283,0.5380681818181818,1.4464285700245196,0,0.0,,51,-13.60990120879935,-0.2668608080156735,138,-20.498251162025827,-0.14853805189873787,271,97.32231146834451,0.3591229205473967,316,57.60792390202565,0.1823035566519799,416,14.052630958214001,0.033780362880322115,439,177.1724093277832,0.4035817980131736,129,-17.643446315513923,-0.13677090167065056,True,0.6018009392790981,True
4h,20,50,30,3.0,2824,0.16701188693543254,471.6415687056615,0.5488668555240793,1.5091455824893352,3,-0.49207431165034154,-0.16402477055011386,119,4.791125837934598,0.04026156166331595,294,-18.39715102033758,-0.06257534360659041,341,123.4761380972542,0.3621001117221531,544,101.19898952488597,0.18602755427368745,725,120.96032089407146,0.16684182192285718,606,167.86988338495848,0.2770130088860701,192,-27.765663701455267,-0.14461283177841286,True,0.3559268192700832,False
1d,30,50,30,3.0,305,0.1583831760976283,48.30686870977664,0.6196721311475409,1.5748550147625042,0,0.0,,1,-1.0,-1.0,22,0.2314713533926412,0.010521425154210963,29,21.74413042973472,0.7497976010253352,58,7.267778544939988,0.12530652663689634,98,-13.106206709882049,-0.1337368031620617,90,34.47818814618585,0.383090979402065,7,-1.3084930545945157,-0.18692757922778797,True,0.7137326236839678,True
4h,10,50,30,3.0,3734,0.1583080986329802,591.1224402955481,0.5463310123192288,1.4611984488318186,2,-0.09205169000761704,-0.04602584500380852,129,16.3311253190248,0.12659787069011472,382,1.5739815862414872,0.004120370644611223,552,136.43733263497353,0.2471690808604593,693,62.67893469704414,0.0904457932136279,902,222.78005634637162,0.24698454140395967,809,174.78153874963743,0.21604640142105988,265,-23.368477347737265,-0.08818293338768779,True,0.2956773873484663,False
8h,30,50,30,3.0,1061,0.1552466597082893,164.71670595049494,0.5589066918001885,1.508334959655078,0,0.0,,42,-19.016298756435823,-0.4527690180103767,91,3.0951219465602167,0.0340123290830793,157,56.64149654114121,0.3607738633193708,177,20.15138320240993,0.11384962261248549,326,69.56100239392026,0.21337730795681062,208,24.570377875735787,0.1181268167102682,60,9.713622747163377,0.16189371245272297,True,0.14916749174865318,False
1d,20,50,30,3.0,349,0.15466680006678352,53.978713223307444,0.6217765042979942,1.5531848420428795,0,0.0,,2,-2.0,-1.0,18,2.1226256425239276,0.11792364680688487,41,32.80691430770309,0.8001686416512949,54,7.854072691284866,0.14544579057934937,121,-20.425873153071684,-0.16880886903365028,104,32.057310397767786,0.3082433692093056,9,1.5636633370994477,0.17374037078882754,True,0.5938880066508472,True
4h,30,100,30,2.0,2029,0.15456664245647528,313.6157175441883,0.4716609167077378,1.337053819076976,1,0.8780997607975837,0.8780997607975837,103,-22.737840399275985,-0.22075573203180568,232,-18.906165637384802,-0.08149209326458967,202,137.19856263951306,0.6792008051461043,383,68.03224409516312,0.17762988014402903,571,57.92102311777616,0.10143786885775159,420,126.8895373396332,0.3021179460467457,117,-35.65974337203398,-0.3047841313849058,True,0.4046019706322739,True
8h,20,50,30,2.0,1293,0.1536755241240766,198.70245269243102,0.46635730858468677,1.339832920656243,1,-1.0,-1.0,47,-30.252529866828965,-0.6436708482304035,108,4.719164331973207,0.04369596603678896,181,80.19576946060732,0.4430705495061178,242,35.35967561458428,0.1461143620437367,347,92.56653346819421,0.2667623442887441,282,29.68208989252734,0.10525563791676362,85,-12.568250208626386,-0.14786176716031044,True,0.14937958485329755,False
1d,20,200,30,3.0,202,0.15358784560716437,31.024744812647207,0.6188118811881188,1.5895746351667799,0,0.0,,4,-4.0,-1.0,33,-0.49140849246436424,-0.014891166438314068,7,2.4846331406087816,0.35494759151554023,29,-2.9514986060506625,-0.10177581400174698,79,4.2490413503294935,0.053785333548474604,49,32.277260024131856,0.6587195923292215,1,-0.543282603907893,-0.543282603907893,True,1.0403714911773927,True
6h,10,50,30,3.0,2290,0.1511987816570543,346.2452099946544,0.5554585152838428,1.4498020352217351,1,0.6320100142035512,0.6320100142035512,78,-7.790195374537405,-0.09987429967355647,193,-7.673940215827639,-0.03976134826853699,348,108.53679880257948,0.3118873528809755,421,45.70060638623882,0.10855250923097107,564,11.898557894296726,0.021096733855136038,533,212.00766265197404,0.39776296932828153,152,-17.066290164273248,-0.11227822476495558,True,0.6123049692304687,True
2h,10,100,30,2.0,6890,0.14987641192822868,1032.6484781854956,0.4444121915820029,1.303741263782759,6,3.054429357392383,0.5090715595653972,317,-5.696042881400485,-0.017968589531231816,792,-42.601559003006685,-0.05378984722601854,885,318.11888811738305,0.35945637075410514,1401,112.59508406542875,0.08036765457917827,1616,352.2546681585947,0.21797937386051652,1434,355.7414575104016,0.24807633020251155,439,-60.81844713929773,-0.13853860396195383,True,0.344494244678003,False
1d,20,100,30,2.0,256,0.14941295976310767,38.249717699355564,0.515625,1.3559879115754265,0,0.0,,3,-3.0,-1.0,28,-4.4802516041292435,-0.16000898586175868,12,8.260977566936333,0.6884147972446945,46,1.4575947071768596,0.03168684146036651,86,-12.117444524375559,-0.1409005177252972,77,50.07161538500099,0.6502807192857272,4,-1.9427738312538225,-0.48569345781345563,True,1.3090715016138432,True
1d,30,200,20,2.0,178,0.14837121388465366,26.410076071468353,0.5337078651685393,1.4474060278541756,0,0.0,,3,-3.0,-1.0,29,0.39067424428168485,0.013471525664885685,12,2.297278011803499,0.19143983431695824,18,0.5680454985467487,0.03155808325259715,64,-1.5505763237093169,-0.024227755057958076,51,27.458544357213224,0.5384028305335926,1,0.24611028333251517,0.24611028333251517,True,1.0396995556888065,True
4h,20,100,30,2.0,2411,0.145541751572889,350.9011630422354,0.46744089589382,1.3163397760149471,1,-1.0,-1.0,110,-18.83378996063583,-0.17121627236941664,289,-57.074003709256566,-0.1974879021081542,281,173.68517467614367,0.6180967070325397,464,43.8552118403096,0.09451554275928793,622,73.2294473233355,0.11773223042336899,502,164.98201556351808,0.3286494333934623,142,-27.942892691179104,-0.19678093444492326,True,0.47016662507801493,True
4h,30,50,20,2.0,2493,0.14541112536325385,362.50993553059186,0.4969915764139591,1.3679457761738107,2,-1.0767694149756495,-0.5383847074878247,102,-16.29865687032969,-0.15979075363068324,274,-40.63759384733313,-0.1483123863041355,292,126.15255137742577,0.43202928553912934,478,65.71703242837947,0.13748333144012442,644,76.6908721173649,0.11908520515118774,541,144.47860720619116,0.26705842367133303,160,7.483892533869026,0.046774328336681416,True,0.3985507514289874,False
6h,20,50,30,2.0,1794,0.14517876785325343,260.45070952873664,0.47714604236343366,1.3164865104728045,0,0.0,,74,-43.58710899827976,-0.58901498646324,167,-8.607946805241642,-0.051544591648153545,236,91.05134350320861,0.3858107775559687,331,51.95467578649341,0.1569627667265662,451,43.86685930476236,0.09726576342519369,426,129.3270510287164,0.30358462682797277,109,-3.554164290922742,-0.032607011843327906,True,0.4965509645288457,True
8h,20,50,30,3.0,1235,0.14495950243307992,179.0249855048537,0.5473684210526316,1.470763624953528,1,-0.32035690558058794,-0.32035690558058794,45,-23.932551937724554,-0.5318344875049901,104,11.896779946768564,0.11439211487277466,173,57.64605763779127,0.3332142059987935,230,25.43463205695953,0.11058535676938926,335,72.178319357403,0.21545766972359104,265,49.89529342960159,0.18828412614943996,82,-13.773188080365088,-0.16796570829713522,True,0.27870575321593216,False
4h,10,100,20,2.0,3167,0.14286520500418093,452.454104248241,0.4995263656457215,1.358564542951989,2,-2.0,-1.0,122,-17.50648297672741,-0.14349576210432302,342,-73.90303671003298,-0.21609075061413152,404,178.9176736558228,0.4428655288510465,607,-10.355254853679357,-0.017059727930279007,802,149.82864407733905,0.1868187582011709,677,240.4142245260659,0.3551170229336276,211,-12.941663470547006,-0.061334897964677754,True,0.5313560475388274,True
1d,10,200,20,2.0,297,0.14237254815162018,42.284646801031194,0.5589225589225589,1.4365150343562125,0,0.0,,4,-4.0,-1.0,42,0.715271367559775,0.01703027065618512,20,12.731561219409208,0.6365780609704604,56,-1.8788775958744708,-0.03355138564061555,113,8.398714855736852,0.07432491022775975,61,26.631713915402358,0.4365854740229895,1,-0.313736961202527,-0.313736961202527,True,0.6298199448304932,True
4h,30,100,20,2.0,2033,0.14235730171581035,289.41239438824243,0.5022134776192818,1.3678870436001618,1,0.29899735299059094,0.29899735299059094,104,-9.53258572926594,-0.09165947816601865,233,-35.58034333021918,-0.1527053361811982,202,116.70266166961349,0.5777359488594728,385,39.28820914054791,0.10204729646895562,571,77.67738848100457,0.1360374579352094,420,119.39034893460976,0.28426273555859466,117,-18.83228213103878,-0.1609596763336648,True,0.412526730885096,True
8h,10,100,30,2.0,1383,0.13681727575235011,189.2182923655002,0.48083875632682577,1.3065251102978763,0,0.0,,49,-23.984846408541095,-0.4894866613987979,127,-4.799421773307873,-0.03779072262447144,176,61.40500958253408,0.3488920999007618,248,31.39237885674239,0.12658217280944511,393,72.88634985810245,0.18546145002061692,297,44.77730126911936,0.15076532413844904,93,7.54152098085091,0.08109162345000978,True,0.23664361785184107,False
2h,10,50,20,2.0,8355,0.13390215360862096,1118.752493400028,0.4718132854578097,1.307644867843303,8,3.104200081974421,0.38802501024680264,328,19.467491660642143,0.05935210872146995,889,37.71712174387838,0.04242645865453136,1167,104.5224577864889,0.08956508807753975,1632,89.42057024302493,0.05479201608028488,1849,315.28275125349364,0.17051527920686513,1916,592.5002197951026,0.3092381105402414,566,-43.262319164576866,-0.07643519287027714,True,0.5296079546552971,True
2h,20,100,30,2.0,5311,0.13296617960908516,706.1833799038512,0.4398418376953493,1.2738704827922536,6,-0.2411168768951455,-0.040186146149190916,244,36.546254751598,0.1497797325885164,642,-58.16159594610217,-0.09059438620888188,640,228.96748018839128,0.35776168779436135,1126,47.65790904458605,0.04232496362751869,1345,315.39692079828495,0.23449585189463565,1007,171.29931969829448,0.17010855977983563,301,-35.28179175430612,-0.11721525499769475,True,0.24257059083097843,False
4h,10,200,30,2.0,2779,0.13235527068043274,367.81529722092256,0.4674343288952861,1.286576016920405,2,0.32860626771943724,0.16430313385971862,141,-40.93225064752471,-0.2902996499824448,319,-52.33029711711088,-0.16404481854893693,274,167.59232970401413,0.611650838335818,513,42.49442351183207,0.08283513355132957,853,133.4146335494487,0.15640636992901372,520,143.17190027345,0.2753305774489423,157,-25.924048320906177,-0.16512132688475273,True,0.38924944491217295,False
6h,30,50,20,2.0,1548,0.13227569359832264,204.76277369020346,0.5090439276485789,1.3361362931815217,0,0.0,,68,-25.68775366111788,-0.3777610832517335,135,-7.390921603611723,-0.05474756743416091,197,80.54159253396122,0.40884057123838186,269,43.04161767023829,0.16000601364400852,416,40.7883208903556,0.09804884829412404,354,100.49434273943675,0.28388232412270265,109,-27.02442487905879,-0.2479305034776036,True,0.49078424231291184,True
8h,20,50,20,2.0,1298,0.13008934292315694,168.8559671142577,0.514637904468413,1.3469003554276695,1,-1.0,-1.0,48,-22.09232052272354,-0.46025667755674043,108,-7.542245888109122,-0.06983561007508446,181,62.455449619199214,0.3450577327027581,243,28.06875854623753,0.11550929442896102,348,39.411659819189474,0.11325189603215366,282,89.21784049979993,0.31637532092127635,87,-19.663174959335798,-0.2260135052797218,True,0.5283665245861876,True
6h,30,50,30,2.0,1544,0.12986774900015868,200.515804456245,0.47797927461139894,1.2813684619940822,0,0.0,,68,-39.87169783947342,-0.586348497639315,135,-10.284814227022004,-0.07618380908905188,197,77.58347355422762,0.3938247388539473,268,17.297003191519114,0.06454105668477281,414,53.42275027236893,0.12904045959509403,354,129.44882483449618,0.3656746464251304,108,-27.079735329871415,-0.25073829009140197,True,0.6455791611316278,True
6h,20,50,20,2.0,1802,0.1298335900228892,233.96012922124632,0.5077691453940066,1.3265183786190822,0,0.0,,74,-22.89020039403642,-0.3093270323518435,167,-22.223515795807785,-0.13307494488507657,238,105.35468051934998,0.44266672487121844,332,64.74877081929888,0.19502641813041832,454,36.99219979283274,0.08148061628377257,428,90.45262043751791,0.2113378982184998,109,-18.474426157908997,-0.16949014823769723,True,0.3866155346152192,False
4h,10,50,20,3.0,3880,0.12945475965293546,502.28446745338954,0.5445876288659793,1.442390613827059,2,-0.5941926590238065,-0.29709632951190323,135,9.501584033568916,0.07038210395236234,399,-8.624499504156782,-0.021615286977836545,569,91.7876841689096,0.16131403193129984,727,54.31041006846195,0.07470482815469319,932,153.99232512778354,0.16522781666071196,833,208.07602349617233,0.2497911446532681,283,-6.164867278326252,-0.021783983315640465,True,0.41425932311052627,True
4h,30,50,30,3.0,2420,0.12918231418409876,312.621200325519,0.5289256198347108,1.3826832614596811,2,0.5217620816477895,0.26088104082389474,100,-16.947826265664244,-0.16947826265664243,268,-16.21727272514984,-0.060512211661006864,282,103.71820011456114,0.3677950358672381,464,81.5012118369323,0.17564916344166442,633,28.463060305158635,0.04496534013453181,517,146.85101939435802,0.2840445249407312,154,-15.268954416324805,-0.09914905465145978,True,0.46974107719325614,True
4h,10,200,20,2.0,2809,0.12862200157345646,361.2992024198392,0.5076539693841224,1.323394328448652,2,-0.33807907235794354,-0.16903953617897177,141,-18.622603220163857,-0.13207520014300608,326,-58.785985302905885,-0.18032510829112236,276,145.00433635937986,0.5253780302876082,522,36.32318099277852,0.06958463791720022,861,136.28005193438412,0.1582811288436517,524,127.86671474280585,0.24402044798245393,157,-6.4284140140814525,-0.04094531219160161,True,0.3539081013365243,False
6h,10,100,30,2.0,1934,0.12724407331532506,246.09003779183865,0.47466390899689764,1.2771603785236607,1,0.10546965268797714,0.10546965268797714,80,-37.504073286978596,-0.46880091608723246,176,-22.558410578040423,-0.12817278737522966,246,96.05370818207194,0.3904622283824063,358,14.442204572714402,0.04034135355506816,527,25.294541723900842,0.04799723287267712,423,176.69821527564244,0.41772627724738165,123,-6.441617750159926,-0.052370876017560374,True,0.7180226264384867,True
2h,30,200,30,2.0,3507,0.12693720731916575,445.16878606831426,0.4607927003136584,1.2689808259136641,1,-1.0,-1.0,182,8.645452754925808,0.047502487664427516,462,-99.0337102859472,-0.21435868027261298,339,250.68426681023055,0.7394816130095296,755,-40.09120276219203,-0.05310093081085038,963,223.69096800491204,0.23228553271538113,625,109.8644343244031,0.17578309491904498,180,-7.591422778018041,-0.042174570988989114,True,0.24679276212223838,False
2h,20,50,30,3.0,6150,0.12690163345108232,780.4450457241562,0.5035772357723577,1.3547603597621634,5,0.1372225690271074,0.027444513805421476,269,12.017346399009053,0.04467415018218979,700,1.676259616241779,0.002394656594631113,798,159.14334184066854,0.19942774666750443,1234,176.69327080435153,0.14318741556268358,1449,237.1821547287592,0.1636867872524218,1312,225.91936258100276,0.17219463611356917,383,-32.32391281490368,-0.08439663920340386,True,0.28947504224513027,False
2h,30,100,30,2.0,4522,0.12550916892643854,567.5524618853551,0.4387439186200796,1.2568845832521371,5,-0.37477633491341045,-0.0749552669826821,221,7.246211297376499,0.03278828641346832,565,-76.31610369214586,-0.1350727498976033,498,242.1225281574126,0.48618981557713375,959,32.30750796407555,0.03368874657359285,1194,241.39390337986458,0.2021724483918464,814,155.1032781828414,0.19054456779218845,266,-33.9300870691562,-0.1275567183050985,True,0.2732844778218442,False
1d,30,200,20,3.0,176,0.12362464496314995,21.757937513514392,0.5738636363636364,1.5481181723815887,0,0.0,,3,-3.0,-1.0,29,0.2373295016156285,0.008183775917780294,12,2.052150344778374,0.17101252873153117,18,2.2614751541130635,0.12563750856183686,63,-3.9576195522055997,-0.06281935797151746,50,24.000528542991248,0.48001057085982496,1,0.16407352222167673,0.16407352222167673,True,1.10307001884181,True
